
%.2lf Hz,%.2lf Hz,%.2lf Hz,%.2lf هرتز
%d Mb/s,%d Mb/s,%d Mb/s,%d مب/ث
%d of %d,%d sur %d,%d von %d,%d من %d
"%s
Run '%s --help' to see a full list of available command line options.","%s
Lancer « %s --help » pour afficher la liste complète des options en ligne de commande disponibles.","%s
Rufen Sie »%s --help« auf, um eine vollständige Liste der verfügbaren
Befehlszeilenoptionen zu sehen.","%s
تشغيل '%s --المساعدة' لمشاهدة قائمة كاملة بخيارات سطر الأوامر المتاحة."
%s VPN,VPN %s,%s VPN,%s VPN
(Error: unable to load VPN connection editor),(Erreur : impossible de charger l'éditeur de connexions VPN),(Fehler: VPN-Verbindungsbearbeitung kann nicht geladen werden),(خطأ: غير قادر على تحميل محرر إتصال VPN)
- System Settings,- Paramètres système,- Systemeinstellungen,- إعدادات النظام
1 (Default),1 (par défaut),1 (Vorgabe),1 (افتراضي)
1 Gb/s,1 Go/s,1 Gbit/s,1 جب/ث
10 Gb/s,10 Go/s,10 Gbit/s,10 جب/ث
10 Mb/s,10 Mo/s,10 Mbit/s,10 مب/ث
100 Mb/s,100 Mo/s,100 Mbit/s,100 مب/ث
2,2,2,٢
3,3,3,٣
4,4,4,٤
802.1x Security,Sécurité 802.1x,802.1x-Sicherheit,أمان802.1x
802.1x supplicant configuration failed,La configuration du client 802.1x a échoué,Einrichten des 802.1x-Supplicant fehlgeschlagen,فشل تكوين الطالب 802.1x
802.1x supplicant disconnected,Le client 802.1x s'est déconnecté,802.1x-Supplicant getrennt,تم قطع إتصال الطالب 802.1x
802.1x supplicant failed,Le client 802.1x a échoué,802.1x-Supplicant fehlgeschlagen,فشل طالب 802.1x
802.1x supplicant took too long to authenticate,Le client 802.1x a mis trop de temps pour s'authentifier,802.1x-Supplicant brauchte zu lange für die Legitimierung,استغرق طالب 802.1x وقتا طويلا للمصادقة
A file named “%s” already exists.,Un fichier nommé « %s » existe déjà.,Eine Datei mit dem Namen »%s« ist bereits vorhanden.,"يوجد ملف مسبقاً يَحمل اسم ""%s""."
Ad-hoc,Ad-hoc,Ad-hoc,مخصصة
Add,Ajouter,Hinzufügen,أضِف
Add Device,Ajouter un périphérique,Gerät hinzufügen,إضافة جهاز
Add Layout,Ajouter une disposition de clavier,Tastaturbelegung hinzufügen,إضافة تخطيط
Add VPN,Ajouter un VPN,VPN hinzufügen,أضف VPN
Add a virtual device,Ajouter un périphérique virtuel,Virtuelles Gerät hinzufügen,إضافة جهاز ظاهري
Add device,Ajouter un périphérique,Gerät hinzufügen,إضافة جهاز
Add new connection,Ajouter une nouvelle connexion,Neue Verbindung hinzufügen,إضافة اتصال جديد
Add profile,Ajouter un profil,Profil hinzufügen,إضافة ملف تعريف
Address,Adresse,Adresse,العنوان
Adjust display resolution,Ajuster la résolution de l'écran,Die Bildschirmauflösung anpassen,ضبط دقة العرض
Adjust for TV,Ajuster pour une TV,Für TV anpassen,اضبط للتلفاز
All files,Tous les fichiers,Alle Dateien,كل الملفات
