(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
1 hour,1 heure,1 Stunde,ساعة
1 minute,1 minute,1 Minute,دقيقة
10 minutes,10 minutes,10 Minuten,10 دقائق
10%,10 %,10 %,10%
15 minutes,15 minutes,15 Minuten,15 دقيقة
15 seconds,15 secondes,15 Sekunden,15 ثانية
150 ms,150 ms,150 ms,150 ملي ثانية
2 hours,2 heures,2 Stunden,ساعتين
2 minutes,2 minutes,2 Minuten,دقيقتان
2 seconds,2 secondes,2 Sekunden,ثانيتان
250 ms,250 ms,250 ms,250 ملي ثانية
3 hours,3 heures,3 Stunden,3 ساعات
3 minutes,3 minutes,3 Minuten,3 دقائق
30 minutes,30 minutes,30 Minuten,30 دقيقة
30 seconds,30 secondes,30 Sekunden,30 ثانية
30%,30 %,30 %,30%
300 ms,300 ms,300 ms,300 ملي ثانية
45 minutes,45 minutes,45 Minuten,45 دقيقة
450 ms,450 ms,450 ms,450 ملي ثانية
5 minutes,5 minutes,5 Minuten,5 دقائق
5%,5 %,5 %,5%
50 ms,50 ms,50 ms,50 ملي ثانية
50%,50 %,50 %,50%
500 ms,500 ms,500 ms,500 ملي ثانية
60 seconds,60 secondes,60 Sekunden,60 ثانية
75%,75 %,75 %,75%
90 seconds,90 secondes,90 Sekunden,90 ثانية
<unknown>,<inconnu>,<unbekannt>,<مجهول>
A Cinnamon applet to control sound and music,Un applet de Cinnamon pour contrôler le son et la musique,Ein Cinnamon-Regler zum Steuern von Klang und Musik,تطبيق سينامُن المكتبي للتحكم في الصوت والموسيقى
A Cinnamon applet to launch the on-screen keyboard,Un applet Cinnamon pour afficher le clavier visuel,"Ein Cinnamon-Regler, um die Bildschirmtastatur zu starten",بريمج سينامُن لتشغيل لوحة المفاتيح على الشاشة
"A combo selection can select between int, boolean, float, and string values","Un choix combiné permet de choisir entre les valeurs  int, boolean, float et string","Mit der Auswahl eines Auswahlfeldes kann zwischen Integer (int), Boolescher Wert (boolean), Gleitkommazahl (float) und Zeichenketten (strings) gewählt werden",يمكن اختيار التحرير والسرد يمكن الاختيار بين كثافة العمليات، القيم المنطقية، التعويم، وقيم السلسلة
A desklet that displays the time,"Temps, heure et calendrier","Ein Desklet, das die Zeit anzeigt",تطبيق مكتبي يعرض الوقت
A desklet that launches a program,Lancer des applications à partir du tableau de bord,"Ein Desklet, das ein Programm startet",تطبيق مكتبي يقوم بإطلاق برنامج
A digital photo frame desklet,Un desklet de cadre de photo numérique,Ein digitaler Fotorahmen,التطبيق المكتبي إطار الصورة الرقمية
A problem occurred while removing %s.,Une erreur est survenue lors de la désinstallation de %s.,Ein Problem trat beim Entfernen von %s auf.,حدثت مشكلة أثناء إزالة %s.
A quarter of the screen,Un quart de l'écran,Ein Viertel des Bildschirms,ربع الشاشة
A sample applet for demonstrating the capabilities and usage of the applet and desklet settings API,Un exemple d'applet qui présente les fonctions et l’utilisation de l’API de paramètres des applets et desklets,"Ein Beispiel-Applet, um die Fähigkeiten und die Nutzung der Applet- und Desklet-Einstellungs-API vorzuführen",نموذج تطبيق مصغر لتوضيح قدرات واستخدام التطبيق المصغر والتطبيق المكتبي لإعدادات واجهة برمجة التطبيقات
