
%Y-%m-%d,%d/%m/%Y,%Y-%m-%d,%Y-%m-%d
%d of %d,%d sur %d,%d von %d,%d من %d
%s %s %s failed for an unknown reason,%s %s %s a échoué pour une raison inconnue,%s %s %s ist aus unbekanntem Grund fehlgeschlagen,فشل %s %s %s لسبب غير معروف
%s %s %s returned with signal %d,%s %s %s a retourné le signal %d,%s %s %s gab das Signal %d zurück,تم إرجاع %s %s %s مع الإشارة %d
%s of %s - %u minutes left (%s/sec),%s de %s - %u minutes restantes (%s/sec),%s von %s - %u Minuten übrig (%s/s),%s من %s - %u دقائق متبقية (%s/ثانية)
%s of %s - %u seconds left (%s/sec),%s de %s - %u secondes restantes (%s/sec),%s von %s – %u Sekunden übrig (%s/s),%s من %s - %u تواني متبقية (%s/ثانية)
%s of %s - 1 minute left (%s/sec),%s de %s - 1 minute restante (%s/sec),%s von %s - 1 Minute übrig (%s/s),%s من %s - دقيقة واحدة متبقية (%s/ثانية)
%s of %s - 1 second left (%s/sec),%s de %s - 1 seconde restante (%s/sec),%s von %s – 1 Sekunde übrig (%s/s),%s من %s - ثانية واحدة متبقية (%s/ثانية)
'net usershare' returned error %d,« net usershare » a retourné l'erreur %d,»net usershare« gab den Fehler %d zurück,تم إرجاع 'net usershare' الخطأ %d
'net usershare' returned error %d: %s,« net usershare » a retourné l'erreur %d : %s,»net usershare« gab den Fehler %d zurück: %s,تم إرجاع 'net usershare' الخطأ %d: %s
- execute permission by others,- exécution par des tiers,– Ausführungsrechte durch andere,- تنفيذ الإذن بواسطة الآخرين
- read permission by others,- lecture par des tiers,– Leserechte durch andere,- قراءة الإذن بواسطة الآخرين
- write permission by others,- écriture par des tiers,– Schreibrechte durch andere,- كتابة الإذن بواسطة الآخرين
.resized,.redimensionne,.geaendert,.محجمة
.rotated,.pivotee,.gedreht,.مستدر
1024x768,1024x768,1024x768,1024x768
1280x960,1280x960,1280x960,1280x960
128x128,128x128,128x128,128x128
16x16,16x16,16x16,16x16
32x32,32x32,32x32,32x32
48x48,48x48,48x48,48x48
640x480,640x480,640x480,640x480
7-Zip (.7z),7-Zip (.7z),7-Zip (.7z),7-Zip (.7z)
800x600,800x600,800x600,800x600
96x96,96x96,96x96,96x96
%s%s,%s%s,%s%s,%s%s
"A file already exists with this name.

Do you want to replace it with a new file?","Un fichier porte déjà ce nom.

Voulez-vous le remplacer par un nouveau fichier ?","Eine Datei mit diesem Namen ist bereits vorhanden.

Möchten Sie diese durch eine neue Datei ersetzen?","يوجد ملف موجود بالفعل بهذا الاسم.

هل تريد استبداله بملف جديد؟"
Filename,Nom de fichier,Dateiname,اسم الملف
Image Rotation,Rotation d'image,Bilddrehung,دوران الصورة
Image Size,Taille de l'image,Bildgröße,حجم الصورة
You have selected multiple files or folders,Vous avez sélectionné plusieurs fichiers ou dossiers,Sie haben mehrere Dateien oder Ordner ausgewählt.,لقد قمت بتحديد عدة ملفات أو مجلدات
"Resizing ""%s""","Redimensionnement de ""%s""",Bildgröße wird geändert »%s«,"تغيير حجم ""%s"""
"Rotating ""%s""","Rotation de ""%s""",»%s« wird gedreht,"تدوير ""%s"""
"A file named ""%s"" already exists.","Un fichier nommé ""%s"" existe déjà.","Eine Datei mit dem Namen »%s« ist bereits vorhanden.","يوجد بالفعل ملف اسمه ""%s""."
"There was an error renaming ""%s"" to ""%s""","Une erreur est survenue lors du renommage de ""%s"" en ""%s""","Beim Umbenennen von »%s« zu »%s« ist ein Fehler aufgetreten.","حدث خطأ أثناء إعادة تسمية ""%s"" إلى ""%s"""
"There was an error renaming the file to ""%s""","Une erreur est survenue lors du renommage de ""%s""","Beim Umbenennen der Datei zu »%s« ist ein Fehler aufgetreten","حدث خطأ أثناء إعادة تسمية الملف إلى ""%s"""
"The selected ""%s"" is invalid encoding.
Please choose another one.","Le ""%s"" sélectionné est un encodage invalide.
Veuillez en sélectionner un autre.","Das ausgewählte »%s« ist eine ungültige Kodierung.
Bitte eine andere auswählen.","تم تحديد ""%s"" وهو ترميز غير صالح.
يرجى اختيار واحد آخر."
A GTK+ utility for computing message digests or checksums.,Un outil GTK pour calculer les résumés de messages ou les sommes de contrôles.,Ein GTK+Programm zum Berechnen von Nachrichtenzusammenfassungen oder Prüfsummen.,أداه A GTK + مفيدة لحساب رسائل الملخصات أو المجاميع الاختبارية.
Ace (.ace),Ace (.ace),Ace (.ace),Ace (.ace)
Add the permissions automatically,Ajouter les permissions automatiquement,Die Zugriffsrechte automatisch hinzufügen,إضافة الأذونات تلقائياً
Album,Album,Album,الألبوم
Album Artist:,Artiste de l'album :,Albumkünstler:,فنان الألبوم:
Album:,Album :,Album:,الألبوم:
All files,Tous les fichiers,Alle Dateien,كل الملفات
All key files,Tous les fichiers de clé,Alle Schlüsseldateien,كل الملفات الرئيسية
Another share has the same name,Un autre partage porte le même nom,Eine andere Freigabe hat den selben Namen,مشاركة أخرى لها نفس الاسم
Append,Ajouter,Dateiendung,إلحاق
Ar (.ar),Ar (.ar),Ar (.ar),Ar (.ar)
Arabic - CP1256,Arabe - CP1256,Arabisch - CP1256,العربية - CP1256
Archive files,Fichiers d'archive,Archivdateien,ملفات الأرشيف
Arj (.arj),Arj (.arj),Arj (.arj),Arj (.arj)
Artist,Artiste,Künstler,الفنان
Artist:,Artiste :,Künstler:,الفنان:
As is,Tel quel,Wie es ist,كما هو
Audio,Audio,Ton,الصوت
Author,Auteur,Autor,المؤلف
Bad Signature,La signature est invalide,Fehlerhafte Unterschrift,توقيع سيئ
Bad or forged signature. The signed data was modified.,La signature est invalide ou contrefaite. Les données signées ont été modifiées.,Fehlerhafte oder gefälschte Unterschrift. Die unterschriebenen Daten wurden verändert.,توقيع سيئ أو مزور. تم تعديل البيانات الموقعة.
Baltic - CP1257,Balte - CP1257,Baltisch - CP1257,البلطيق - CP1257
Basic,De base,Basis,أساسي
"Because the files are located remotely, each file will be encrypted separately.","Comme les fichiers sont distants, chaque fichier sera chiffré séparément.","Da die Dateien nicht lokal gespeichert sind, werden sie einzeln verschlüsselt.",لأن الملفات موجودة عن بعد، سيتم تشفير كل ملف على حدة.
Bitrate,Débit,Bitrate,معدل البت
Bitrate:,Débit :,Bitrate:,معدل البت:
Bottom,En bas,Unten,أسفل
Camera,Caméra,Kamera,الكاميرا
Cancel,Annuler,Abbrechen,إلغاء
Cannot change the path of an existing share; please remove the old share first and add a new one,Impossible de modifier le chemin d'un partage existant ; veuillez supprimer l'ancien partage puis créez en un nouveau,Der Pfad einer bestehenden Freigabe kann nicht geändert werden. Bitte entfernen Sie zuerst die alte Freigabe und fügen Sie dann eine neue hinzu.,الرجاء إزالة المشاركة القديمة أولاً وإضافة واحدة جديدة
Cannot remove the share for path %s: that path is not shared,Impossible d'enlever le partage pour le chemin %s : ce chemin n'est pas partagé,Freigabe für den Pfad %s kann nicht entfernt werden: der Pfad ist nicht freigegeben,لا يمكن أزاله المشاركة للمسار %s: هذا المسار غير مشترك
Central European latin - CP1250,Latin central européen - CP1250,Mitteleuropäisch - CP1250,اللاتينية أوروبا الوسطى - CP1250
Check against the specified digest or checksum,Comparer au condensé ou à la somme de contrôle indiqué,Gegenüber der angegebenen Zusammenfassung oder Prüfsumme überprüfen,تحقق من الملخص أو المجموع الاختباري المحدد
Chinese simplified - CP936,Chinois simplifié - CP936,Chinesisch vereinfacht - CP936,الصينية المبسطة - CP936
Chinese traditional - CP950,Chinois traditionnel - CP950,Chinesisch traditionell - CP950,الصينية التقليدية - CP950
Choose Decrypted File Name for '%s',Choisissez un nom de fichier déchiffré pour « %s »,Entschlüsselten Dateinamen für »%s« auswählen,اختيار اسم ملف تم فك تشفيره لـ'%s'
Choose Encrypted File Name for '%s',Choisissez le nom du fichier chiffré pour « %s »,Verschlüsselten Dateinamen für »%s« auswählen,اختيار اسم ملف مشفر لـ'%s'
Choose Original File for '%s',Choisissez un fichier original pour « %s »,Originaldatei für »%s« auswählen,اختيار الملف الأصلي لـ'%s'
Choose Signature File Name for '%s',Choisissez un nom de fichier de signature pour « %s »,Unterschriftdateiname für »%s« auswählen,اختيار اسم ملف التوقيع لـ'%s'
Choose Signer,Choisissez le signataire,Unterzeichner auswählen,اختيار التوقيع
Comment:,Commentaire :,Kommentar:,التعليق:
Compare,Comparer,Vergleichen,المقارنة
Compare Later,Comparer plus tard,Später vergleichen,المقارنة لاحقاً
Compare selected files,Comparer les fichiers sélectionnés,Ausgewählte Dateien vergleichen,مقارنة الملفات المحددة
Compare to:,Comparer à :,Vergleichen mit:,المقارنة إلى:
Compress...,Compresser...,Komprimieren …,الضغط...
Copyright:,Droits d'auteur :,Urheberrecht:,حقوق النشر:
"Could not change the permissions of folder ""%s""",Impossible de modifier les permissions du dossier « %s »,Zugriffsrechte des Ordners »%s« konnten nicht geändert werden,"لا يمكن تغيير أذونات المجلد ""%s"""
Couldn't decrypt file: %s,Impossible de déchiffrer le fichier : %s,Datei »%s« konnte nicht entschlüsselt werden,لا يمكن فك تشفير الملف: %s
