cabinet maker,ébéniste,ابنوسي,ﺻﺎﻧﻊ اﻷﺛﺎث اﻟﻔﺎﺧﺮ ﻣﻦ اﻷﺧﺸﺎب اﻟﺜﻤﻴﻨﺔ ﻛﺎﻷﺑﻨﻮس واﻷﻛﺎﺟﻮ وﺧﺸﺐ اﻟﻮرد
archaeologist,archéologue,آثاري,اﻟﻌﺎُلم ﺑﺎﻵﺛﺎر واﻟﺘﻨﻘﻴﺐ ﻋﻨﻬﺎ ودراﺳﺘﻬﺎ
paleontologist,paléontologue,أﺣﺎﻓﲑي,عالم منتخصص في دراسة أشكال الحياة في العصور الجيولوجية المتتالية الغابرة
forester,forestier,أﺣﺮاﺟﻲ,ﻣَﻦ ﻳﺘﻮﱃ ﲪﺎﻳﺔ اﻷﺣﺮاج واﻟﻐﺎﺑﺎت ورﻋﺎﻳﺘﻬﺎ
man of letters,homme de lettres,أديب,من صنعته الأدب، وهو فن النثر و الشعر
professor,professeur,استاذ,من يتولى التدريس في الجامعة أو المعاهد العليا، وهي أعلى رتبة أكاديمية
bishop,évêque,أﺳﻘﻒ,رتبة دينية كنسية
cobbler,savetier,إﺳﻜﺎﰲ,مصلح الأحذية
framer,encadreur,أطار,من يُؤَطِّر الصور واللوحات
fireman,Pompier,إطفائي,ﻣَﻦ ﻳﻘﻮم ﺑﺈﻃﻔﺎء الحرائق وﺑﺄﻋﲈل اﻟﺪﻓﺎع
economist,économiste,اﻗﺘﺼﺎدي,خبير متخصص في استثمار الأموال وإعداد المشاريع الإنتاجية
admiral,amiral,امير البحر (اميرال),قائد قوة بحرية
registrar,greffier,أمين السجل,من يتولى الحفاظ على الوثائق المدونة
secretary,secrétaire,امين السر,موظف يحفظ السجلات وينظم الاجتماعات ويعدّ الإجابة عن المراسلات
curator,conservateur,أمين المتحف,من يدير متحفًا ويحافظ على مقتنياته
storekeeper,magasinier,أمين المستودع,اﳌﺴﺆول ﻋﻦ ﺗﺴﻠﻢ ﻣﻮاد اﳌﺴﺘﻮدع وﺗﺴﻠﻴﻤﻬﺎ
cashier,caissier,أمين صندوق,ﻣﻮﻇﻒٌ ﰲ ﻣﺆﺳﺴﺔ أو ﴍﻛﺔ أو ﳏﻞ ﲡﺎري ﻳﺘﻮﱃ أﻣﻮر اﻟﺘﻌﺎﻣﻞ اﻟﻨﻘﺪي ﻣﻊ اﻟﺰﺑﺎﺋﻦ
general secretary,secrétaire général,أمين عام,ﻣَﻦ ﺗُﻌﻬﺪ إﻟﻴﻪ اﻟﺸﺆون اﻹدارﻳﺔ ﰲ ﻣﺆﺳﺴﺔ أو ﻣﻨﺸﺄة
archivist,archiviste,امين محفوظات (الارشيف),اﻟﻘﻴﻢ ﻋﲆ اﻟﺴﺠﻼت واﳌﺤﻔﻮﻇﺎت
seller,vendeur,بائع,من يبيع السلع المختلفة
packman,colporteur,بائع متجول,من يدعي التنبؤ بالغيب
ethnographer,ethnographe,باحث في الاثنيات,المتخصص في دراسة خصائص مجموعات بشرية لكل منها لغة و ثقافة مشتركة
maker,poudrier,بارودي,صانع البارود أو بائعه
papyrologist,papyrologue,بردياتي,المتخصص في قراءة النصوص المكتوبة على ورق البردي
clothier,marchand de tissus,بزّاز,تاجر الأقمشة
seedsman,grainier,بزّار,ناثر البزور
horticulturist,horticulteur,بستاني,من يعتني بالبساتين و نباتات الزينة
soothsayer,voyante,بصارة,من تدعي التنبؤ بالغيب
muleteer,muletier,بغّال,من يقوم على رعاية البغال و استخدامها
cowboy,bouvier,بقّار,من يربي الابقار او يرعاها
grocer,épicier,بقّال,بائع المواد الغذائية و الاحتياجات المنزلية
pavior,dalleur,بلّاط,من يكسو الارض او الجدران بنوع خاص من الحجارة او القاشاني (الزليج)
builder,maçon,بنّاء,مدير البناء و صانعه
acrobat,acrobate,بهلوان,البارع في العاب التوازن و المهارة في الحركة كالمشي على الحبل و القفز في الهواء
door keeper,concierge - portier,بوّاب,من يحفظ الباب ويحرسه ويلازمه
falconer,fauconnier,بيزار,من يدرب الطيور الجارحة على الصيد، ويصيد بها
farrier,maréchal ferrant,بيطار,من يحذو حوافز الخيل بإمعانها
veterinarian,vétérinaire,بيطري,طبيب مجاز في الصحة الحيوانية
well digger,puisatier,بيّار,حافر الآبار و مصلحها
merchant,marchand,بيّاع,من يشتري البضائع ويبيعها
tradesman,commerçant,تاجر,من يدرس أعمال البيع والشراء والاستيراد والتصدير
pedagogue,pédagogue,تربوي,المتخصص في علم التربية والمناهج وطرق التدريس والوسائل التعليمية
interpreter,interprète,ترجمان,من يقوم بأعمال الترجمة الفورية أو التتابعية من لغة إلى أخرى
date merchant,Marchand de dattes,تمّار,بائع التمر
