%.1f (35mm film),%.1f (film 35mm),%.1f (35mm-Film),%I.1f (فيلم 35مم)
(invalid Unicode),,,(يونيكود غير صحيح)
%f: original filename,%f : nom de fichier original,%f: ursprünglicher Dateiname,‏‪%f‬‏: اسم الملف الأصلي
%n: counter,%n : compteur,%n: Zähler,‏‪%n‬‏: عدّاد
A trash for “%s” couldn’t be found. Do you want to remove this image permanently?,Impossible de trouver une corbeille pour « %s ». Voulez-vous supprimer définitivement cette image ?,Es konnte kein Papierkorb für »%s« gefunden werden. Wollen Sie das Bild unwiderruflich löschen?,تعذّر العثور على مهملات ”%s“. أتريد إزالة هذه الصورة بشكل دائم؟
A value greater than 0 determines the seconds an image stays on screen until the next one is shown automatically. Zero disables the automatic browsing.,"Une valeur supérieure à zéro détermine la durée d’affichage d’une image à l’écran, en secondes, avant de passer automatiquement à l’image suivante. Zéro désactive la navigation automatique.","Ein Wert größer 0 legt die Sekunden fest, die ein Bild angezeigt wird, bevor automatisch auf das nächste weitergeschaltet wird. Null schaltet die automatische Weiterschaltung ab.",أي قيمة أكبر من 0 تحدّد الثّواني الذي تبقاها صورةٌ على الشّاشة حتّى عرض الصّورة التّالية تلقائيًّا. الصّفر يلغى التّصفح التّلقائي.
Activate fullscreen mode with double-click,Passer en mode plein écran avec un double-clic,Vollbildmodus durch Doppelklick aktivieren,نشّط طور ملء الشاشة بالنقر المزدوج
Active plugins,Greffons actifs,Aktivierte Erweiterungen,الملحقات النشِطة
Actual size,Taille réelle,Tatsächliche Größe,الحجم الحقيقي
All files,Tous les fichiers,Alle Dateien,كل الملفّات
Allow zoom greater than 100% initially,Permettre un zoom initial supérieur à 100 %,Anfangsvergrößerung größer als 100% erlauben,اسمح بتقريب أكبر من 100% مبدئيًّا
Aperture,Ouverture,Blende,قيمة الفتحة
Aperture Value:,,,قيمة الفتحة:
"Are you sure you want to move
“%s” to the trash?","Voulez-vous vraiment mettre
« %s » à la corbeille ?","Soll »%s« wirklich
in den Papierkorb verschoben werden?","أتريد فعلًا نقل الصورة ”%s“
إلى المهملات؟"
"Are you sure you want to remove
“%s” permanently?","Voulez-vous vraiment supprimer
« %s » définitivement ?","Soll »%s«
wirklich dauerhaft gelöscht werden?","أتريد فعلًا حذف الصورة ”%s“
نهائيًا؟"
As background,Comme l’arrière-plan,Als Hintergrund,كخلفية
As check pattern,Comme un damier,Als Karo-Muster,كنمط التماس
As custom color:,Couleur personnalisée :,Als benutzerdefinierte Farbe:,كلون مخصص:
As custom color:,Couleur personnalisée :,Als benutzerdefinierte Farbe:,كلون مخصص:
At least two file names are equal.,Au moins deux noms de fichiers sont identiques.,Mindestens zwei Dateinamen sind gleich.,على الأقل هناك ملفان باسم واحد.
Author:,,,المؤلف:
Automatic orientation,Orientation automatique,Automatische Drehung des Bildes,توجه تلقائي
Background,Arrière-plan,Hintergrund,خلفية
Background Color,Couleur d’arrière-plan,Hintergrundfarbe,لون الخلفية
Best fit,Taille idéale,Einpassen,أفضل ملاءمة
Both,Les deux,Beide,كلاهما
Browse and rotate images,Parcourir et pivoter les images,Bilder betrachten und drehen,تصفح و أدر الصور
Browsing Images,Navigation parmi les images,Bilder durchsuchen,تصفح الصور
Bytes:,,,بايتات:
Center:,Centrer :,Zentriert:,مركز:
Camera,Appareil photo,Kamera,كاميرا
Camera Model:,,,طراز الكاميرا:
Changes the visibility of the image gallery pane in the current window,Modifie la visibilité du volet de la galerie d’images dans la fenêtre actuelle,Ändert die Sichtbarkeit der Bildersammlungsleiste des aktuellen Fensters,تغيير رؤية لوح معرض الصور في النافذة الحالية
Choose a folder,Choisissez un dossier,Ordner wählen,اختر مجلّدًا
Close without Saving,Fermer sans enregistrer,Ohne Speichern schließen,أغلق دون حفظ
Close all windows,Fermer toutes les fenêtres,Alle Fenster schließen,أغلق كل النوافذ
Close main window without asking to save changes.,Ferme la fenêtre principale sans demander l’enregistrement des modifications.,Hauptfenster ohne Nachfrage zum Speichern der Änderungen schließen.,أغلق النافذة الرئيسية دون حفظ التغييرات.
Close the current window,Fermer la fenêtre actuelle,Das aktuelle Fenster schließen,أغلق النافذة الحالية
Color for Transparent Areas,Couleur pour les zones transparentes,Farbe für transparente Bereiche,لون المساحات الشفّافة
Copyright:,,,حقوق النشر:
Could not display help for Image Viewer,,,تعذّر عرض مساعدة عارض الصور
Could not load image “%s”.,Impossible de charger l’image « %s ».,Bild »%s« konnte nicht geöffnet werden.,تعذّر تحميل الصورة ’%s‘.
Could not save image “%s”.,Impossible d’enregistrer l’image « %s ».,Bild »%s« konnte nicht gespeichert werden.,تعذّر حفظ الصورة ’%s‘.
Couldn’t access trash.,Impossible d’accéder à la corbeille.,Auf den Papierkorb konnte nicht zugegriffen werden.,تعذّر الوصول إلى المهملات.
Couldn’t allocate memory for loading JPEG file,Impossible d’allouer de la mémoire pour le chargement du fichier JPEG,Speicher zum Laden der JPEG-Datei konnte nicht reserviert werden,تعذّر تخصيص ذاكرة لتحميل ملف JPEG
Couldn’t create temporary file for saving: %s,Impossible de créer un fichier temporaire pour l’enregistrement : %s,Temporäre Datei zum Speichern konnte nicht angelegt werden: %s,تعذّر إنشاء ملف مؤقّت لحفظ: %s
Couldn’t delete file,Impossible de supprimer le fichier,Datei konnte nicht gelöscht werden,تعذر حذف الملف
Couldn’t retrieve image file,Impossible de retrouver le fichier image,Bilddatei konnte nicht geholt werden,تعذر جلب ملف الصورة
Couldn’t retrieve image file information,Impossible de retrouver les informations du fichier image,Dateiinformationen konnten nicht geholt werden,تعذر جلب معلومات ملف الصورة
Date,Date,Datum,التاريخ
Date in statusbar,Date dans la barre d’état,Datum in Statusleiste,التاريخ في شريط الحالة
Date/Time:,,,التّاريخ والوقت:
Delay in seconds until showing the next image,Délai en secondes avant d’afficher l’image suivante,"Verzögerung in Sekunden, bis das nächste Bild angezeigt wird",التّأخير بالثّواني حتّى عرض الصّورة التّالية
Description:,,,الوصف:
Details,Détails,Details,التفاصيل
"Determines how transparency should be indicated. Valid values are CHECKPATTERN, COLOR and NONE. If COLOR is chosen, then the trans-color key determines the color value used.","Détermine la manière dont la transparence doit être indiquée. Les valeurs valides sont CHECKPATTERN, COLOR et NONE. Si COLOR est choisi, alors la clé trans-color détermine la valeur de la couleur utilisée.","Legt fest, wie Transparenz dargestellt werden soll. Zulässige Werte: »CHECKPATTERN«, »COLOR« sowie »NONE«. Falls Sie »COLOR« wählen, legt der »transcolor«-Schlüssel fest, welche Farbe verwendet werden soll.",يحدد كيفيّة الإشارة للشّفافيّة. القيم الممكنة هي CHECKPATTERN و COLOR و NONE. إن اختيرت القيمة COLOR فسيحدد مفتاح transcolor قيمة اللّون المستخدم.
Disable image gallery,Désactiver la galerie d’images,Bildersammlung deaktivieren,عطل معرض الصور
Do not ask again during this session,Ne plus demander pendant cette session,Während der laufenden Sitzung nicht erneut fragen,لا تسأل ثانيا خلال هذه الجلسة
