English,French,German,Arabic
%.1f EB,%.1f Eo,%.1f EB,%I.1f إ.بايت
%.1f EiB,,,%I.1f إ.بايت
%.1f GB,%.1f Go,%.1f GB,%I.1f ج.بايت
%.1f GiB,,,%I.1f ج.بايت
%.1f KB,%.1f Ko,%.1f KB,%I.1f ك.بايت
%.1f KiB,,,%I.1f ك.بايت
%.1f MB,%.1f Mo,%.1f MB,%I.1f م.بايت
%.1f MiB,,,%I.1f م.بايت
%.1f PB,%.1f Po,%.1f PB,%I.1f ب.بايت
%.1f PiB,,,%I.1f ب.بايت
%.1f TB,%.1f To,%.1f TB,%I.1f ت.بايت
%.1f TiB,,,%I.1f ت.بايت
%.1f kB,,,%I.1f ك.بايت
%s filetype,Type de fichier %s,%s-Dateityp,نوع ملفّ %s
%s type,Type %s,%s-Typ,نوع %s
'%s' is not a valid character following a '<' character; it may not begin an element name,,,'%s' محرف غير سليم بعد المحرف '<'؛  ربما لا يبدأ هذا المحرف اسم عنصر
'%s' is not a valid character following the characters '</'; '%s' may not begin an element name,,,‏'%s' محرف غير صالح بعد الرموز ‪'</'; '%s'‬ ربما لن يبدأ اسم عنصر
'%s' is not a valid character following the close element name '%s'; the allowed character is '>',,,'%s' محرف غير صالح بعد اغلاق اسم العنصر '%s'؛ المحرف المسموح به هو '>'
'%s' is not a valid name,,,ليس '%s' اسما سليما
'%s' is not a valid name: '%c',,,ليس '%s' اسما سليما: '%c'
(?R or (?[+-]digits must be followed by ),,,‏(?R  أو  (?[+-] أرقام يجب أن تتبع ب  )
(invalid encoding),(codage non valide),(ungültige Kodierung),(ترميز غير سليم)
) without opening (,,,) بلا قوس فاتح (
A bookmark for URI '%s' already exists,,,توجد بالفعل علامة للمسار '%s'
AM,AM,AM,ص
Application Options:,Options de l’application :,Anwendungsoptionen:,خيارات التطبيق:
Apr,avril,Apr,أبريل
April,avril,April,أبريل
Association creation not supported on win32,,,إنشاء الترابط غير مدعوم على win32
Attribute '%s' of element '%s' not found,,,الصفة '%s' للعنصر '%s' غير موجودة
Attribute value must be non-NULL,La valeur d’attribut ne doit pas être « NULL »,Attributwert darf nicht NULL sein,قيمة الخاصية لا بد أن تكون غير منعدمة
Aug,août,Aug,أغسطس
August,août,August,أغسطس
Backup file creation failed,La création du fichier de sauvegarde a échoué,Erstellen der Sicherungsdatei gescheitert,فشل إنشاء ملف النسخة الاحتياطية
Can't copy directory over directory,,,لا يمكنك نسخ دليل على دليل
Can't copy over directory,,,لا يمكنك نقل دليل على دليل
Can't create user MIME configuration folder %s: %s,,,لا يمكن إنشاء مجلد التهيئة MIME %s للمستخدم: %s
Can't create user application configuration folder %s: %s,,,تعذّر إنشاء مجلد التهيئة الخاص بتطبيق المستخدم %s: ‏%s
Can't create user desktop file %s,,,لا يمكن إنشاء الملف %s
Can't do a raw read in giochannelreadlinestring,,,لا يمكن عمل قراءة خام في giochannelreadlinestring
Can't do a raw read in giochannelreadtoend,,,لا يمكن عمل قراءة خام في giochannelreadtoend
Can't find application,,,تعذّر العثور على التّطبيق
Can't move directory over directory,,,لا يمكنك نقل دليل على دليل
Can't open directory,,,لا يمكن فتح الدّليل
Can't recursively copy directory,,,لا يمكنك النسخ التكراري للدليل
"Can't rename file, filename already exists",,,لا يمكنك إعادة تسمية الملف، اسم الملف موجود بالفعل
Can't rename root directory,,,لا يمكنك إعادة تسمية الدليل الجذري
Cancellable initialization not supported,Initialisation annulable non prise en charge,Abbrechbare Initialisierung wird nicht unterstützt,الاستبداء القابل للإلغاء غير مدعوم
Cannot convert fallback '%s' to codeset '%s',,,تعذّر تحويل fallback '%s' إلى مجموعة المحارف '%s'
Cannot parse double value '%s' for %s,,,تعذّر تحليل القيمة المزدوجة '%s' ل %s
Cannot parse integer value '%s' for %s,,,تعذّر تحليل قيمة العدد الصحيح '%s' ل %s
Cannot set permissions on symlinks,Impossible de définir des permissions sur les liens symboliques,Zugriffsrechte für symbolische Verknüpfungen können nicht gesetzt werden,لا يمكن ضبط صلاحيات الوصلات الرمزية
