
"""%s"" on %s",,,"‏""%s""في %s"
%i %s %i %s,%i %s %i %s,%i %s %i %s,%i %s %i %s
%s of UPS backup power remaining,Il reste %s d’autonomie à l’onduleur,%s der USV-Ladung verbleibend,‏%s باقي من طاقة مزود الطاقة اللامنقطعة
A previous update was unfinished.,,,لم يكتمل التحديث السابق.
A transaction that cannot be interrupted is running,,,يجري تبادل لا يمكن مقاطعته
Accessibility Keyboard,,,إتاحة لوحة المفاتيح
Accessibility keyboard plugin,,,ملحق إتاحة لوحة المفاتيح
Accessibility settings,,,إعدادات الإتاحة
Accessibility settings plugin,,,ملحقة إعدادات الإتاحة
Activation of this plugin,,,فعِّل هذه الملحقة
Additional firmware is required to make hardware in this computer function correctly.,,,تحتاج إلى برمجيات مضمنة إضافية ليعمل عتاد هذا الحاسوب كما ينبغي.
Additional firmware required,,,مطلوب برمجيات مضمنة إضافية
Additional software was installed,,,ثُبِّتت برمجيات إضافية
An important OS update failed to be installed.,,,فشل تثبيت تحديث مهم لنظام التشغيل.
An offline update was requested but no packages required updating.,,,طُلب تحديث دون اتصال لكن لم تحتج أي حزم للتحديث.
An update failed to install correctly.,,,فشل تثبيت التحديث كما يجب.
An update was not signed in the correct way.,,,أحد التحديثات لم يكن مُوقّعا كما ينبغي.
Antialiasing,Lissage,Kantenglättung,التنعيم
Approximately %s of remaining UPS backup power (%.0f%%),,,تقريبًا %s متبقية من شحنة طاقة مزود الطاقة اللامنفطعة (%.0f%%)
Approximately %s of remaining UPS power (%.0f%%). Restore AC power to your computer to avoid losing data.,,,لديك تقريبًا %s متبقية من شحنة UPS‏ (%.0f%%). أرجع التيار للحاسوب لتتجنب ضياع البيانات.
Approximately %s remaining (%.0f%%),,,لديك تقريبًا %s متبقية (%.0f%%)
Attached computer battery low,Batterie de l’ordinateur connecté faible,Akku des angeschlossenen Rechners ist fast leer,طاقة بطارية الحاسوب المُوصّل منخفضة
Attached computer is low in power (%.0f%%),,,طاقة الحاسوب المُوصَّل منخفضة (%.1f%%)
Attached computer is very low in power (%.0f%%). The device will soon shutdown if not charged.,,,طاقة الحاسوب الموصول ضعيفة جدا (%.0f%%). سيتوقف بعد قليل إن لم يُشحن.
