
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
"""Upper"" 0%",« Supérieur » 0 %,»Über« 0%,الأعلى
"""from"" * General","""de"" * General","""von"" * General",هيِّء %1 كـ %2
# Input variables,# Variables d'entrée,# Eingabevariablen,متغيّرات نموذجيّة
# Output variables,# Variables de sortie,# Ausgabevariablen,سطور الخَرْج
#N/A,#N/A,#NV,غير متوفر
#NAME?,#NOM?,#NAME?,اسم الدليل
#UNKNOWN!,#INCONNU !,#UNBEKANNT!,مجهول
#VALUE!,#VALEUR!,#WERT!,VALUE
% of normal size,% de la taille normale,% der normalen Größe,الحجم الطبيعي
%dC,%dC,%dS,%d °م
%dQ,%dT,%dQ,#%d
%dR,%dR,%dZ,W%R
%dR x %dC,%dR x %dC,%dZ x %dS,%d x %d
"%s
Run '%s --help' to see a full list of available command line options.","%s
Lancez « %s --help » pour afficher une liste compète des options disponibles en ligne de commande.","%s
Rufen Sie »%s --help« auf, um eine Liste aller verfügbaren Befehlszeilenparameter angezeigt zu bekommen.","%s
شغّل '%s --help' لترى قائمة كاملة بخيارات سطر الأوامر المتاحة."
%s (%s),%s (%s),%s (%s),%s (%s)
%s : 	%s,,,%s (%s)
%s does not contain the new value.,%s ne contient pas la nouvelle valeur.,%s enthält nicht den neuen Wert.,لا يحوي الجهاز '%s' وسيطا.
%s does not support multiple ranges,%s ne prend pas en charge les plages multiples,%s unterstützt nicht mehrere Bereiche,لايدعم هذا النظام شاشات ولوج رسومية متعددة.
%s evaluates to %s.,%s vaut %s.,%s ergibt %s.,%s إصدارة %s
%s is encrypted,%s est chiffré,Die Datei %s ist verschlüsselt,غير مشفّرة
%s is not true.,%s n'est pas vrai.,%s ist nicht wahr.,%s ليس ملفا عاديا
%s takes no arguments,%s ne possède pas de paramètres,»%s« erwartet keine Argumente,%s ليس ملفا عاديا
%s to %s,%s à %s,%s bis %s,%s على %s
%s version %s,%s version %s,%s Version %s,%s إصدارة %s
"%s!%s : unable to parse '%s'
     %s","%s!%s : impossible d'analyser « %s »
     %s","%s!%s: »%s« konnte nicht interpretiert werden
     %s",لا يمكن تحميل '%s': %s
%s!%s is locked,%s!%s est verrouillé,%s!%s ist gesperrt,هذه الملاحظة مقفلة.
%s: %s,%s : %s,%s: %s,%s (%s)
%s: Cannot read %s: %s,%s : impossible de lire %s : %s,%s: %s kann nicht gelesen werden: %s,تعذر ايجاد الملف %s
&[DATE],&[DATE],&[DATE],DAT
&[TAB],&[TAB],&[TAB],لسان
'%s' has a circular reference,« %s » a une référence circulaire,»%s« hat eine zirkuläre Verknüpfung,تفضيلات مشغل الموسيقى
'%s' is already defined in sheet,« %s » est déjà défini dans la feuille,»%s« wurde bereits im Blatt definiert,{0} موجود في القائمة مسبقاً
'%s' is already defined in workbook,« %s » est déjà défini dans le classeur,»%s« wurde bereits im Arbeitsbuch definiert,"الشّارة ""%s"" معرفة مسبقاً"
'%s' is corrupt!,« %s » est endommagé !,»%s« ist beschädigt!,%s'%s' فارغ
'%s' is not a valid date,« %s » n'est pas une date valide,»%s« ist kein gültiges Datum,"""%s"" ليس مجلّدا سليما"
'%s' is not allowed as defined name.,« %s » n'est pas autorisé comme définition de nom.,»%s« ist nicht erlaubt als definierter Name.,{0} موجود في القائمة مسبقاً
'%s' is not an integer,« %s » n'est pas un entier,»%s« ist keine gültige Ganzzahl,%s ليس مجلّدا
() is an invalid expression,() n'est pas une expression valide,() ist ein ungültiger Ausdruck,تعبير بحث غير سليم.
(All),(Tous),(Alles),الكل
(Blanks...),(Vides...),(Leere...),(تحميل...)
(Custom...),(Personnalisé...),(Benutzerdefiniert...),خصِّص...
(Input),(Entrée),(Eingabe),الدخْل
(Maximum):,(Maximum) :,(Maximum):,الحد الأقصى:
(Minimum):,(Minimum) :,(Minimum):,الحد الأدنى:
(empty),(vide),(leer),(فارغ)
(none),,,(لا شئ)
*** Interpreter: %s,*** Interpréteur : %s,*** Interpreter: %s,لقد فشل المفسّر.
- Gnumeric,- Gnumeric,- Gnumeric,رقمي
/Real/Imaginary,/Réelle/Imaginaire,/Real/Imaginär,ثنائى
<Blank>,<Vide>,<Leer>,أسود
"%s
Location: %s","%s
Emplacement : %s","%s
Ort: %s",معتم
Background,Arrière-plan,Hintergrund,الخلفية
Cell operation,Opération de cellule,Zellenoperation,الموقع:
Center on page:,Centrer dans la page :,Auf der Seite zentrieren:,نماذج في الصفحة
Control,Contrôle,Steuerung,أسلوب التحكّم:
Created:,Créé :,Erstellt:,تاريخ الإنشاء:
Error alerts,Alertes,Fehlerwarnungen,حاسوب لوحة
Group:,Groupe :,Gruppe:,مِن:
Horizontal alignment,Alignement horizontal,Horizontale Ausrichtung,ترصيف أفقي
Information,Information,Information,معلومات
Last Accessed:,Dernier accès :,Letzter Zugriff:,آخر تشغيل:
Last Modified:,Dernière modification :,Zuletzt geändert:,آخر تعديل:
Line,Ligne,Linie,الولوج:
Location:,Emplacement :,Ort:,الموقع:
Location,Emplacement,Ort,الموقع:
Name:,Nom :,Name:,الإسم
New Author:,Nouvel auteur :,Neuer Autor:,أخرى
Number of cells:,Nombre de cellules :,Zellenanzahl:,عدد الصفحات:
Number of pages:,Nombre de pages :,Anzahl der Seiten:,عدد الصفحات:
Number of sheets:,Nombre de feuilles :,Anzahl der Blätter:,عدد الصفحات:
Orientation:,Orientation :,Ausrichtung:,الموقع:
Old Author:,Auteur précédent :,Alter Autor:,أخرى
