
"""%s"" cannot be moved to the Trash. Do you want to delete it permanently?",,,"لا يمكن نقل الملف إلى المهملات،
أتريد حذفه للأبد؟"
Actions,,,الانتقاء
Album Style,,,غلاف الألبوم:
Aspect ratio,,,تنشيط
Background style,,,الخلفية
Basic Information,,,معلومات
Camera Data,,,بيانات ثانويّة أخرى
Caption,,,الخيارات
Categories:,,,منشيء الملف:
Change the following values:,,,%s قد نشر المهمة الآتية:
Change to:,,,القناة:
Color levels,,,الألوان
Comments,,,تعليق:
Compression,,,الضغط
Direction,,,الإتجاه:
Display,,,مرّات الرّبح
Footer,,,التذييلات
Header and footer,,,الترويسات و التذييلات:
Header,,,الترويسات
Hide/Show,,,فيديو
Image Sizing,,,صورة
Image type,,,صورة
Index Page Layout,,,تخطيط لوحة المفاتيح
Index images,,,صورة
Information on Channel:,,,معلومات
Interface,,,واجهة المستخدم
Margins,,,مرّات الرّبح
New dimensions,,,الأذون
On startup:,,,بدأ التشغيل
Orientation,,,الإتجاه:
Original dimensions,,,الإمتدادات المتوفِّرة
Other Actions,,,أخرى
Other,,,أخرى
Page size,,,حجم الورق:
Personalize theme,,,لوح ألوان
Position,,,موقع المكبّر
Resolution,,,الانتقاء
Saving,,,المشاركة
Scale ratio,,,الانتقاء
Search criteria,,,معايير البحث
Search scope,,,بحث عن
Selection,,,الانتقاء
Size,,,الحجم
Slideshow,,,فيديو
Theme,,,التيمة
Viewer,,,عارض الصّور
Write to CD,,,خيارات الكتابة
Zoom quality,,,قائمة المكبّر
Zoom,,,التذييلات
Folder,,,مجلّد الموسيقى
Recent folders:,,,المجلّد الهدف
Note: # (enumerator).,,,لا شيء
Note: %d (current date).,,,لا شيء
"Note: Drag the image to move it in the page.
Click on an image to rotate it.",,,ملاحظة: الألوان التالية متاحة لتطيبقات الطرفيّة. 
Note: click to customize.,,,لا شيء
A4,,,A4
Adjust timezone:,,,إضبط البياض
Available applications:,,,التطبيق المتوفر:
Available categories:,,,الاستراتيجيات المتوفرة
Activate items with a double click,,,نشّط العناصر بنقرة مزدوجة
Activate items with a single click,,,نشّط العناصر بنقرة واحدة
Actual size,,,الحجم الكلي
Add a comment to selected images,,,أزل علامة التعليق من الشفرة المنتقاة
Add current location to bookmarks,,,أضِف المجلّد الحالي إلى علامات المواقع
Add selected images to a catalog,,,قص الرسائل المُنتقاه إلى الحافظة
Adjust brightness and contrast,,,تعديل السطوع والتباين
Adjust color balance,,,تعديل توازن اللون
Adjust hue and saturation,,,تعديل السطوع والتباين
After,,,بعد
After loading an image:,,,"حدث خطأ عند تحميل صورة: ""%s""."
All,Tout,Alle,الكل
Alpha,Alpha,Alpha,ألفا:
"An image named ""%s"" is already present. Do you want to overwrite it?",,,هناك ملف باسم '%s' موجود حاليا. هل تريد الكتابة فوقه؟
"An image named ""%s"" is already present. Please specify a different name.",,,"الإسم ""%s"" مستخدم في هذا المجلد سابقا. فضلا استخدم اسما آخر."
An image viewer and browser for GNOME.,Un visionneur et navigateur d’images pour GNOME.,Ein Bildbetrachter und Browser für GNOME.,متصفح مساعدة developer في جنوم 2
Any,,,أيّ
Aperture value,,,قيمة الفتحة
Apply physical transform,,,اكتب محولات الملفات
Apply to all images,,,طبق على كل الحالات
Ask confirmation before deleting images or catalogs,,,أطلب التأكيد قبل إغلاق صورة بدون حفظ
Assign categories to selected images,,,أرسِل التغييرات في الملفات المنتقاة
Assign categories to the current folder,,,عرض المجلد الحالي
Assign categories to the selected folder,,,غير خصائص المجلد المنتقى
Astronomy,Astronomie,Astronomie,لفظة أوائلية
Auto,,,تلقائي
Automatic sizing,,,ولوج تلقائي
Automatically adjust the color levels,,,عدّل حجم تخزين التأخير تلقائياً بين
Automatically equalize the image histogram,,,أدرج التعابير المرسومة آلياً
Automatically import digital camera photos,Importe automatiquement les photos de l’appareil photo,Fotos von Digitalkameras automatisch importieren,ابدأ البحث آليّا
Automatically start a slideshow,,,ابدأ البحث آليّا
Before,,,قبل:
Birthday,Anniversaire,Geburtstag,عيد الميلاد
Black,Noir,Schwarz,أسود
Black and White,,,أسود على أبيض
Blue,Bleu,Blau,أزرق
Bookmarks,Signets,Lesezeichen,علامات المواقع
Brightness - Contrast,,,السطوع-التباين
Browser,Navigateur,Browser,المتصفح
By current date and time,,,الصفحة الحالية
Bytes,Octets,Byte,بايتات
Catalogs:,Catalogues :,Kataloge:,فهرس
Choose from the catalog,,,أغلق الحوار
Click policy:,,,التقاط فقط
Create,Créer,Erstellen,أنشئ
Current date,,,الصفحة الحالية
Catalog,,,فهرس
Categories,,,الفئات
Categories...,,,الفئات...
Categories:,,,الفئات:
Camera Model,,,موديل الكاميرا
Camera Model,Modèle d’appareil photo,Kameramodell,موديل الكاميرا
Camera model,,,موديل الكاميرا
"Cannot load folder ""%s"": %s",,,لا يمكن جلب الدّليل: %s: %s
"Cannot open catalog ""%s"": %s",,,لا يمكن فتح صندوق البريد %s: %s
"Cannot remove catalog ""%s"": %s",,,لا يمكن حذف %s: %s
"Cannot remove library ""%s"": %s",,,لا يمكن حذف %s: %s
"Cannot save catalog ""%s"": %s",,,لا يمكن ضبط المخطط لـ %s : %s
Caption,Légende,Beschriftung,تسمية
Case:,Casse :,Groß-/Kleinschreibung:,أحمر:
Catalogs,Catalogues,Kataloge,فهرس
Categories,,,الفئات
Category,,,الصنف:
Center on Page,,,وسط الأب
Change Date,Modification de la date,Datum ändern,غيّر الحالة
Change Date...,,,غيّر الحالة
Check All,,,افحص HTML
Check None,,,دقق الكلمة
Checked,,,افحص
Checking image:,,,يجري فحص الخدمة
Choose a Catalog,,,اختر إجراءً:
Choose categories from the saved list,,,انتق عناصر من القائمة
Choose destination folder,Sélectionnez le dossier de destination,Wählen Sie einen Zielordner,انتقي المجلّد الهدف
Choose startup folder,,,اختر مجلد
Choose the destination folder,,,انتقي المجلّد الهدف
Close,,,أغلق
Close this window,,,إغلاق النافذة
Comment,,,التعليق:
Comment date,Date du commentaire,Datum des Kommentars,اجعل الشفرة تعليقا
Comment:,,,التعليق:
Comments,,,التعليق:
Columns:,,,أعمدة:
Collecting images info,,,المكان الذي تُفتَح منه الصور
Color:,,,اللون:
Color Balance,,,توازن اللون
Comment,,,التعليق:
Comment...,,,التعليق:
Command Line,Ligne de commande,Befehlszeile,سطر الأوامر
Comment,Commentaire,Kommentar,التعليق:
Comment font:,,,تعليق:
Compression level:,Niveau de compression :,Kompressionsgrad:,الضغط
Contrast:,Contraste :,Kontrast:,التباين:
Contents,,,المحتويات
Continue,,,مواصلة
Convert Format...,,,يجري تحويل %s...
Convert Format,Conversion de format,Format umwandeln,هيئة التصدير
Convert image format,,,هيئة التصدير
Converting image: %s,,,تحويل الصورة
Copy current folder,,,المجلّد الحالي
Copy selected folder,,,انسخ السّطور المنتقاة
Copy selected images to another location,,,نسخ الرّسالة المنتقاة إلى مجلّد آخر
Copy this image to another location,,,نسخ الرّسالة المنتقاة إلى مجلّد آخر
"Copy to ""approved"" folder",,,انسخ السّطور المنتقاة
Copying file %d of %d,,,حذف العنصر  %dمن %d
Copying file %ld of %ld,,,حذف العنصر  %dمن %d
Copying original images,Copie des images originales,Originalbilder werden kopiert,نسخ صورة القرص
"Could not copy the folder ""%s"": %s",,,تعذّر فتح المجلّد: %s: %s
Could not copy the image:,,,لم يمكن تحميل النسق
Could not create a local temporary copy of the remote file.,,,لم يمكن إنشاء ملف احتياطي مؤقت عند حفظ %s
Could not create a temporary folder,Impossible de créer un dossier temporaire,Es konnte kein temporärer Ordner angelegt werden,لم يمكن إنشاء ملف مؤقت لـ '%s': %s
"Could not create folder ""%s"": %s.",,,تعذّر إنشاء المجلّد `%s': %s
"Could not create the catalog ""%s"": %s",,,لم يمكن إنشاء صورة مصغرة لـ %s: %s
"Could not create the folder ""%s"": %s",,,تعذّر إنشاء المجلّد `%s': %s
"Could not create the library ""%s"": %s",,,لم يمكن إنشاء صورة مصغرة لـ %s: %s
"Could not delete the folder ""%s"": %s",,,"لايمكن حذف المجلّد ""%s"""
Could not delete the images:,,,"لايمكن حذف المجلّد ""%s"""
Could not display help,Impossible d’afficher l’aide,Hilfe konnte nicht angezeigt werden,لم يمكن عرض المساعدة: %s
"Could not duplicate the image ""%s"": %s",,,"تعذّر فتح العنوان ""%s"": %s"
Could not import photos,,,تعذّر استيراد المفاتيح
Could not move temporary file to local destination. Check folder permissions.,,,غير قادر على تحديث تصريحات المجلد.
"Could not move the folder ""%s"": %s",,,تعذّر فتح المجلّد: %s: %s
Could not move the image:,,,لا يمكن حذف عنصر
Could not move the items:,,,لا يمكن حذف عنصر
"Could not rename the catalog ""%s"": %s",,,لا يمكن إعادة تسمية %s إلى %s: %s
"Could not rename the folder ""%s"": %s",,,لم يمكن اعادة تسمية المجلّد
Could not rename the following images:,,,لم يمكن اعادة تسمية المجلّد
Could not rename the image:,,,لم يمكن اعادة تسمية الملف
"Could not rename the library ""%s"": %s",,,"تعذّر فتح العنوان ""%s"": %s"
Crop,,,اقتصاص
Create Index Image,,,إنشاء صورة جديدة
Create HTML image map,Créer une carte HTML cliquable,HTML-Bildübersicht erstellen,إنشاء صورة جديدة
Create Index Image...,,,إنشاء صورة جديدة
Create Web Album...,,,انشئ مفتاحاً جديداً...
Create a new catalog,,,أنشيء مهمّةً جديدة
Create a new catalog library,,,أنشيء تقويماً جديداً
Create a new category,,,انشيء مفتاح جديد
Create a new folder,,,انشيء مجلد بريد جديد
Create a new window,,,إنشاء نافذة جديدة
Creating image: %s.%s,,,يجري حفظ الصورة %s.
Crop,Découper,Zuschneiden,اقتصاص
Crop image,,,اقتصاص الصورة
Current Folder,,,المجلّد الحالي
Current date,Date actuelle,Heutiges Datum,الصفحة الحالية
Custom,Personnalisé,Benutzerdefiniert,مخصص:
Custom subfolder,,,تضمّن المجلّدات الفرعية
Custom subfolder:,,,اذهب لمجلد الخط
Cyan-Red:,Cyan-Rouge :,Cyan-Rot:,أحمر:
Delay before changing image:,,,التأخير قبل اخفاء قائمة محوية
Duplicate,,,ضاعِف
Date and Time,,,التاريخ و الوقت
Date,,,التّاريخ:
Delete selected images from the camera,,,احذف العنصر المحدد من شريط الأدوات
Delete the list of visited locations,,,اذهب إلى الموقع المزار سابقا
Deleting file %ld of %ld,,,حذف العنصر  %dمن %d
Determine by extension,,,الإمتدادات النشطة
Dimensions,Dimensions,Bildgröße,الأبعاد:
Do Not Save,,,لا تحفظ
Do not change folder,,,تعذّر إنشاء المجلّد.
Do not modify,Ne pas modifier,Nicht ändern,لا تضعه كخادم
Do not overwrite the old image,,,"هل تريد تنميق الملف ""%s""؟"
Dragged Images,,,حمل الصور
Duplicate selected images,,,ضاعِف كل عنصر منتقى
Duplicates,Doublons,Duplikate,مضاعفة
Duplicates Size,,,مضاعفة
Exposure mode,,,نمط التعرض
Edit bookmarks,,,حرّر علامات المواقع
Edit various preferences,,,تحرير تفضيلات متعدّدة
Enter the catalog name:,Saisissez le nom du catalogue :,Geben Sie einen Namen für den Katalog ein:,تغيير اسم العمل:
Enter the folder name:,Saisissez le nom du dossier :,Geben Sie einen Namen für den Ordner ein:,اسم مجلّد جديد
