
%s (on %s),%s (sur %s),%s (auf %s),%s (على %s)
Activate the window menu,Activer le menu fenêtre,Das Fenstermenü aktivieren,فعّل قائمة النافذة
Another compositing manager is already running on screen %i on display “%s”.,Un autre gestionnaire de composition est déjà lancé sur l’écran %i de l’affichage « %s ».,Ein weiterer Compositing-Verwalter läuft bereits auf Bildschirm %i der Anzeige »%s«.,يعمل مدير مزج آخر على الشاشة %i و العرض ”%s“.
Application is not responding.,,,لا يستجيب التطبيق
Attach modal dialogs,Attacher les boîtes de dialogue modale,Modale Dialoge anhängen,صندوق حوار سائد
Bell event,Évènement sonore,Klangereignis,حدث جرس
Built-in display,Affichage intégré,Eingebaute Anzeige,شاشة مدمجة
Close window,Fermer la fenêtre,Fenster schließen,أغلق النّافذة
Disable connection to session manager,Désactiver la connexion au gestionnaire de sessions,Verbindung zur Sitzungsverwaltung deaktivieren,عطّل الاتصال بمدير الجلسة
Display “%s” already has a window manager; try using the --replace option to replace the current window manager.,L’affichage « %s » a déjà un gestionnaire de fenêtres ; essayez d’utiliser l’option --replace pour remplacer le gestionnaire de fenêtres actuel.,"Bildschirm »%s« hat bereits einen Fensterverwalter. Versuchen Sie die Option »--replace«, um den aktuellen Fensterverwalter zu ersetzen.",الشاشة ”%s“ لها مدير نوافذ بالفعل، حاول استعمال خيار التبديل --replace لتحُلّ محلّ مدير النوافذ الحالي.
Failed to open X Window System display “%s”,Impossible d’ouvrir l’affichage « %s » du système X Window,X-Window-Systemanzeige »%s« konnte nicht geöffnet werden,فشل فتح عرض نظام نوافذ إكس ”%s“
Hide all normal windows,Masquer toutes les fenêtres normales,Alle normalen Fenster verbergen,أخفِ كل النوافذ العادية
Hide window,Masquer la fenêtre,Fenster verbergen,أخفِ النّافذة
Initialize session from savefile,Initialiser la session depuis le fichier de sauvegarde,Sitzung anhand gespeicherter Datei starten,ابدأ الجلسة من ملف محفوظ
Lower window below other windows,Mettre la fenêtre sous les autres fenêtres,Fenster hinter die anderen Fenster absenken,اخفض النافذة تحت النوافذ الأخرى
Make X calls synchronous,Rendre synchrones les appels à X,X-Aufrufe abgleichen,اجعل نداءات س متزامنة
Maximize window,Maximiser la fenêtre,Fenster maximieren,كبّر النّافذة
Maximize window horizontally,Maximiser la fenêtre horizontalement,Fenster horizontal maximieren,كبّر النافذة أفقيا
Maximize window vertically,Maximiser la fenêtre verticalement,Fenster vertikal maximieren,كبّر النافذة رأسيا
Mode Switch (Group %d),Changement de mode (groupe %d),Moduswechsel (Gruppe %d),تغيير الأوضاع (مجموعة %d)
Modifier to use for extended window management operations,Touche à utiliser pour les opérations étendues de gestion des fenêtres,Zusatztaste für erweiterte Aktionen der Fensterverwaltung,المغير الذي سيُستعمل لتمديد عمليات إدارة النوافذ
Move to workspace above,,,انقل لمساحة العمل أعلى
Move to workspace below,,,انقل لمساحة العمل أسفل
Move window,Déplacer la fenêtre,Fenster verschieben,انقل النّافذة
Move window one monitor down,Déplacer la fenêtre d’un écran vers le bas,Fenster einen Bildschirm nach unten verschieben,انقل النافذة شاشة واحدة إلى الأسفل
Move window one monitor to the left,Déplacer la fenêtre d’un écran vers la gauche,Fenster einen Bildschirm nach links verschieben,انقل النافذة شاشة واحدة إلى اليسار
Move window one monitor to the right,Déplacer la fenêtre d’un écran vers la droite,Fenster einen Bildschirm nach rechts verschieben,انقل النافذة شاشة واحدة إلى اليمين
Move window one monitor up,Déplacer la fenêtre d’un écran vers le haut,Fenster einen Bildschirm nach oben verschieben,انقل النافذة شاشة واحدة إلى الأعلى
Move window one workspace down,Déplacer la fenêtre d’un espace de travail vers le bas,Fenster eine Arbeitsfläche nach unten verschieben,انقل النافذة مساحة عمل واحدة إلى الأسفل
Move window one workspace up,Déplacer la fenêtre d’un espace de travail vers le haut,Fenster eine Arbeitsfläche nach oben verschieben,انقل النافذة مساحة عمل واحدة إلى الأعلى
Move window to last workspace,Déplacer la fenêtre vers le dernier espace de travail,Fenster auf letzte Arbeitsfläche verschieben,انقل النافذة إلى مساحة العمل الأخيرة
Move window to workspace 1,Déplacer la fenêtre vers l’espace de travail 1,Fenster auf Arbeitsfläche 1 verschieben,انقل النافذة إلى مساحة العمل 1
Move window to workspace 2,Déplacer la fenêtre vers l’espace de travail 2,Fenster auf Arbeitsfläche 2 verschieben,انقل النافذة إلى مساحة العمل 2
Move window to workspace 3,Déplacer la fenêtre vers l’espace de travail 3,Fenster auf Arbeitsfläche 3 verschieben,انقل النافذة إلى مساحة العمل 3
Move window to workspace 4,Déplacer la fenêtre vers l’espace de travail 4,Fenster auf Arbeitsfläche 4 verschieben,انقل النافذة إلى مساحة العمل 4
Mutter,,,مَتَر
Mutter plugin to use,Greffon de Mutter à utiliser,Zu benutzendes Mutter-Plugin,ملحق مَتَر الذي سيُستخدم
Mutter was compiled without support for verbose mode,Mutter a été compilé sans la prise en charge du mode bavard,Mutter wurde ohne Unterstützung für den ausführlichen Modus kompiliert,جُمِّع مَتَر دون دعم للنمط المطنب
Navigation,Navigation,Navigation,الإبحار
Print version,Afficher la version,Version ausgeben,اطبع الإصدارة
Raise window above other windows,Mettre la fenêtre au premier plan,Fenster vor die anderen Fenster anheben,ارفع النافذة فوق النوافذ الأخرى
