
%'d / %'d,%'d / %'d,%'d / %'d,%'d / %'d
%'dnd link to %s,,,الوصلة %I'd إلى %s
%'drd link to %s,,,الوصلة %I'd إلى %s
%'dst link to %s,,,الوصلة %I'd إلى %s
%'dth link to %s,,,الوصلة %I'd إلى %s
%-e %b,,,%-e %B
%-e %b %H:%M,,,%-e %B %H:%M
%-e %b %Y,%-e %b %Y,%-e. %b %Y,%-e %B %Y
%-e %b %Y %H:%M,,,%-e %B %Y %H:%M
%-e %b %Y %l:%M %p,,,%-e %B %Y %l:%M %p
%-e %b %l:%M %p,,,%-e %B %l:%M %p
%H:%M,,,%OH:%OM
%a,,,%A
%a %H:%M,,,%A %H:%M
%a %l:%M %p,,,%A %l:%M %p
%c,,,%-e %B %Y %-l:%M %p
%d MB,,,%d م.ب
%f N / %f W (%.0f m),,,%f ش / %f ج (%.0f م)
%l:%M %p,,,%l:%M %p
"%s %s, %s %s",,,%s %s، %s %s
%s (%'dnd copy)%s,,,%s (نسخة %I'd)%s
%s (%'drd copy)%s,,,%s (نسخة %I'd)%s
%s (%'dst copy)%s,,,%s (نسخة %I'd)%s
%s (%'dth copy)%s,,,%s (نسخة %I'd)%s
%s (%s),%s (%s),%s (%s),%s (%s)
%s (another copy)%s,,,%s (نسخة أخرى)%s
%s (copy)%s,,,%s (نسخة)%s
%s / %s,%s / %s,%s / %s,%s / %s
%s Properties,,,خصائص %s
%s Visible Columns,,,‏%s أعمدة مرئية
%s document,,,مستند ‏%s
%s more space is required to copy to the destination.,%s d’espace supplémentaire est requis pour copier vers la destination.,"%s zusätzlicher Platz ist nötig, um zum Zielort zu kopieren.",النسخ إلى الوجهة المطلوبة يحتاج مساحة إضافية %s.
(,,,(
(%'d,,,(%I'd
(%s),(%s),(%s),(%s)
(Empty),,,(فارغ)
(another copy),,,(نسخة أخرى)
(copy),,,(نسخة)
(some contents unreadable),(certains contenus sont impossibles à lire),(Teile des Inhalts unlesbar),(بعض المحتويات غير مقروءة)
--check cannot be used with other options.,,,لا يمكن استخدام ‪--check‬ مع الخيارات الأخرى.
--quit cannot be used with URIs.,--quit ne peut pas être utilisée avec des URI.,»--quit« darf nicht zusammen mit Adressen verwendet werden.,لا يمكن استخدام ‎--quit مع المسارات.
"001, 002, 003","001, 002, 003","001, 002, 003",٠٠١، ٠٠٢، ٠٠٣
"001, 002, 003, 004","001, 002, 003, 004","001, 002, 003, 004",٠٠١، ٠٠٢، ٠٠٣، ٠٠٤
"01, 02, 03","01, 02, 03","01, 02, 03",٠١، ٠٢، ٠٣
"01, 02, 03, 04","01, 02, 03, 04","01, 02, 03, 04",٠١، ٠٢، ٠٣، ٠٤
"1, 2, 3","1, 2, 3","1, 2, 3",١، ٢، ٣
"1, 2, 3, 4","1, 2, 3, 4","1, 2, 3, 4",١، ٢، ٣، ٤
"Learn more…",,,"اطلع على المزيد…"
? bytes,? octets,? Byte,؟ بايتات
? items,? éléments,? Objekte,؟ عناصر
@icon@,,,@icon@
A file cannot be called “..”.,,,لا يمكن أن يحتوي اسم الملف على ”..“.
A file cannot be called “.”.,,,لا يمكن أن يحتوي اسم الملف على ”.“.
A file with that name already exists.,,,يوجد بالفعل ملف بهذا الاسم.
A folder cannot be called “..”.,,,لا يمكن أن يكوم اسم المجلد ”..“.
A folder cannot be called “.”.,,,لا يمكن أن يكون اسم المجلد ”.“.
A folder with that name already exists.,,,يوجد بالفعل مجلد بهذا الاسم.
A folder with the same name already exists in “%s”.,Un dossier portant le même nom existe déjà dans « %s ».,Ein Ordner gleichen Namens existiert bereits in »%s«.,هناك مجلّد بنفس الاسم موجود في ”%s“.
"A list of captions below an icon in the icon view. The actual number of captions shown depends on the zoom level. Some possible values are: “size”, “type”, “datemodified”, “owner”, “group”, “permissions”, and “mimetype”.","Une liste de légendes sous une icône dans la vue en icônes. Le nombre réel de légendes affichées dépend du niveau de zoom. Les valeurs possibles sont : « size », « type », « datemodified », « owner », « group », « permissions » et « mimetype ».","Eine Liste der Symbolunterschriften in der Symbolansicht. Die Anzahl der angezeigten Beschriftungen hängt von der Vergrößerungsstufe ab. Einige zulässige Werte sind: »size« (Größe), »type« (Typ), »datemodified« (Änderungsdatum), »owner« (Besitzer), »group« (Gruppe), »permissions« (Zugriffsrechte) sowie »mimetype« (MIME-Typ).","قائمة للعناوين الفرعية تحت الأيقونات في منظور الأيقونات وسطح المكتب. يتوقف العدد الحقيقي للعناوين المعروضة على مستوى التكبير. بعض القيم الممكنة هي: ""size"" (الحجم) و ""type"" (النوع) و ""datemodified"" (تاريخ التعديل) و ""owner"" (المالك) و ""group"" (المجموعة) و ""permissions"" (التصاريح) و ""mimetype"" (نوع mime)."
A newer file with the same name already exists in “%s”.,Un fichier plus récent portant le même nom existe déjà dans « %s ».,Eine neuere Datei gleichen Namens existiert bereits in »%s«.,هناك ملف أحدث بنفس الاسم موجود في ”%s“.
A newer folder with the same name already exists in “%s”.,Un dossier plus récent portant le même nom existe déjà dans « %s ».,Ein neuerer Ordner gleichen Namens existiert bereits in »%s«.,هناك مجلّد أحدث بنفس الاسم موجود في ”%s“.
