
%s (%s roaming),%s (itinérance %s),%s (%s-Roaming),‏%s (تجوال %s)
%s (roaming),%s (itinérance),%s (Roaming),‏%s (تجوال)
%s connection,Connexion à %s,Verbindung mit %s,إتّصالات VPN
%u (%u MHz),%u (%u MHz),%u (%u MHz),%u (%u م.هرتز)
%u Mb/s,%u Mb/s,%u Mb/s,%u م.بايت\ث
(none),(aucun),(keine),(لا شيء)
1 Gb/s,1 Gb/s,1 Gbit/s,1 ج.بايت/ث
10 Gb/s,10 Gb/s,10 Gbit/s,10 ج.بايت/ث
10 Mb/s,10 Mb/s,10 Mbit/s,10 م.بايت\ث
100 Mb/s,100 Mb/s,100 Mbit/s,100 م.بايت\ث
2,2,2,2
3,3,3,3
4,4,4,4
802.11 Wi-Fi (%s),Wi-Fi 802.11 (%s),802.11 Wi-Fi (%s),802.11 واي فاي (%s)
802.1X Security,Sécurité 802.1X,802.1X-Sicherheit,أمن 802.1X
802.1X authentication,Authentification 802.1X,802.1X-Legitimierung,استيثاق 802.1X سلكي
Peers,Pairs,Gegenstellen,العناوين
A (5 GHz),A (5 GHz),A (5 GHz),‏A ‏(5 ج.هرتز)
A file named “%s” already exists.,Un fichier nommé « %s » existe déjà.,Eine Datei mit dem Namen »%s« existiert bereits.,"يوجد ملف بالاسم ""%s"" مسبقاً"
A password is required to connect to “%s”.,Un mot de passe est requis pour se connecter à « %s ».,"Es wird ein Passwort benötigt, um sich mit »%s« zu verbinden.",كلمة سر مطلوبة للاتصال بشبكة الهاتف المحمول '%s'.
ARP,ARP,ARP,EAP
Ad-hoc,Ad hoc,Ad-hoc,لا مركزية
Advanced…,Avancé…,Erweitert …,متقدم
Add a new connection,Ajouter une nouvelle connexion,Eine neue Verbindung hinzufügen,اتّصالات VPN
Additional DNS servers,Serveurs DNS supplémentaires,Zusätzliche DNS-Server,خواديم DNS:
Additional search domains,Domaines de recherche supplémentaires,Zusätzliche Suchdomänen,نطاقات البحث:
Additional static addresses,Adresse statique supplémentaire,Zusätzliche statische Adressen,تلقائي، عناوين فقط
Address,Adresse,Adresse,العنوان
Addresses,Adresses,Adressen,العناوين
Advanced,Avancé,Erweitert,متقدم
Advanced Network Configuration,Configuration réseau avancée,Erweiterte Netzwerkkonfiguration,خطأ إعداد VPN
All users may connect to this network,Tous les utilisateurs peuvent se connecter à ce réseau,Alle Benutzer dürfen dieses Netzwerk verwenden,أنت متصل الآن بالشبكة السلكية.
Allowed Authentication Methods,Méthodes d’authentification autorisées,Zulässige Legitimierungsmethoden,طرق الاستيثاق المسموحة
Allowed IPs,IP autorisés,Zulässige IP-Addressen,الطرق المسموحة:
Allowed IPs,IPs Autorisés,Zulässige IP-Adressen,الطرق المسموحة:
Allowed methods,Méthodes autorisées,Zulässige Methoden,الطرق المسموحة:
Are you sure you wish to delete the connection %s?,Voulez-vous vraiment supprimer la connexion %s ?,"Sind Sie sicher, dass Sie die Verbindung %s löschen möchten?",هل أنت متأكد من حذف هذا الاتصال %s؟
Authenticate to delete the selected connection,S’authentifier pour supprimer la connexion sélectionnée,"Legitimieren, um die ausgewählte Verbindung zu löschen",استوثق لحذف الاتصال المحدد
Authenticate to edit the selected connection,S’authentifier pour modifier la connexion sélectionnée,"Legitimieren, um die ausgewählte Verbindung zu bearbeiten",استوثق لتحرير الاتصال المحدد
Authenticate to save this connection for all users of this machine.,S’authentifier pour enregistrer cette connexion pour tous les utilisateurs de cet ordinateur.,"Legitimieren, um diese Verbindung für alle Benutzer dieses Rechners zu speichern.",استوثق لحفظ هذا الاتصال لكل المستخدمين على هذا الجهاز .
Authentication,Authentification,Legitimierung,الاستيثاق
Auto Ethernet,Ethernet automatique,Auto-Ethernet,إيثرنت تلقائي
Automatic,Automatique,Automatisch,تلقائي
Automatic (DHCP),Automatique (DHCP),Automatisch (DHCP),تلقائي (DHCP)
