"%s requires a password, but none is set.","%s exige un mot de passe, mais aucun n'est défini.","%s benötigt ein Passwort, dieses ist nicht gesetzt.",الموسيقى المشتركة '%s' تتطلب كلمة سر للإتصال
7Bit Encoding,,,يجري التسجيل
8Bit Encoding,,,يجري التسجيل
?,?,?,؟
Abbreviate Group Names,Abréger les noms des groupes,Namen in Gruppenliste abkürzen,أسماء وضائف مختصرة
Action,Action,Aktion,أفعال
Actions,Actions,Aktionen,أحداث
Add,Ajouter,Hinzufügen,أضف
"Add ""Message-Id"" header",,,ترويسة الرّسالة
Add Subthreads to Selection,Ajouter les sous-fils de discussion à la sélection,Unterstränge zur Auswahl hinzufügen,ألفا إلى تحديد
Add Similar Articles to Selection,Ajouter les articles similaires à la sélection,Ähnliche Artikel zur Auswahl hinzufügen,إضافة إلى التحديد
Add Threads to Selection,Ajouter les fils de discussion à la sélection,Stränge zur Auswahl hinzufügen,ألفا إلى تحديد
Add a New Scoring Rule,Ajouter une nouvelle règle de notation,Eine neue Wertung hinzufügen,أضف قاعدة جديدة
Add a Server,Ajouter un serveur,Einen Server hinzufügen,اضف خادم NTP
Add a Scoring Rule...,Ajouter une règle de notation...,Eine Wertungsregel hinzufügen …,أضف مجلّد...
Add and Rescore,Ajouter et renoter,Hinzufügen und neu bewerten,ابحث و استبدل
Add to the back of the queue,Ajouter à la fin de la file d'attente,Am Ende der Liste hinzufügen,اضف الملفات المحددة الى طابور التشغيل
Add to the front of the queue,Ajouter au début de la file d'attente,Am Anfang der Liste hinzufügen,اضف الملفات المحددة الى طابور التشغيل
Added %lu articles to %s.,%lu articles ajoutés à %s.,%lu Artikel zu »%s« hinzugefügt.,اضف %s إلى %s
After Six Months,Après six mois,Nach sechs Monaten,شغّل الأغنية السابقة
After Three Months,Après trois mois,Nach drei Monaten,اظهر النقلة التالية
Always Run Editor,Toujours lancer l'éditeur,Immer den Editor starten,محرر القوائم
Always trust,,,محرر القوائم
And the article's,,,القارة القطبية الجنوبية
Applications,Applications,Anwendungen,تطبيقات
Article Cache,Cache des articles,Artikel-Zwischenspeicher,امسح الذاكرة المؤقتة
Articles,Articles,Artikel,الفنان
Attachments,Pièces jointes,,احفظ المرفقات
Author,Auteur,Autor,المؤلف:
Autosave Article Draft,Enregistrement automatiquement des brouillons,Artikelentwurf automatisch speichern,افتح ملف
Autosave Articles,Enregistrement automatiquement des articles,Artikel automatisch speichern,احفظ ملف
BASE64 Encoding,,,يجري التسجيل
Background:,Arrière-plan :,Hintergrund:,الخلفية:
Baltic,Balte,Baltisch,البحر البلطيقي
Be patient!  It will take time for your changes to take effect.,Soyez patient ! Cela va prendre du temps pour que vos changements s'appliquent.,"Etwas Geduld bitte! Es dauert einige Zeit, bis Ihre Änderungen wirksam werden.",ستحتاج للخروج من النظام ليأخذ التغيير أثره.
Behavior,Comportement,Verhalten,السّلوك
Body Pane,Panneau du corps,Artikeltext,اللوحة السفلية
Body Pane Encoding,Codage du panneau du corps,Kodierung des Artikeltexts,اللوحة السفلية
Byte Count,Nombre d'octets,Byte-Anzahl,بتلر المقاطعه
Bytes,Octets,Bytes,بايتات
Cache Article,Mettre en cache l'article,Artikel zwischenspeichern,عنوان الصفحة
"Can't use regular expression ""%s"": %s",Impossible d'utiliser l'expression régulière « %s » : %s,Regulärer Ausdruck »%s« kann nicht angewendet werden: %s,"لا يمكن تحليل تعبير البحث: %s: 
%s"
Cancel Article...,Annuler l'article...,Artikel widerrufen …,إلغاء الحفظ...
Central European,Europe centrale,Mittel- und osteuropäisch,وسط أوروبي  (MacCE)
Character Encoding,Codage des caractères,Zeichensatz,ترميز المحارف
Character encoding:,Codage des caractères :,Zeichensatz:,ترميز المحارف
Check Spelling,Vérifier l'orthographe,Rechtschreibprüfung,تدقيق هجائي
Chinese,Chinois,Chinesisch,سطور
Clear Article Cache,Vider le cache d'articles,Artikel-Zwischenspeicher löschen,امسح الذاكرة المؤقتة
Clear Body Pane,Nettoyer le panneau du corps,Artikeltext löschen,امسح الملاحظات
Clear Header Pane,Nettoyer le panneau des en-têtes,Kopfzeilenliste löschen,حشو الرأس
Close and Rescore,Fermer et renoter,Schließen und neu bewerten,اغلق و اخرج
Close this window and lose your changes?,Voulez-vous fermer cette fenêtre et perdre vos modifications ?,Dieses Fenster schließen und Ihre Änderungen verwerfen?,هل تريد حفظ تغييراتك؟
Colors,Couleurs,Farben,الألوان
Column Name,Nom de la colonne,Spaltenname,الإسم المتداول
Command,Commande,Befehl,أوامر
Connecting,Connexion en cours,Es wird verbunden,الإتصال
Connection Limit:,Limite de connexion :,Verbindungslimit:,فقد الاتصال
Content Transfer Encoding,Codage du transfert de contenu,Zeichenkodierung für die Übertragung,ترميز المحارف
Copyright \u00A9 2002-2012 Charles Kerr and others,Copyright \u00A9 2002-2012 Charles Kerr et contributeurs,,حقوق النسخ © 2002-2005 Bastien Nocera
Couldn't convert signature to UTF-8.,Impossible de convertir le fichier de signature en UTF-8.,Signatur konnte nicht nach UTF-8 konvertiert werden.,تعذّر التحقق من التوقيع
"Couldn't parse %s color ""%s""",Impossible d'analyser la couleur %s « %s »,%s-Farbe »%s« konnte nicht verarbeitet werden,"لا يمكن تحليل اللون ""%s"""
"Couldn't parse signature command ""%s"": %s",Impossible d'analyser la commande de signature « %s » : %s,Signaturbefehl »%s« konnte nicht gelesen werden: %s,"تعذّر الاتّصال باستخدام الأمر ""%s"": %s"
"Couldn't save file ""%s"": %s",Impossible d'enregistrer le fichier « %s » : %s,Datei »%s« konnte nicht gespeichert werden: %s,لم يمكن فتح الملفّ '%s': %s
Criteria,Critère,Kriterien,معايير:
Custom Command:,Commande personnalisée :,Benutzerdefinierter Befehl:,الأمر المخصّص:
Cyrillic,Cyrillique,Kyrillisch,روسية سريالية
Date,Date,Datum,التّاريخ:
Decoding,Décodage en cours,Dekodierung,يجري التسجيل
Decoding %s,Décodage de %s,»%s« wird dekodiert,تحميل %s
Default encoding,,,يجري التسجيل
Delete Selected Groups' Articles,Supprimer les articles des groupes sélectionnés,Artikel der ausgewählten Gruppe löschen,حذف المراسَلين المنتقَيين
Delete Task,Supprimer la tâche,Aufgabe löschen,إحذف %s
Delete Tasks,Supprimer les tâches,Aufgaben löschen,إحذف %s
Directory for Saving Attachments,Répertoire pour l'enregistrement des pièces jointes,Ordner zum Speichern von Anhängen,دليل حفظ ملفات مكون البريد
Directory for saving attachments:,Répertoire pour l'enregistrement des pièces jointes :,Ordner zum Speichern von Anhängen:,دليل حفظ ملفات مكون البريد
Disabled,Désactivé,Deaktiviert,/مفعّل
Expire Old Articles:,Expirer les anciens articles :,Alte Artikel ablaufen lassen:,استثني الملفات:
Extra Headers:,En-têtes supplémentaires :,Extra-Kopfzeilen:,استخرج هنا
Edit Posting Profiles,Modifier les profils de postage,Autorenprofile bearbeiten,تحرير ملف شخصي
Edit Selected Group's Preferences,Modifier les préférences du groupe sélectionné,Einstellungen der ausgewählten Gruppen bearbeiten,تحرير تفضيلات متعدّدة
Edit News Servers,Modifier les serveurs de nouvelles,News-Server bearbeiten,خوادم الشبكة
Edit Preferences,Modifier les préférences,Einstellungen,تفضيلات gedit
Edit a Server's Settings,Modifier les paramètres du serveur,Servereinstellungen bearbeiten,إعدادات الخادم
Enabled,Activé,Aktiviert,/مفعّل
Encoding,Codage,Zeichenkodierung,يجري التسجيل
Encoding %s,Codage en cours de %s,Zeichenkodierung %s,يجري التسجيل
"Error connecting to ""%s""",Erreur lors de la connexion à « %s »,Fehler beim Verbinden mit »%s«,خطأ في الاتصال بالخادم: %s
Error encoding %s: %s,Erreur lors du codage de %s : %s,Fehler beim Kodieren von %s: %s,فشل في قراءة %s: %s
Error initializing uulib,Erreur d'initialisation de uulib,Fehler beim Initialisieren der uulib,خطأ أثناء بدأ libnotify
Error loading %s from cache.,Erreur lors du chargement de %s à partir du cache.,Fehler beim Laden von %s aus dem Zwischenspeicher.,فشل في قراءة %s: %s
"Error opening SSL certificate directory: ""%s"": %s",Erreur à l'ouverture du répertoire du certificat SSL : « %s » : %s,Fehler beim Öffnen des SSL-Zertifikatordners: »%s«: %s,خطأ أثناء فتح الدليل '%s': %s
"Error opening directory: ""%s"": %s",Erreur à l'ouverture du répertoire « %s » : %s,Fehler beim Öffnen des Ordners: »%s«: %s,خطأ أثناء فتح الدليل '%s': %s
"Error opening file ""%s"" %s",Erreur lors de l'ouverture du fichier « %s » : %s,Fehler beim Öffnen der Datei »%s« %s,خطاء فى فتح الملف %s%s
Error opening temporary file,Erreur lors de l'ouverture du fichier temporaire,Fehler beim Öffnen der temporären Datei,خطاء في فتح الملف
Error printing the server certificate for '%s',Erreur d'impression du certificat du serveur pour « %s »,Fehler beim Ausgeben des Serverzertifikats für »%s«,%s: خطأ أثناء تشغيل المرحب على العرض %s
"Error reading file ""%s"": %s",Erreur de lecture du fichier « %s » : %s,Fehler beim Lesen der Datei »%s«: %s,"خطأ عند إعادة تسمية الملف ""%s"": %s"
Error reading from %s: %s,Erreur lors de la lecture depuis %s : %s,Fehler beim Lesen von %s: %s,فشل في قراءة %s: %s
