0 Channels,0 canal,0 Kanäle,0 قنوات
0 Hz,0 Hz,0 Hz,0 هرتز
0 seconds,0 seconde,0 Sekunden,0 ثوان
16∶9 (Widescreen),16∶9 (écran large),16:9 (Breitbild),١٦∶٩ (شاشة عريضة)
2.11∶1 (DVB),2.11∶1 (DVB),2.11:1 (DVB),‏٢٫١١∶١ (DVB)
4-channel,4 canaux,4-Kanal,قناة-4
4.1-channel,4.1 canaux,4.1-Kanal,قناة-4.1
4∶3 (TV),4∶3 (TV),4:3 (klassisches TV-Format),٤∶٣ (تلفاز)
5.0-channel,5.0 canaux,5.0-Kanal,قناة-5.0
5.1-channel,5.1 canaux,5.1-Kanal,قناة-5.1
A list of the names of the plugins which are currently active (loaded and running).,Une liste des noms des greffons actuellement actifs (chargés et en cours d’exécution).,"Eine Liste der Namen von Erweiterungen, die derzeit aktiv sind (geladen und in Ausführung).",قائمة بأسماء الإضافات النشطة حاليًّا (محمّلة وتعمل).
"A password to protect the rpdb2 server for debugging Totem from unauthorized remote access. If this is empty, a default of “totem” will be used.","Un mot de passe pour protéger d’un accès distant non autorisé, le serveur rpdb2 de débogage de Totem. Si vide, le mot de passe « totem » est utilisé par défaut.","Ein Passwort für den rpdb2-Server zur Fehlerdiagnose von Totem zum Schutz vor unerlaubtem entferntem Zugriff. Falls es leer ist, wird das Standardpasswort »totem« verwendet.",كلمة مرور لحماية خادم rpdb2 المستخدم لتعقب علل جنوم من الوصول غير المخوّل عن بعد. إذا كانت هذه الخانة فارغة، فستستخدم كلمة 'totem' مبدئيًّا.
AC3 Passthrough,Sortie directe AC3,AC3-Durchschleifen,AC3 Passthrough
Audio Menu,Menu audio,Audio-Menü,قائمة الصوت
Active plugins list,Liste des greffons actifs,Liste aktiver Erweiterungen,قائمة الملحقات النشِطة
Add Videos,Ajouter des vidéos,Videos hinzufügen,أضف فيديو
Add Web Video,Ajouter une vidéo web,Ein Internet-Video hinzufügen,أضف فيديو وب
Add Local Video…,Ajouter une vidéo locale…,Lokales Video hinzufügen …,أضف فيديو محلي…
Add Web Video…,Ajouter une vidéo web…,Internet-Video hinzufügen …,أضف فيديو وب…
Add to Favourites,Ajouter aux favoris,Zu Favoriten hinzufügen,أضف إلى المفضلة
Adds files that have been played to recent files,Ajoute les fichiers qui ont été lus aux fichiers récents,Fügt abgespielte Dateien zu den kürzlich geöffneten Dateien hinzu,يُضيف الملفات التي شُغّلت إلى الملفات الحديثة
Adds movie properties menu item,Ajoute un élément de menu pour les propriétés du film,Menüeintrag für Filmeigenschaften hinzufügen,يضيف خصائص الوسائط إلى الشريط الجانبي
"After you press OK, Totem will wait until you connect to it with winpdb or rpdb2. If you have not set a debugger password in DConf, it will use the default password (“totem”).",,,بعد أن تضغط موافق سينتظر توتم حتى تتصل ب winpdb أو rpdb2. إذا كنت لم تحدد كلمة سر للتنقيح في DConf فسيستخدم كلمة السر المبدئية ('totem').
Album:,,,الألبوم:
All files,Tous les fichiers,Alle Dateien,كل الملفات
Allows screenshots and galleries to be taken of videos,Permet la prise de captures d’écran et de galerie photos à partir de vidéos,Ermöglicht die Aufnahme von Bildschirmfotos und Galerien von Videos,يتيح أخذ لقطات شاشة ومفارض من ملفات الفديو
Allows videos to be rotated if they are in the wrong orientation,Permet la rotation des vidéos mal orientées,"Ermöglicht das Drehen von Videos, falls diese falsch ausgerichtet sind",يسمح بتدوير الفيديو إذا كان ذو استدارة خاطئة
Amount of data to buffer for network streams before starting to display the stream (in seconds).,Quantité de données du flux réseau à mettre en tampon avant d’en débuter l’affichage (en secondes).,"Größe des anzulegenden Zwischenspeichers für Netzwerk-Streams, bevor der Stream wiedergegeben wird (in Sekunden)",كمية البيانات التي سيتم تخزينها من دفوق الشبكة قبل عرضها (بالثواني).
An audio or video stream is not handled due to missing codecs. You might need to install additional plugins to be able to play some types of movies,Un flux audio ou vidéo n’est pas géré pour cause d’absence de codecs. Il se peut que vous deviez installer des greffons supplémentaires pour être capable de visualiser certains types de films,"Ein Audio- oder Video-Datenstrom kann wegen fehlender Codecs nicht verarbeitet werden. Sie müssen zusätzliche Erweiterungen installieren, um bestimmte Filmtypen abspielen zu können",تعّذر التعامل مع دفق صوت أو فديو لعدم توفر المُرمّز. قد تحتاج إلى تثبيت ملحقات إضافية لتشغيل بعض أنواع الأفلام
An error occurred,Une erreur est survenue,Es ist ein Fehler aufgetreten,حدث خطأ
Apple Trailers,Apple Trailers,Apple-Trailer,Apple Trailers
Arabic,Arabe,Arabisch,عربي
Armenian,Arménien,Armenisch,أرمني
Artist:,,,الفنان:
Audio,Audio,Audio,صوت
Audio Output,Sortie audio,Audio-Ausgabe,خرج الصوت
