
A GtkIconTheme object to get icons from,,,كائن GtkIconTheme الذي ستؤخذ منه الأيقونات
A GtkSettings object to get settings from,,,كائن GtkSettings الذي ستؤخذ منه الإعدادات
A YelpUri with the current location,,,مسار يِلب مع المكان الحالي
A size adjustment to add to font sizes,,,ضبط الحجم لإضافته إلى أحجام الخط
Add Bookmark,Ajouter un signet,Lesezeichen hinzufügen,أضف علامة
All Help,Aide générale,Alle Hilfedokumente,كل المساعدة
All Help Documents,Tous les documents d’aide,Alle Hilfedokumente,كل وثائق المساعدة
An unknown error occurred.,Une erreur inconnue est survenue.,Es ist ein unbekannter Fehler aufgetreten.,حدث عطل غير معروف.
Application,,,تطبيق
Back,Précédent,Zurück,للخلف
Bookmarks,Signets,Lesezeichen,العلامات
Copy Code Block,Copier le bloc de code,Code-Block kopieren,انسخ وحدة الكود
Cannot Read,Lecture impossible,Nicht lesbar,تعذّر القراءة
Could not load a document,Impossible de charger un document,Ein Dokument konnte nicht geladen werden,لا يمكن تحميل مستند
Could not load a document for ‘%s’,Impossible de charger un document pour « %s »,Ein Dokument für »%s« konnte nicht geladen werden,لا يمكن تحميل مستند ل ‘%s’
Database filename,,,اسم ملف قاعدة البيانات
Document Not Found,Document non trouvé,Dokument wurde nicht gefunden,المستند غير موجود
Document URI,,,مسار المستند
Editor Mode,,,نمط المُحرّر
Enable features useful to editors,,,تمكين الميزات المفيدة للمُحرّرين
Find…,Rechercher…,Suchen …,ابحث…
Font Adjustment,,,ضبط الخط
Forward,Suivant,Vor,للأمام
Get help with GNOME,Obtenir de l’aide avec GNOME,Hilfe zu GNOME erhalten,احصل على المساعدة في جُنوم
Help,Aide,Hilfe,مساعدة
Indexed,,,مُفهرَس
Install <string/>,Installer <string/>,<string/> installieren,ثبّت <string/>
Invalid compressed data,Données compressées non valides,Ungültige gepackte Daten,بيانات مضغوطة غير سليمة
Larger Text,Agrandir le texte,Größerer Text,نص أكبر
Loading State,,,حالة التحميل
Menu,Menu,Menü,القائمة
New Window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
Next Page,Page suivante,Nächste Seite,الصفحة التالية
No bookmarks,Aucun signet,Keine Lesezeichen,لا علامات
No href attribute found on yelp:document,Aucun attribut href trouvé dans yelp:document,Kein href-Attribut im yelp:-Dokument gefunden,لم يوجد إسناد href عند yelp:document
No matching help pages found in “%s”.,Aucune page d’aide correspondante trouvée dans « %s ».,,لم يُعثَر على صفحات مساعدة في “%s”.
No matching help pages found.,Aucune page d’aide correspondante trouvée.,Es wurden keine passenden Hilfeseiten gefunden.,لم يُعثَر على صفحات مساعدة.
Not enough memory,Mémoire insuffisante,Nicht genug Speicher,الذاكرة غير كافية
Open Link in New Window,Ouvrir le lien dans une nouvelle fenêtre,Verweis in neuem Fenster öffnen,افتح الوصلة في نافذة جديدة
Out of memory,Mémoire insuffisante,Speichermangel,الذاكرة غير كافية
Page Description,,,وصف الصفحة
Page ID,,,معرِّف الصفحة
Page Icon,,,أيقونة الصفحة
Page Not Found,Page non trouvée,Seite wurde nicht gefunden,الصفحة غير موجودة
Page Title,,,عنوان الصفحة
Previous Page,Page précédente,Vorherige Seite,الصفحة السابقة
Print…,Imprimer…,Drucken …,اطبع…
Remove Bookmark,Supprimer le signet,Lesezeichen entfernen,احذف العلامة
Root Title,,,عنوان الجذر
Send Image To…,Envoyer l’image à…,Bild senden an …,أرسل الصورة إلى…
Send Video To…,Envoyer la vidéo à…,Video senden an …,أرسل الفديو إلى…
Save Code,Enregistrer le code,Code speichern,احفظ الكود
Save Code Block As…,Enregistrer le bloc de code sous…,Code-Block speichern unter …,احفظ وحدة الكود باسم…
Save Image,Enregistrer l’image,Bild speichern,احفظ الصورة
Search (Ctrl+S),Rechercher (Ctrl+S),Suchen (Strg+S),ابحث (Ctrl+S)
Search for packages containing this document.,Recherche de paquets contenant ce document.,"Nach Paketen suchen, die dieses Dokument enthalten.",ابحث عن الحزم التي تحتوي هذا المستند.
