English,French,German,Arabic
%1 (%2),%1 (%2),%1 (%2),‏%1 (‏%2)
%1 at location %2,%1 à l'emplacement %2,%1 unter Adresse %2,%1 في الموقع %2
%1 copy,%1 copie,%1 Kopie,‏%1 نسخة
%1 free,%1 libre(s),%1 frei,المتبقي ‏%1
%1 free out of %2 (%3% used),%1 libre sur %2 (%3 % utilisé),%1 von %2 frei (%3 % belegt),المتبقي %1 من أصل %2 (%3٪ مستخدمة)
"%1 free out of %2 (%3% used)
Press to manage disk space usage.","%1 libre sur %2 (%3 % utilisé)
Veuillez appuyer pour gérer l'utilisation de l'espace disque.","%1 von %2 frei (%3 % belegt)
Zum Verwalten der Festplattenbelegung bitte drücken.","المتبقي %1 من أصل %2 (%3٪ مستخدمة)
اضغط لتدير مساحة القرص."
%1 search results,Résultats de la recherche pour %1,,نتائج بحث %1
%1 search results in %2,Résultats de la recherche de %1 dans %2,Suchen nach %1 in %2,نتائج بحث %1 في %2
%1 | (%2),%1 | (%2),%1 | (%2),%1 | (%2)
%1 × %2,%1 × %2,%1 × %2,%1 × %2
"%1, %2 (%3)","%1, %2 (%3)","%1, %2 (%3)",‏%1، ‏%2 (‏%3)
%1: %2,%1 : %2,%1: %2,‏%1: %2
&&,&&,,و
Bookmarks,Signets,Lesezeichen,العلامات
Edit,Édition,Bearbeiten,حرّر
Edit File Type…,Modifier le type de fichier…,Dateityp bearbeiten ...,حرّر نوع الملف…
Go,Aller,Gehe zu,انطلق
Network Folders,Dossiers réseau,Netzwerkordner,مجلّدات الشبكة
Quit %1,Quitter %1,%1 beenden,أنهِ %1
View,Affichage,Ansicht,اعرض
'Copy To' and 'Move To' commands,Commandes « Copier vers » et « Déplacer vers »,Einträge „Kopieren nach“ und „Verschieben nach“,أمري 'انسح إلى' و 'انقل إلى'
"'Earlier on' MMMM, yyyy","« Plus tôt en » MMMM, yyyy","'Früher im' MMMM, yyyy",'بدايات' MMMM،  yyyy
"'One Week Ago' (MMMM, yyyy)","« Il y a une semaine » (MMMM, yyyy)","'Vor einer Woche' (MMMM, yyyy)",'قبل أسبوع واحد' (MMMM،  yyyy)
"'Three Weeks Ago' (MMMM, yyyy)","« Il y a trois semaines » (MMMM, yyyy)","'Vor drei Wochen' (MMMM, yyyy)",'قبل ثلاث أسابيع' (MMMM،  yyyy)
