English,French,German,Arabic
%1 crashed,%1 s'est planté,%1 ist abgestürzt,%1 تحطمت
%1 finished with exit code %2,%1 terminé avec le code de sortie %2,%1 wurde mit dem Rückgabewert %2 beendet,%1 انتهى مع رمز الخروج %2
Add,Ajouter,Hinzufügen,أضف
Edit...,Modifier...,Bearbeiten ...,حرّر...
Input:,Entrée :,Eingabe:,الدّخل:
Remove,Supprimer,Entfernen,أزل
Tools,Outils,Extras,أدوات
"A semicolon-separated list of mime types for which this tool should be available. If empty, the tool is always available.","Liste séparée par des points-virgules de types MIME pour lesquels cet outil devrait être disponible. Si la liste est vide, l'outil est toujours disponible.","Eine durch Semikola getrennte Liste der MIME-Typen, die diesem Programm zugeordnet sind. Bei einer leeren Eingabe ist dieses Programm immer verfügbar.",قائمة مفصولة بفاصلة منقوطة لأنواع mime التي يجب أن تكون هذه الأداة متاحة لها. إذا كانت فارغة، فستكون الأداة متاحة دائمًا.
Add Category,Ajouter une catégorie,Kategorie hinzufügen,أضف صنفاً
Add Tool from Defaults,Ajouter un outil parmi les outils par défaut,Programm aus Voreinstellungen hinzufügen,أضف أداة من المبدئيات
Add Tool...,Ajouter un outil...,Programm hinzufügen ...,أضف أداة...
After Save,Après enregistrement,Nach dem Speichern,بعد الحفظ
All Documents,Tous les documents,Alle Dokumente,كل المستندات
Append to Current Document,Ajouter à la fin du document actuel,An aktuelles Dokument anhängen,ألحق بالمستند الحاليّ
Application or interpreter,Application ou interpréteur,Programm oder Interpreter,التطبيق أو المترجم
Arguments:,Arguments :,Argumente:,المعاملات:
Before Save,Avant enregistrement,Vor dem Speichern,قبل الحفظ
Clang Format Full File,Formater le fichier avec Clang,Ganze Datei mit Clang formatieren,تنسيق clang ملف كامل
Clang Format Selected Text,Formater le texte sélectionné avec Clang,Ausgewählten Text mit Clang formatieren,تنسيق clang النص المحدد
Command line arguments,Arguments en ligne de commande,Befehlszeilenargumente,معاملات سطر الأوامر
Compile and Run cpp,Compiler et lancer cpp,cpp-Quelltext kompilieren und ausführen,تصريف وتشغيل cpp
Configure...,Configurer...,Einrichten ...,اضبط...
Copy to Clipboard,Copier dans le presse-papiers,In die Zwischenablage kopieren,انسخ إلى الحافظة
