English,French,German,Arabic
%,%,%,%
% of picture have a delta,% de l'image présente une différence,% der Bilder haben ein Delta,% من الصورة لديه فرق
"%1
dB","%1
dB","%1
dB","%1
دسب"
"%1 (%2-%3), Position: %4, Duration: %5","%1 (%2 - %3), Position : %4, Durée : %5","%1 (%2-%3), Position: %4, Dauer: %5",%1 (%2-%3)، الموضع: %4، المدة: %5
%1 (copy),%1 (copier),%1 (Kopie),‏%1 (نسخة)
%1 (default),%1 (Par défaut),%1 (Standard),%1 (الافتراضيّ)
%1 Clip (%2) on incorrect subtrack found and fixed / %3,La vidéo %1 (%2) a été trouvée sur une mauvaise sous-piste et corrigée / %3.,Ungültiger Clip %1 auf Spur %2 bei %3.,عُثر على المقطع %1  (%2) في مسار فرعي غير صحيح، وأصلح / %3 .
%1 Clip (%2) with incorrect subplaylist found,%1 Un clip (%2) a été trouvé avec une mauvaise sous-liste.,,عُثر المقطع %1 (%2) بقائمة تشغيل فرعية غير صحيحة
%1 Clip (%2) with missing mix found and removed,La vidéo %1 (%2) a été trouvé avec un mixage manquant et a été redimensionnée.,,عُثر على مقطع %1 (%2) بمزج مفقود وأزيل
%1 Clip (%2) with missing mix found and resized,La vidéo %1 (%2) a été trouvé avec un mixage manquant et a été redimensionnée.,,عُثر على مقطع %1 (%2) بمزج مفقود وأعيد تحجيمه
%1 Composition (%2) with invalid track reference found and removed.,La composition %1 (%2) a été trouvée avec une référence à une piste non valable et a été supprimée.,,عُثر على التركيب %1 (%2) بمرجع مسار غير صالح وأزيل.
"%1 Composition was not applied on expected track, manually enforce the track.",La composition %1 n'a été appliquée sur la piste attendue. Veuillez l'appliquer manuellement.,,لم يطبق التركيب %1 على المسار المتوقع، فرض المسار يدويًا.
%1 Image,%1 Image,Bild %1,صورة %1
%1 Invalid clip (%2) found and removed,La vidéo %1 (%2) a été trouvée non valable et a été supprimée.,Ungültiger Clip %1 auf Spur %2 bei %3.,عُثر على %1 مقطع غير صالح (%2) وأزيل
%1 Invalid composition found and removed.,La composition %1 a été trouvée non valable et a été supprimée.,Ungültiger Clip von Spur %1 bei %2 entfernt,عُثر على %1 تركيباً وأزالهن.
%1 Timeline clip (%2) with incorrect bin reference found and recovered.,La vidéo %1 de la frise chronologique (%2) avec une référence d'emplacement incorrect a été trouvée et a été récupérée.,,عُثر على مقطع (%2) في الخط الزمني %1 بمرجع سلة غير صحيح، وقد استعيد بنجاح.
%1 Timeline clip (%2) without bin reference found and removed.,La vidéo %1 de la frise chronologique (%2) a été trouvée sans référence d'emplacement et a été supprimée.,Ungültiger Clip %1 auf Spur %2 bei %3.,عُثر على مقطع (%2) في الخط الزمني %1 بون مرجع سلة، وأزيل.
%1 Try again.,%1 Essayer à nouveau.,,%1 جرّب مجدّدًا.
%1 channels,%1 canaux,%1 Kanäle,%1 قنوات
%1 dB,%1 dB,%1 dB,%1 دسب
%1 effects,%1 effets,%1 Effekte,%1 تأثيرات
%1 instances of this effect in the group,%1 instances de cet effet dans le groupe,,%1 مثيل لهذا التأثير في المجموعة
%1 is configured: %2,%1 est configuré :  %2,%1 ist eingerichtet: %2,‏%1 مضبوط:  %2
%1 is properly configured.,%1 est correctement configuré.,%1 ist korrekt eingerichtet.,‏%1 مضبوط بشكل صحيح.
%1 items selected (%2) |,%1 éléments sélectionnés (%2) |,%1 Elemente ausgewählt (%2) |,%1 عنصرا محددا (%2) |
%1 kHz,%1 kHz,%1 kHz,%1 ك.هرتز
%1 missing clips (%2 used in the project).,%1 vidéos manquante (%2 utilisées dans le projet).,%1 fehlende Clips (davon %2 im Projekt verwendet).,%1 مقطع ناقص (%2 مستخدم في المشروع).
%1 parameters,%1 paramètres,%1 Parameter,%1 معاملات
%1 px,%1 px,%1 px,%1 بكسل
%1%,%1 %,%1 %,%1٪
"%1%2, Duration = %3","%1%2, Durée = %3","%1%2, Dauer = %3",%1%2، المدة = %3
"%1, Position: %2, Duration: %3","%1, Position : %2, Durée : %3","%1, Position: %2, Dauer: %3","%1، الموضع: %2, المدة: %3"
%1fps,%1 FPS,%1 fps,%1 إطار/ثا
%1h,%1h,%1 h,%1س
%1m,%1m,%1 m,%1د
%1s,%1s,%1 s,%1ث
%1°,%1°,%1°,%1°
%p%,%p %,%1 %,%p٪
%v / %m,%v / %m,,%v / %m
&Clip,&Séquence,&Clip,&قص
&Current track,Piste &courante,&Aktuelle Spur,ال&مسار الحالي
&Delete,&Supprimer,&Löschen,اح&ذف
&Edit,&Édition,&Bearbeiten,&حرّر
&Favorite,&Favoris,&Favorit,ال&مفضّلة
&Gradient:,Dé&gradé :,&Verlauf:,التّ&درّج:
&Guide zone,Zone de &guide,&Hilfslinien-Bereich,&منطقة الدليل
&Guides,&Guides,&Hilfslinien,الأ&دلة
&MIME type,Type &MIME,&MIME-Typ,&نوع تنسيق الملف
&Project,&Projet,&Projekt,م&شروع
&Save,Enregi&strer,&Speichern,ا&حفظ
&Typewriter effect,Effet pour &Typewriter,&Schreibmaschineneffekt,&تأثير الكتابة
(Not set),(Non défini),(Nichts ausgewählt),(غير محدد)
(copy),(copier),(Kopie),(نسخة)
(frame %1 @ %2 fps),(trame %1 @ %2 FPS),,(إطار %1 @ %2 إطار/ث)
"+%1, Mix duration: %2","+ %1, durée de mixage : %2",Clip-Länge: %1 Sek.,+%1، مدة المزج: %2
+1,+ 1,+1,+1
+5,+ 5,+5,+5
+X,+X,+X,+س
+Y,+Y,+Y,+ص
- deprecated,- Déconseillé,- veraltet,-مهمل
"-%1, Mix duration: %2","- %1, durée de mixage : %2",Clip-Länge: %1 Sek.,-%1، مدة المزج: %2
-1,- 1,-1,-1
-5,- 5,-5,-5
-merged,-merged,Zusammenführen,-مدمج
-stream-%1,-flux-%1,Video-Stream %1,-الدفق-%1
...,...,...,...
/,/,/,/
0 = draw nothing 1 or 2 = show fields and transforms,0 = ne rien dessiner ; 1 ou 2 = afficher les champs et les transformations,,0 = لا ترسم شيء 1 أو 2 = اعرض الحقول والتحويلات
0 B,0 o,0 B,0 بايت
1 (mono),1 (mono),1 (Mono),1 (أحادي)
"1,2,3,4,5,6,7,8,9,10,11,12,13,1,15,16","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14,15, 16",,"1,2,3,4,5,6,7,8,9,10,11,12,13,1,15,16"
100 Hz,100 Hz,100 Hz,100 هرتز
100%,100 %,100  %,100%
10000 Hz,10000 Hz,10000 Hz,10000 هرتز
12000,12000,12000,12000
1250 Hz,1250 Hz,1250 Hz,1250 هرتز
156 Hz,156 Hz,156 Hz,156 هرتز
16000,16000,16000,16000
1750 Hz,1750 Hz,1750 Hz,1750 هرتز
1:1,1:1,1:1,1:1
1st Color,Première couleur,Erste Farbe,اللون الأول
1st Output Plane,Premier plan de sortie,Ausgabedatei,لغة الخرج
1st Plane Threshold,Seuil pour le premier plan,Schwellwert,استخدم العتبة
1st plane threshold,Seuil pour le premier plan,Schwellwert ändern,عتبة التغيير
2,2,2,2
2 (stereo),2 (stéréo),2 (Stereo),2 (مجسمي)
2 Channels (Stereo),2 canaux (Stéréo),2 Kanäle (Stereo),قناتان (ستيريو)
2 channels (stereo),2 canaux (stéréo),2 Kanäle (Stereo),قناتان (مجسم)
2 pass,2 passes,2 Durchläufe,تمريران
2.5K QHD 1440,2.5K QHD 1440,2.5K QHD 1440,2.5K QHD 1440
200%,200 %,200  %,200%
