English,French,German,Arabic
%,%,,٪
%1,%1,%1,%1
%1 is a folder for SSH entries,%1 est un dossier d'entrées « SSH »,%1 ist ein Ordner für SSH-Einträge,‏%1 هو مجلد لمدخلات SSH
"%1 is an invalid URL, the output could not be saved.",« %1 » est une adresse URL mal formée. La sortie ne pourra pas être enregistrée.,Ungültige Adresse: %1. Die Ausgabe kann nicht gespeichert werden.,العنوان %1 غير صالح ، لا يمكن حفظ المخرجات.
%1 on %2,%1 sur %2,%1 auf %2,%1 على %2
All Tabs in Current Window,Tous les onglets de la fenêtre active,Alle Unterfenster im aktuellen Fenster,جميع الألسنة في النافذة الحالية
Bookmarks,Signets,Lesezeichen,العلامات
Cancel,Annuler,Abbrechen,ألغِ
Clone Tab,Cloner l'onglet,Unterfenster duplizieren,استنسخ اللسان
Close Session,Fermer la session,Sitzung schließen,أغلق الجلسة
Configure or Rename Tab...,Configurer ou renommer l'onglet...,Unterfenster einrichten oder umbenennen ...,اضبط أو أعد تسمية لسان...
Continue Task,Continuer la tâche,Aufgabe fortsetzen,تابع المهمة
Default character encoding:,Encodage par défaut des caractères :,Standard-Zeichenkodierung:,ترميز المحارف المبدئي:
Detach Tab,Détacher l'onglet,Unterfenster verselbständigen,افصل اللسان
Edit...,Modifier...,Bearbeiten ...,حرّر...
Hangup,Suspendre,Auflegen,افصل
Interrupt Task,Interrompre la tâche,Aufgabe unterbrechen,قاطع المهمة
Kill Task,Tuer la tâche,Aufgabe abbrechen,اقتل المهمة
Left side,Côté gauche,Linke Seite,الجانب الأيسر
Never,Jamais,Niemals,البتة
New Tab,Nouvel onglet,Neues Unterfenster,لسان جديد
New...,Nouveau...,Neu ...,جديد...
None,Aucun,Keine,لا شيء
Paste Location,Coller l'emplacement,Speicherort einfügen,ألصق المكان
Paste everything,Coller tout,Alles einfügen,ألصق كل شيء
Print Screen...,Imprimer l'écran...,Bildschirm drucken ...,اطبع الشاشة...
Remove,Supprimer,Entfernen,أزل
Scale output,Mettre à l'échelle la sortie,Ausgabe skalieren,حجّم المخرجات
Select All,Tout sélectionner,Alles auswählen,اختر الكل
Select Tabs...,Sélectionner les onglets...,Unterfenster auswählen ...,اختر الألسنة...
Set as Default,Définir par défaut,Als Standard festlegen,اجعلها الافتراضية
Suspend Task,Suspendre la tâche,Aufgabe aussetzen,علّق المهمة
Tab title format:,Format du titre d'un onglet :,Beschriftungsformat für Unterfenster:,تنسيق عنوان اللسان:
Terminal bell mode:,Mode de cloche de terminal :,Terminal-Signalton-Modus:,نمط جرس الطرفية:
Terminate Task,Terminer la tâche,Aufgabe beenden,أنهِ المهمة
The whole line,L'intégralité de la ligne,Die gesamte Zeile,كامل السطر الحالي
Unlimited,Illimité,Unbegrenzt,غير محدود
Window Color Scheme,Thème de couleurs pour fenêtres,Fenster-Farbschema,نسق ألوان جديد
ZModem Upload...,Chargement de ZModem...,ZModem-Upload ...,رفع ZModem ...
"(c) 1997-2022, The Konsole Developers","(c) 1997 - 2022, Les développeurs de Konsole",(c) 1997-2022 die Konsole-Entwickler,"(c) 1997-2022, مطوري كونسول"
(none),(aucun),(keine),(بلا)
...,...,...,...
