English,French,German,Arabic
%1 %2,%1 %2,%1 %2,%1 %2
%1 (%2),%1 (%2),%1 (%2),‏%1 (‏%2)
%1 (can create files),%1 (peut créer des fichiers),%1 (kann Dateien erstellen),‏%1 (يمكنه إنشاء ملفات)
%1 (read & write),%1 (lecture & écriture),%1 (lesen und schreiben),‏%1 (للقراءة و الكتابة)
%1 (read-only),%1 (lecture seule),%1 (nur lesen),‏%1 (للقراءة فقط)
%1 (user),%1 (Utilisateur),%1 (Benutzer),‏%1 (المستخدم)
%1 - %2,%1 - %2,%1 - %2,‏%1 -‏ %2
%1 is not installed but it still has data present.,%1 n'est pas installé mais des données associées sont présentes.,"%1 ist nicht installiert, es sind aber noch Daten vorhanden.",التطبيق %1 غير مثبت ولكنه يملك بيانات على النظام.
%1 is now available.,%1 est maintenant disponible.,%1 ist jetzt verfügbar.,تتوفر %1 الآن.
%1 → %2%1 → %2%2,%1 → %2%1 → %2%2,%1 → %2%1 → %2%2,‏%1 ← %2%1‏ ←‏ %2‏%2
%1+,%1+,%1+,%1+
%1/s,%1 / s,%1/s,%1/ث
%1: %2,%1 : %2,%1: %2,‏%1:‏ %2
%1:%2,%1:%2,%1:%2,‏%1:‏%2
%1Please report this error to your distribution.,%1 Veuillez signaler cette erreur à votre distribution.,%1Berichten Sie bitte diesen Fehler an Ihre Distribution.,‏%1الرجاء الإبلاغ عن هذا الخطأ لتوزيعتك.
'%1' was changed and suggests to be restarted.,« %1 » a été modifié et suggère d'être redémarré.,„%1“ wurde geändert und empfiehlt den Neustart.,تغيّر '%1' وهو يقترح إعادة تشغيله.
"'%1' was updated for security reasons, a restart of the session is recommended.","« %1 » a été mis à jour pour des raisons de sécurité, un redémarrage de la session est recommandé.","„%1“ wurde aus Sicherheitsgründen aktualisiert, ein neuer Start der Sitzung wird empfohlen.",حُدّث '%1' لأسباب أمنيّة، لذا إعادة تشغيل الجلسة مستحسن.
"'%1' was updated for security reasons, a restart of the system is recommended.","« %1 » a été mis à jour pour des raisons de sécurité, un redémarrage du système est recommandé.","„%1“ wurde aus Sicherheitsgründen aktualisiert, ein neuer Start des Systems wird empfohlen.",حُدّث '%1' لأسباب أمنيّة، لذا إعادة تشغيل النّظام مستحسن.
",",",",",",، و
3D,3D,3D,ثلاثيّات الأبعاد
"%1 is now available.
To be able to upgrade to this new version, first apply all available updates, and then restart the system.","%1 est maintenant disponible. 
Pour effectuer une mise à jour vers cette nouvelle version, veuillez vous assurer d'avoir appliqué toutes les mises à jour et d'avoir re-démarré votre système.","%1 ist jetzt verfügbar.
Wenden Sie alle ausstehenden Aktualisierungen an und starten Sie dann das System neu, um auf diese neue Version aktualisieren zu können.","تتوفر %1 الآن.
لتكون قادرًا للترقية إلى هذا الإصدار الجديد، تأكد من تطبيق جميع التحديثات المتوفرة وإعادة تشغيل نظامك."
%1Upgrade to new version %2 No release notes provided,%1Mettre à jour vers la nouvelle version %2 Aucune note de publication n'est fournie.,%1Aktualisierung auf neue Version %2 Keine Hinweise zur Veröffentlichung vorhanden,%1سترقى إلى الإصدارة الأحدث %2 لا يوجد ملاحظات للإصدارة
%1Upgrade to new version %2 Release notes:<blockquote>%3</blockquote>,%1Mettre à jour vers la nouvelle version %2 Note de publication : <blockquote>%3</blockquote>,%1Aktualisierung auf neue Version %2 Hinweise zur Veröffentlichung:<blockquote>%3</blockquote>,%1سترقى إلى الإصدارة الأحدث %2 ملاحظات الإصدارة:<blockquote>%3</blockquote>
