English,French,German,Arabic
LSP Client,Client LSP,LSP-CLient,عميل LSP
Add imports automatically if needed upon completion,"Ajouter automatiquement des importations, si nécessaire avant terminaison",,أضف الواردات تلقائيًا إذا لزم الأمر عند الانتهاء
Add parentheses upon function completion,Ajouter des parenthèses pour compléter la fonction,Klammern bei Funktionsabschluss hinzufügen,أضف قوسين عند إكمال الوظيفة
Allowed && Blocked Servers,Serveurs autorisés et bloqués,,الخوادم المسموح بها والمحظورة
Automatically Expand Tree,Développer automatiquement l'arborescence,Baum automatisch ausklappen,وسّع الشجرة تلقائيًا
Automatically expand tree,Développer automatiquement l'arborescence,Baum automatisch ausklappen,وسّع الشجرة آليًا
Client Settings,Configuration du client,Client-Einstellungen,إعدادات العميل
Close All Dynamic Reference Tabs,Fermer tous les onglets de référence dynamique,Alle Unterfenster mit dynamischen Referenzen schließen,أغلق جميع الألسنة المرجعية الديناميكية
Code Action,Action du code,Quelltext-Aktion,إجراء الشفرة
Collapse All,Tout réduire,Alle einklappen,اطوِ الكل
Completions:,Achèvements :,Vervollständigungen:,الإكمال:
Corresponding Header/Source not found,Impossible de trouver l'en-tête / source correspondante,Zugehörigen Header/Quelltext nicht gefunden,لم يعثر على الرأس/المصدر المقابل
Count declarations when searching for references to a symbol,Compter les déclarations lors de la recherche de références à un symbole,,عدد التصريحات عند البحث عن إشارات إلى رمز
Declaration: %1,Déclaration : %1,Deklaration: %1,الإعلان: %1
Default Server Settings,Paramètres serveur par défaut,Standard- Servereinstellungen,إعدادات الخادم المبدئية
Definition: %1,Définition : %1,Definition: %1,التّعريف: %1
Delete all entries,Supprimer toutes les entrées,All Einträge löschen,احذف كل المدخلات
Delete selected entries,Supprimer les entrées sélectionnées,Ausgewählte Einträge löschen,احذف المدخلات المحددة
Display additional details for symbols,Afficher des détails supplémentaires pour les symboles,Symboldetails anzeigen,اعرض تفاصيل إضافية للرموز
Do you want the LSP server to be started?  The full command line is:  %1  The choice can be altered via the config page of the plugin.,Voulez-vous que le serveur « LSP » soit lancé ?   La ligne complète de commandes est :  %1  Le choix peut être modifié grâce à la page de configuration du module externe.,,هل تريد بدء تشغيل خادم LSP؟  سطر الأوامر الكامل هو:  %1  يمكن تغيير الاختيار عبر صفحة الضبط الخاصة بالملحق.
Document outline:,Aperçu du document :,,مخطط الوثيقة:
Enable inlay hints,Activer les conseils d'incrustation,,تمكين تلميحات البطانة
Enable semantic highlighting,Activer le surlignement sémantique,Semantische Hervorhebung aktivieren,مكّن الإبراز الدلالي
Enable signature help with auto completion,Activer l'aide à la signature avec l'auto-complètement,Signaturhilfe mit Autovervollständigung aktivieren,تمكين مساعدة التوقيع في الإكمال الآلي
Expand All,Tout développer,Alle ausklappen,وسّع الكل
Expand Macro,Développer une macro,Makro erweitern,وسّع الماكرو
Expand Selection,Développer une sélection,Auswahl erweitern,توسيع التحديد
Failed to find server binary: %1,Impossible de trouver un binaire associé au serveur : %1,Der Server kann nicht gestartet werden: %1,فشل في العثور على ملف التنفيذي للخادم: %1
Failed to parse server configuration '%1': %2,Impossible d'analyser la configuration du serveur « %1 » : %2,Die Einstellung für den Server kann nicht verarbeitet werden: „%1“: %2,فشل في تحليل تكوين الخادم '%1': %2
Failed to parse server configuration '%1': no JSON object,Impossible d'analyser la configuration du serveur « %1 » : pas d'objet JSON,Die Einstellung für den Server kann nicht verarbeitet werden: „%1“: Kein JSON-Objekt,"فشل في تحليل تكوين الخادم ""%1"": لا كائن JSON"
Failed to read server configuration: %1,Impossible de lire la configuration du serveur : %1,Die Einstellung für den Server kann nicht gelesen werden: %1,فشل في قراءة ضبط الخادم: %1
Failed to start server: %1,Impossible de démarrer le serveur : %1,Der Server kann nicht gestartet werden: %1,فشل في بدء تشغيل الخادم: %1
Filter…,Filtrer...,Filter ...,رشّح…
Find Implementations,Trouver des implémentations,Implementation suchen,اعثر على  إجراءات التنفيذ
Find References,Trouver les références,Referenzen suchen,اعثر على المراجع
Format,Formater,Format,نسّق
Format on save,Formater durant l'enregistrement,Formatieren beim Speichern,التنسيق عند الحفظ
Format on typing,Formater lors de la saisie,Formatieren bei der Eingabe,تنسيق عند الكتابة
Go To,Aller à,Gehe zu,انتقل إلى
Go to Declaration,Aller à la déclaration,Zur Deklaration gehen,اذهب إلى الإعلان
Go to Definition,Aller à la définition,Zur Definition gehen,انتقل إلى التّعريف
Go to Type Definition,Aller à la définition de type,Zur Typ-Definition gehen,انتقل إلى نوع التّعريف
Highlight,Surlignement,Hervorhebung,إبراز
Highlight goto location,Mettre en valeur l'emplacement de destination,Zielort hervorheben,إبراز موقع goto
Highlight target line when hopping to it,Mettre en valeur les lignes cibles quand se positionnant dessus,,إبراز السطر المستهدف عند التنقل إليه
Highlight: %1,Surlignement : %1,Hervorhebung: %1,إبراز: %1
