English,French,German,Arabic
in, pouces, Zoll, بوصة
mm, mm, mm, مم
" Okular could not locate the program dvipdfm on your computer. This program is essential for the export function to work. You can, however, convert the DVI-file to PDF using the print function of Okular, but that will often produce documents which print okay, but are of inferior quality if viewed in Acrobat Reader. It may be wise to upgrade to a more recent version of your TeX distribution which includes the dvipdfm program. Hint to the perplexed system administrator: Okular uses the PATH environment variable when looking for programs.", Okular ne peut pas trouver le programme dvipdfm sur votre ordinateur. Ce programme est essentiel pour le travail de la fonction « Exporter ». Vous pouvez cependant convertir le fichier « DVI » en « PDF » en utilisant la fonction « Imprimer » de Okular. Cela produira souvent des documents s'imprimant bien mais de qualité inférieure lorsque affichés par « Acrobat Reader ». Il peut être intéressant de mettre à jour votre distribution « TeX » vers une version plus récente incluant le programme dvipdfm  Astuce pour l'administrateur du système qui serait perplexe : Okular utilise la variable d'environnement « PATH » lors de recherche de programmes.," Das Programm dvipdfm kann nicht auf Ihrem System gefunden werden, ist aber für die Export-Funktion erforderlich. Sie können die DVI-Datei jedoch in eine PDF-Datei umwandeln, indem Sie die Druckfunktion verwenden. Damit ergeben sich in der Regel gute Druckresultate, aber die Anzeige im Acrobat Reader ist zumeist von geringer Qualität. Sie sollten eine Aktualisierung Ihrer TeX-Distribution in Erwägung ziehen, die den Befehl dvipdfm enthält. Hinweis: Okular verwendet die Umgebungsvariable „PATH“ für die Suche nach externen Programmen.", لم يتمكن أوكلار من العثور على برنامج dvipdfm على حاسوبك. هذا البرنامج ضروريّ لعمل دالة التصدير. على أى حال من الممكن تحويل ملف DVI إلىPDF بإستخدام وظيفة الطباعة لدى أوكلار، لكن هذا عادة سيُنشئ ملفات جيدة للطباعة، ولكن جودتها للعرض في قارئ مستندات أدوبي سيئة للغاية. قد يكون أكثر حكمة أن ترقِّي إلى آخر إصدار من توزيعة التكس التي تتضمن برنامج dvipdfm.  تلميحة إلى مدير النظام المُحتار: أوكلار يستخدم متغيِّر البيئة PATH عندما يبحث عن البرامج.
 Okular could not locate the program dvips on your computer. That program is essential for the export function to work. Hint to the perplexed system administrator: Okular uses the PATH environment variable when looking for programs., Okular ne trouve pas le programme dvips sur votre ordinateur. Ce programme est essentiel pour que l'exportation fonctionne.  Astuce pour l'administrateur de système qui serait perplexe : Okular utilise la variable d'environnement « PATH » lors de recherche de programmes., Das Programm dvips ist auf Ihrem System nicht verfügbar. Es wird jedoch für die Export-Funktion benötigt. Hinweis: Okular verwendet die Umgebungsvariable „PATH“ für die Suche nach externen Programmen., أوكلار لم يتمكن من العثور على برنامج dvips على جهازك.  ذلك البرنامج هو أساسي لعمل دالة التصدير .  تلميحة إلى مدير النظام: أوكلار يستخدم متغير PATH  عند البحث على البرامج. 
 Okular was not able to locate all the font files which are necessary to display the current DVI file. Your document might be unreadable. PATH: %1 , Okular n'a pas pu trouver tous les fichiers de police nécessaires à l'affichage du fichier « DVI » actuel. Votre document peut être illisible.  PATH: %1 ," Okular kann nicht alle Schriftdateien finden, die zur Anzeige der DVI-Datei nötig sind. Ihr Dokument ist möglicherweise nicht lesbar. PATH: %1 ", لم يتمكن أوكلار من إيجاد ملفات الخطوط الضرورية لعرض ملف DVI الحاليّ. قد يكون مستندك غير قابل للقراءة.  المسار: %1 
" The PDF-file %1 could not be converted to PostScript. Some graphic elements in your document will therefore not be displayed. Possible reason: The file %1 might be broken, or might not be a PDF-file at all. This is the output of the pdf2ps program that Okular used: "," Impossible de convertir le fichier « PDF » %1 en « PostScript ». En conséquence, certains éléments graphiques de votre document ne pourront être affichés. Cause possible : Le fichier %1 peut être cassé ou peut ne pas être un fichier « PDF » du tout. Voici la sortie du programme pdf2ps utilisé par Okular : "," Die PDF-Datei %1 kann nicht zu PostScript umgewandelt werden. Einige grafische Elemente in Ihrem Dokument werden daher nicht angezeigt. Mögliche Ursache: Die Datei %1 könnte beschädigt oder keine gültige PDF-Datei sein. Es folgt die Ausgabe des Programms pdf2ps, so wie es von Okular aufgerufen wurde: ",  ملفّ الـ PDF  %1 لم يكن من الممكن تحويله إلى PostScript.  ولهذا بعض العناصر التخطيطية لن تعرض.    اﻷسباب المحتملة   ملفّ %1 معطوب أو ليس ملفّ PDF.   هذا هو خرج  برنامجpdf2ps الذي استعمله أوكلار :  
" The external program pdf2ps could not be started. As a result, the PDF-file %1 could not be converted to PostScript. Some graphic elements in your document will therefore not be displayed. Possible reason: The program pdf2ps may not be installed on your system, or cannot be found in the current search path. What you can do: The program pdf2ps is normally contained in distributions of the ghostscript PostScript interpreter system. If ghostscript is not installed on your system, you could install it now. If you are sure that ghostscript is installed, try to use pdf2ps from the command line to check if it really works. PATH: "," Impossible de démarrer le programme externe pdf2ps. Le fichier PDF %1 ne peut donc pas être converti en « PostScript ». Certains éléments graphiques de votre document ne pourront donc pas être affichés. Cause possible : Le programme pdf2ps n'est peut-être pas installé sur votre système ou il est impossible de le trouver à l'emplacement ci-dessous. Ce que vous pouvez faire : Le programme pdf2ps est normalement inclus dans des distributions du système d'interpréteur de PostScript nommé « ghostscript ». Si « ghostscript » n'est pas installé sur votre système, vous pourriez l'installer maintenant. Si vous êtes sûr que « ghostscript » est installé, veuillez essayer d'utiliser pdf2ps à partir de la ligne de commandes pour vérifier qu'il fonctionne vraiment. PATH :  "," Das externe Programm pdf2ps kann nicht gestartet werden. Daher kann die PDF-Datei %1 nicht in PostScript konvertiert werden und einige grafische Elemente im Dokument werden nicht angezeigt.  Mögliche Ursache: Das Programm pdf2ps ist auf Ihrem System nicht installiert oder im derzeitigen Suchpfad für Programme nicht zu finden. Lösungsvorschlag: Das Programm pdf2ps wird normalerweise zusammen mit dem PostScript-Interpreter Ghostscript ausgeliefert. Falls Ghostscript auf Ihrem System nicht installiert ist, könnten Sie es nachinstallieren. Falls Ghostscript bereits installiert ist, so rufen Sie pdf2ps bitte auf der Befehlszeile aus und prüfen, ob dies funktioniert. PATH: ",  الـبرنامج الخارجى pdf2ps لم يتمكن من الابتداء ، كنتيجة لهذا ملف ال PDF %1  لم يكن من الممكن تحويله إلى ال  PostScript . ولهذا بعض العناصر التخطيطية لن تعرض.    اﻷسباب المحتملة    برنامج pdf2ps ربما لا يكون مُثبّتا أو غير موجود في مسار البحث الحالي   ما الحل   برنامجpdf2ps عادة يكون في توزيعات  نظام   ghostscript PostScript interpreter ..  إذا لم يكن ال ghostscript  مُثبّت على الجهاز فمن الممكن  تثبيته الآن. إذا كنت متأكدا من تثبيت ال ghostscript  فرجاء محاولة استخدام   pdf2ps   من سطر اﻷوامر حتى تتأكد إذا كان يعمل حقا أم لا   PATH: 
" There were problems running kpsewhich. As a result, some font files could not be located, and your document might be unreadable. Possible reason: the kpsewhich program is perhaps not installed on your system, or it cannot be found in the current search path. PATH: %1 ","  L'exécution de kpsewhich s'est mal déroulée. Par conséquent, certains fichiers de polices n'ont pas pu être trouvés et votre document peut être illisible.Raisons possibles : le programme kpsewhich n'est peut-être pas installé sur votre système, ou il ne se trouve pas dans l'emplacement de recherche actuel.  PATH: %1 ", Bei der Ausführung von kpsewhich sind Probleme aufgetreten. Daher können einige Schriftdateien nicht gefunden werden und Ihr Dokument ist möglicherweise nicht lesbar. Mögliche Ursache: Das Programm kpsewhich ist möglicherweise auf Ihrem System nicht installiert oder es kann nicht im aktuellen Suchpfad gefunden werden. PATH: %1 , حدثت مشاكل أثناء تشغيل kpsewhich. نتيجة لذلك، تعذر تحديد بعض ملفات الخطوط، والمستند قد يكون غير مقروء.  الأسباب المحتملة: ربما برنامج kpsewhich غير مثبت في نظامك، أو أنه تعذر إيجاده في مسار البحث الحاليّ.  المسار: %1 
"The external program 'dvipdfm', which was used to export the file, reported an error. You might wish to look at the document info dialog which you will find in the File-Menu for a precise error report.","Le programme externe « dvipdfm », servant à l'exportation du fichier, a rapporté une erreur. Vous pourriez souhaiter regarder la boîte de dialogue d'informations du document que vous trouverez dans le menu « Fichier » pour vous fournir un rapport d'erreur précis.",Das für den Export der Datei verwendete externe Programm „dvipdfm“ hat einen Fehler gemeldet. Die genaue Fehlermeldung finden Sie im Dialog Eigenschaften im Menü „Datei“., البرنامج الخارجي dvipdfm الذي استخدَم في تصدير الملفّ أقر خطأ. ربما ترغب فى النظر إلى  مستند معلومات الحوار الذي ستجده في قائمة الملف لمعرفة الخطأ  
"The external program 'dvips', which was used to export the file, reported an error. You might wish to look at the document info dialog which you will find in the File-Menu for a precise error report.","Le programme externe « dvips », utilisé pour l'exportation du fichier signale une erreur. Vous pourriez souhaiter voir la boîte de dialogue d'informations du document que vous trouverez dans le menu « Fichier » pour un rapport d'erreur précis.","Das externe Programm „dvips“, das zum Exportieren der Datei benutzt worden ist, hat einen Fehler gemeldet. Eine ausführlichere Fehlerbeschreibung finden Sie im Dialog Eigenschaften im Menü „Datei“.",  البرنامج الخارجي 'dvips'، والذي استخدم لتصدير ملف، بلّغ عن خطأ. ربما ترغب في نظرة إلى مربع   حوار معلومات المستند    والتي ستجدها في قائمة  ملف لتقرير خطأ دقيق.  
"The font generation by kpsewhich was aborted (exit code %1, error ). As a result, some font files could not be located, and your document might be unreadable.","La génération de police par kpsewhich a été annulée (code de fermeture %1, erreur ). En conséquence, il est probable que certaines polices soient manquantes et que votre document soit illisible.","Das Erzeugen der Schriften durch kpsewhich ist abgebrochen worden (Rückgabewert %1, Fehler ). Infolgedessen können einige Schriftdateien nicht gefunden werden. Ihr Dokument ist möglicherweise nicht darstellbar.",أُجهِض توليد الخط باستخدام kpsewhich (معطياً رمز الخطأ %1، والخطأ ). نتيجة لذلك، فإن بعض ملفات الخطوط تعذر إيجاد مكانها، وقد لا يكون مستندك قابلاً للقراءة.
"This DVI file refers to external graphic files which are not in PostScript format, and cannot be handled by the dvips program that Okular uses internally to print or to export to PostScript. The functionality that you require is therefore unavailable in this version of Okular.",Ce fichier « DVI » se réfère à des fichiers graphiques externes qui ne sont pas au format « PostScript » et ne peuvent pas être traités par le programme dvips que Okular utilise pour imprimer ou exporter vers des fichiers « PostScript ». La fonctionnalité que vous demandez est donc indisponible dans cette version de Okular.,"Diese DVI-Datei verweist auf externe Grafikdateien, die nicht im PostScript-Format vorliegen. Diese können nicht von dvips verarbeitet werden, das Okular intern verwendet, um zu drucken oder nach PostScript zu exportieren. Die von Ihnen benötigte Funktionalität ist daher in dieser Version von Okular nicht verfügbar.", ملفّ ال DVI  يشير إلى  رسوم ملفات خارجية  ليست فى تنسيق PostScript   ولا يمكن معالجتها ببرنامج dvips  الذي يستخدمه برنامج أوكلار داخليا فى طبع أو تصدير إلى الPostScript. ولذلك الوظيفة التي تطلبها غير متوافرة فى هذا الإصدار من أوكلار. 
All external PostScript files were embedded into your document.,Tous les fichiers PostScript externes ont été intégrés dans votre document.,Alle externen PostScript-Dateien wurden in das Dokument eingebettet.,تم تضمين كل ملفات بوست سكرِبت في مستندِك.
An illegal command was encountered.,Une commande illégale a été rencontrée.,Ein ungültiger Befehl ist entdeckt worden.,تم مواجهة أمر غير شرعي
"Bad pk file (%1), too many bits","Mauvais fichier « PK » (%1), trop de bits","Fehlerhafte PK-Datei (%1), zu viele Bits",ملف pk (%1) غير صالح، مجموعة بت أكثر من اللازم
"Cannot find font %1, file .","Impossible de trouver la police %1, fichier .",Die Schrift %1 aus Datei  wurde nicht gefunden.,"غير قادر على العثور على خط %1, الملف ."
Cannot open font file %1.,Impossible d'ouvrir le fichier de police %1.,Die Schriftdatei %1 lässt sich nicht öffnen.,لا يستطيع فتح الخط %1.
Cannot recognize format for font file %1,Impossible de reconnaître le format du fichier de police %1,Das Format der Schriftdatei %1 ist unbekannt,عاجز عن التعرف على تنسيق ملف الخط %1
Checksum mismatch for font file %1,Incohérence de somme de contrôle pour le fichier de police %1,Prüfsummen-Fehler in Schriftdatei %1,خطأ في تدقيق المجموع لملف الخط %1
Currently generating %1 at  dpi...,Génération en cours de %1 à  dpi...,%1 wird mit  dpi erzeugt ...,جاري حاليا توليد %1 بـ  نقطة لكل بوصة...
Embedding %1,Intégration de %1,Einbetten von %1,تضمين %1
"Error in DVIfile '%1', page . Color pop command issued when the color stack is empty.","Erreur dans le fichier « DVI » « %1 », page . Une commande de tirage de couleurs est émise alors que la pile de couleurs est vide.","Fehler in der DVI-Datei „%1“, Seite . Die Anweisung „color pop“ ist in Verbindung mit einem leerem Farbenspeicher verwendet worden.",خطأ فى ملف ال  DVI  '%1'  صفحة  . تم مواجهة أمر اللون الشعبى  عندما كانت كومة اﻷلوان فارغة.
"Error in DVIfile '%1', page . Could not interpret angle in text rotation special.","Erreur dans le fichier « DVI » « %1 », page . Impossible d'interpréter l'angle dans la rotation spéciale de texte.","Fehler in der DVI-Datei „%1“, Seite . Die Winkelangabe der Textdrehung kann nicht ausgewertet werden.",خطأ فى ملف ال DVI '%1'  صفحة . لم يتمكن من ترجمة الزاوية فى دوران النص الخاص.
Fatal error.,Erreur fatale.,Kritischer Fehler.,خطأ مُهلِك
File corruption. %1,Fichier corrompu. %1,Die Datei ist fehlerhaft. %1,ملف معطوب. %1
"File not found: 
 %1","Impossible de trouver le fichier : 
 %1","Datei nicht gefunden:
%1","لم يتم العثور على ملف
 %1"
Font file not found,Impossible de trouver un fichier de police,Schriftdatei nicht gefunden,ملف الخط لم يتم العثور عليه
Font has non-square aspect ratio,La police a un coefficient d'aspect non carré,Schrift weist nicht-quadratische Proportion auf,الخط له نسبة عرض إلى إرتفاع غير مربعة
FreeType is unable to load glyph #%1 from font file .,Le programme « FreeType » est incapable de charger le glyphe n° %1 à partir du fichier de police .,FreeType kann das Zeichen #%1 aus der Schriftdatei  nicht laden.,FreeType عاجز عن تحميل رسمة#%1 من ملف الخط .
FreeType is unable to load metric for glyph #%1 from font file .,Le programme « FreeType » est incapable de charger la métrique pour le glyphe n° %1 à partir du fichier de police .,FreeType kann die Metrik für das Zeichen #%1 aus der Schriftdatei  nicht einlesen.,FreeType  عاجز عن تحميل القياس لل  glyph # %1 من ملف الخط .
FreeType is unable to render glyph #%1 from font file .,Le programme « FreeType » est incapable de rendre le glyphe n° %1 à partir du fichier de police .,FreeType kann das Zeichen #%1 aus der Schriftdatei  nicht darstellen.,FreeType عاجز عن عرض رسمة#%1 من ملف الخط .
FreeType reported an error when setting the character size for font file %1.,Le programme « FreeType » rapporte une erreur lors du réglage de la taille de caractère pour le fichier de police %1.,FreeType hat einen Fehler beim Setzen der Zeichengröße in der Schrift %1 gemeldet.,FreeType بلغ عن خطأ عندما كان يضبط حجم الحرف لملف الخط%1.
Generator/Date,Générateur / Date,Ersteller/Datum,مولد/تاريخ
Glyph #%1 from font file  is empty.,Le glyphe n° %1 issu du fichier de police  est vide.,Das Zeichen #%1 der Schriftdatei  ist leer.,رسمة #%1 من ملف الخط  فارغة.
Glyph #%1 is empty.,Le glyphe n° %1 est vide.,Das Zeichen #%1 ist leer.,رسمة #%1 فارغة.
"Malformed parameter in the epsf special command.
Expected a float to follow %1 in ","Paramètre mal formé dans la commande spéciale « epsf ».
Un paramètre de type flottant était attendu à la suite de %1 dans ","Fehlerhafter Parameter in EPSF Spezial-Befehl.
Es wird in  ein float nach %1 erwartet.","معامل مشوّه  في الأمر الخاص  epsf . 
كان متوقع من الطائف أن يتبع  %1 في "
