English Term,Arabic Term,Arabic Description
A/B Testing,اختبار أ/ب,طريقة إحصائية لمقارنة أسلوبين أو أكثر؛ لتحديد أي منهما يعمل بطريقة أفضل، وفهم ما إذا كان الاختالف ذا دلالة إحصائية. .
Abduction,استخلاص,انظر استدلال استخلاصي. .
Abductive Logic Programming (ALP),برمجة منطقية استخلاصية,إطار يجمع بين البرمجة المنطقية والاستدلال الاستخلاصي؛ لتوليد تفسيرات أو فرضيات معقولة للبيانات أو الأحداث المرصودة. .
Abductive Reasoning,استدلال استخلاصي,عملية استنتاج نتائج محتملة بناًء على معلومات معروفة. وُيطلق عليها أيًضا استخلاص.    . .
Ablation Study,دراسة استئصالية,اختبار علمي ُيستخدم لتحليل أداء نموذج ما عن طريق إزالة بعض ُمكِّوناته أو تعطيلها بطريقة منهجية وتقييم تأثير ذلك في الأداء. .
Abstract Datatype,نوع بيانات مجرد,مجموعة من قيم البيانات والعمليات ذات الصلة التي تكون مستقلة عن أي تنفيذ. .
Accountability,مسؤولية,حالة من المسؤولية عن شيء ما بناًء على التنظيم أو الاتفاق أو التعيين. .
Accuracy,دقة,معدل التنبؤات الصحيحة التي يقدمها نموذج التصنيف. .
Action,فعل,آلية في التعُّلم التعزيزي، ينتقل بها الوكيل بين حالات البيئة.
Action Model Learning,تعُّلم نموذج الأفعال,مجال فرعي من تعُّلم الآلة، يتعلم فيه وكالء الذكاء الاصطناعي فهم تأثيرات أفعالهم في بيئة ما. .
Action Recognition,تعُّرف على الأفعال,مهمة في رؤية الحاسب ُتحِّلل الفيديوهات لتحديد الأفعال البشرية. وُيطلق عليها أيًضا تعُّرف على الأفعال البشرية     . أو تعُّرف على النشاط البشري. .()
Action Selection,اختيار الفعل,عملية تحديد ما يجب أن يقوم به الوكيل في الخطوة التالية. .
Activation Function,دالة تنشيط,صيغة رياضية ُتستخدم في الشبكة العصبية الاصطناعية؛ لمعالجة الُمْدَخلات الموزونة للُعَقد وتوليد المخرجات. .
Activation Map,خريطة التنشيط,انظر خريطة الخصائص. .
Active Learning,تعُّلم نشط,طريقة تعُّلم شبه موَّجه، يمكن للخوارزمية فيها اختيار بعض البيانات للتعُّلم منها. .
Active Prompting,أوامر نشطة,طريقة لتكييف نموذج على مهام محددة عن طريق اختيار الأسئلة الأكثر غموًضا، وتوصيفها باستخدام أوامر متعلقة بالمهام وتسلسل الأفكار. .
Ad Targeting,توجيه الإعالنات,طريقة إعالنية متقدمة تستهدف الجمهور الأكثر تقب ًال للعروض. وُيطلق عليها أيًضا إعالن موَّجه. . .(  )
AdaGrad ),تدرج َتَكُّيف ّي (أدا جراد,خوارزمية متقدمة للنزول التدرجي، ُتنِّفذ التدرج عن طريق معرفة أشكال البيانات من تكرارات سابقة. .
Adapter Tuning,ضبط الُمكِّيف,أسلوب ضبط دقيق يضيف طبقات صغيرة قابلة للتدريب إلى نموذج ُمدَّرب سابًقا، وُيحِّدث فقط ُمعاِمالت هذه الطبقات؛ لتكييف النموذج على مهام محددة. .
Adaptive Algorithm,خوارزمية َتَكُّيفَّية,خوارزمية تغير سلوكها في وقت التشغيل بناًء على المعلومات المتاحة، والمعايير المحددة سابًقا. .
Adaptive Boosting )AdaBoost(,تعزيز َتَكُّيف ّي,أسلوب تعزيز يجمع بين عدد من المصِّنفات الضعيفة؛ لإنشاء مصِّنف قوي. .
Adaptive Data Governance,َحْوكمة َتَكُّيفَّية للبيانات,طريقة مرنة لحوكمة البيانات، تركز على التعديل المستمر؛ لتلبية التغيرات في احتياجات العمل والمتطلبات التنظيمية والتقنيات. .
Adaptive Machine Learning,تعُّلم الآلة الَّتَكُّيف ّي,طريقة لتحديث نماذج تعُّلم الآلة وإعادة تدريبها تدريجًّيا؛ للَّتَكُّيف مع التغيرات الجديدة. .
Adaptive Neuro-Fuzzy Inference System )ANFIS(,نظام استنتاج عصبي-ضبابي َتَكُّيف ّي,أسلوب يجمع بين المنطق الضبابي والشبكات العصبية؛ لتحسين أداء التنبؤ وقابليته للتطبيق. .
Admissible Heuristic,إرشادية مقبولة,دالة لا تبالغ في تقدير تكلفة الوصول إلى الهدف في خوارزمية البحث. .
Advanced Driver Assistance Systems )ADAS(,أنظمة مساعدة السائق المتقدمة,انظر مساعدة السائق. .
Adversarial Example,مثال عدائي,ُمدخلات ُصِّممت عمًدا لخداع نموذج تعُّلم الآلة، ودفعه الرتكاب الأخطاء. .
Adversarial Machine Learning,تعُّلم الآلة العدائي,مجال يركز على تصميم خوارزميات فاعلة لتعُّلم الآلة؛ ألجل مواجهة التحديات الأمنية. .
Adversarial Prompting,أوامر عدائية,أسلوب لصياغة أوامر مصممة لتضليل النموذج أو التالعب به؛ لإنتاج مخرجات ضارة أو غير مرغوب فيها. .
Affective Computing,حوسبة عاطفية,مجال فرعي من الذكاء الاصطناعي يهتم بتطوير أنظمة قادرة على التعُّرف على المشاعر البشرية ومعالجتها. وُيطلق عليه أيًضا ذكاء اصطناعي عاطفي.   .
Agent,وكيل,كيان مادي أو برمجي يمكنه إدراك بيئته، والعمل بتحكم ذاتي لتحقيق هدف. .
Agent Architecture,معمارية الوكيل,مخطط لنظام التحكم الخاص بالوكيل، يوضح ُمكِّونات التحكم والتنظيم الوظيفي. .
Agglomerative Clustering,تجميع تكُّتلي,طريقة لإنشاء شجرة هرمية عن طريق تعيين كل مثال في مجموعته، ودمج أقرب المجموعات بصورة َتكرارية. .
Algorithm,خوارزمية,مجموعة من التعليمات المحددة لحل مشكلة ما، أو أداء مهمة معينة. .
Algorithm in the Loop,خوارزمية في الحلقة,إطار تعاوني التخاذ القرار، يستفيد من الخوارزميات لتحسين عملية اتخاذ القرار البشري. .
Algorithmic Aversion,نفور من الخوارزميات,الميل البشري إلى تجنب استخدام الخوارزميات أو عدم الثقة فيها؛ حتى عندما تتفوق على الأداء البشري. .
Algorithmic Bias,تحُّيز خوارزمي,انظر تحُّيز الذكاء الاصطناعي. .
Algorithmic Efficiency,كفاءة خوارزمية,مقياس لحساب متوسط الوقت الالزم للخوارزمية لتنفذ العمل كام ًال على مجموعة من البيانات. .
Algorithmic Learning Theory,نظرية التعُّلم الخوارزمي,مجال من مجالات نظرية التعُّلم الحوسبي التي ُتحلل حدود التعُّلم ب ُطُرق غير إحصائية وغير احتمالية. .
Algorithmic Probability,احتمال خوارزمي,طريقة لتعيين احتمالية سابقة للأشياء. وُيطلق عليها أيًضا احتمالية سولومونوف. .    .
Ambient Intelligence )AmI(,ذكاء محيطي,بيئة رقمية مراعية للأشخاص، وداعمة لحياتهم اليومية. .
Analog Artificial Intelligence,ذكاء اصطناعي تناظري,نوع من الذكاء الاصطناعي يستخدم مبادئ الحوسبة التناظرية وأنظمتها؛ لتصميم وتنفيذ خوارزميات ونماذج الذكاء الاصطناعي. .
Analog Data,بيانات تناظرية,بيانات ممثلة بشكل مستمر ومتغير، على عكس البيانات الرقمية التي ُتمَّثل بشكل منفصل وثنائي (أي:  و). .(   ..)
Analog Deep Learning,تعُّلم عميق تناظري,طريقة تستخدم الحوسبة والأجهزة التناظرية إلجراء العمليات الحسابية المطلوبة لمهام التعُّلم العميق. .
Analysis of Algorithms,تحليل الخوارزميات,عملية تحديد التعقيد الحوسبي للخوارزميات وأدائها؛ وذلك من أجل تقييم مدى ملاءمة تطبيقاتها، أو مقارنتها بخوارزميات أخرى. .
Analytics Platform,منصة تحليالت,حل تقني موحد يتيح إجراء الدورة الكاملة لعمليات التحليالت، ويشمل: إعداد البيانات ومعالجتها وتخزينها وإدارتها.
Anchor Box,إطار مرجعي,إطار تحديد بارتفاع وعرض محددين سابًقا، يساعد في اكتشاف الأشياء المتداخلة والأشياء ذات المقاييس المختلفة داخل الصورة. .
Annotator,ُمَوِّصف,عامل يساعد في تسمية البيانات (مثل الصور) عند الطلب. ( ..) ُيطلق عليه أيًضا ُمسِّمي أو ُمقِّيم. .     .
Anomaly Detection,اكتشاف الشذوذ,عملية تحديد المشاهدات غير المعتادة أو غير الطبيعية في البيانات؛ نظًرا لخصائصها المختلفة عن غالبية البيانات المعالجة.
Answer Set Programming )ASP(,برمجة مجموعة الإجابات,نوع من البرمجة التصريحية لحل مشكالت البحث المعقدة. .
Anytime Algorithm,خوارزمية فورية,خوارزمية تعطي نتيجة صالحة حتى لو قوطعت قبل انتهائها، وتتحسن جودة نتائجها تدريجًّيا ما دامت تعمل. .
