
%i %s %i %s,%i %s %i %s,%i %s %i %s,%i %s %i %s
%s %s remaining,%s : il reste %s,%s %s verbleibend,المتبقي %s %s
%s %s until charged,%s : %s avant chargement complet,%s %s bis vollständig geladen,%s %s حتى يتم الشحن
%s of UPS backup power remaining,Il reste %s d'autonomie à l'onduleur,%s der USV-Ladung verbleibend,المتبقي من طاقة UPS الاحتياطية %s
'%s' on %s,'%s' sur %s,»%s« auf %s,'%s'على %s
Approximately %s of remaining UPS backup power (%.0f%%),Il reste environ %s d'autonomie à l'onduleur (%.0f %%),Ihnen verbleiben noch ca. %s im Notstrombetrieb (%.0f%%),المتبقي من طاقة UPS الاحتياطية %s تقريباً (%.0f%%)
Approximately %s of remaining UPS power (%.0f%%). Restore AC power to your computer to avoid losing data.,Il reste environ %s d'autonomie à l'onduleur (%.0f %%). Branchez votre ordinateur au secteur pour éviter de perdre des données.,"Ihnen verbleiben noch ca. %s im Notstrombetrieb (%.0f%%). Schließen Sie den Rechner an die Stromversorgung an, um Datenverlust zu verhindern.",طاقة UPS المتبقي منها %s تقريباً (%.0f%%). استعادة طاقة AC للكمبيوتر الخاص بك لتجنب فقدان البيانات.
Approximately %s remaining (%.0f%%),Il reste environ %s (%.0f %%),Ihnen verbleiben noch ca. %s (%.0f%%),حوالي %s المتبقية (%.0f%%)
Ask what to do,Demander quoi faire,"Nachfragen, was getan werden soll",اسأل ماذا تفعل
Attached computer battery low,Batterie de l'ordinateur connecté faible,Akku des angeschlossenen Rechners ist fast leer,بطارية الكمبيوتر المرفقة منخفضة
Attached computer is low in power (%.0f%%),Il reste peu d'autonomie à l'ordinateur connecté (%.0f %%),Der angeschlossene Rechner hat nur noch wenig Energie (%.0f%%),طاقة الكمبيوتر المرفقة منخفضة (%.0f%%)
Attached computer is very low in power (%.0f%%). The device will soon shutdown if not charged.,Il reste très peu d'autonomie à l'ordinateur connecté (%.0f %%). Il s'arrêtera bientôt de fonctionner s'il n'est pas rechargé.,"Der an diesem Rechner angeschlossene Rechner hat nur noch wenig Energie (%.0f%%). Er wird herunterfahren, falls er nicht bald aufgeladen wird.",طاقة الكمبيوتر المرفقة منخفضة جدًا (%.0f%%). سيتوقف هذا الجهاز قريبًا عن العمل إذا لم يتم شحنها.
Battery critically low,Batterie très faible,Ladezustand des Akkus ist kritisch,البطارية منخفضة للغاية
Battery is critically low,La batterie est très faible,Kritischer Ladezustand des Akkus,البطارية منخفضة للغاية
Battery is low,Batterie faible,Ladezustand des Akkus ist niedrig,البطارية ضعيفة
Battery low,Batterie faible,Akkuladezustand niedrig,البطارية ضعيفة
Capacity:,Capacité :,Kapazität:,القدرة:
Cell phone battery low,Batterie de téléphone portable faible,Mobiltelefon-Akku fast leer,بطارية الهاتف الخليوي منخفضة
Cell phone is charged,Téléphone portable chargé,Mobiltelefon ist vollständig aufgeladen,الهاتف الخليوي مشحون
Cell phone is charging,Téléphone portable en charge,Mobiltelefon wird aufgeladen,الهاتف الخليوي قيد الشحن
Cell phone is discharging,Téléphone portable en décharge,Mobiltelefon wird entladen,الهاتف الخليوي قيد التفريغ
Cell phone is empty,Téléphone portable déchargé,Mobiltelefon ist leer,الهاتف الخليوي فارغ
Cell phone is low in power (%.0f%%),Il reste peu d'autonomie au téléphone portable (%.0f %%),Mobiltelefon hat nur noch wenig Energie (%.0f%%),طاقة الهاتف الخلوي منخفضة (%.0f%%)
Cell phone is very low in power (%.0f%%). This device will soon stop functioning if not charged.,Il reste très peu d’autonomie au téléphone portable (%.0f %%). Il s’arrêtera bientôt de fonctionner s’il n’est pas rechargé.,"Das Mobiltelefon hat eine sehr geringe Ladung (%.0f%%). Dieses Gerät wird bald aufhören zu funktionieren, wenn es nicht geladen wird.",بطارية الهاتف المحمول منخفضة جداً (%.0f%%). سيتوقف هذا الجهاز قريبًا عن العمل إذا لم يتم شحنها.
Charge rate:,Taux de charge :,Laderate:,نسبة الشحن:
Charge time:,Temps de charge :,Ladezeit:,وقت الشحن:
Charged,Chargé,Geladen,مشحون
Charging,En charge,Lädt,شحن
Choose what application to launch.,Choisissez l'application à lancer.,"Wählen Sie, welche Anwendung gestartet werden soll.",اختيار التطبيق المطلوب تشغيله.
Cinnamon Settings Daemon Color Plugin,Greffon de couleur du service des paramètres Cinnamon,Farb-Plugin für Cinnamon-Einstellungsdienst,إعدادات برنامج اللون المساعد المخفي لـCinnamon
Color,Couleur,Farbe,اللون
Color calibration device added,Appareil de calibration des couleurs ajouté,Farbkalibrierungsgerät wurde hinzugefügt,تم إضافه جهاز معايرة الألوان
Color calibration device removed,Appareil de calibration des couleurs enlevé,Farbkalibrierungsgerät wurde entfernt,تم إزالة جهاز معايرة الألوان
Computer is charged,Ordinateur chargé,Rechner ist vollständig geladen,الكمبيوتر مشحون
Computer is charging,Ordinateur en charge,Rechner wird aufgeladen,الكمبيوتر قيد الشحن
Computer is discharging,Ordinateur en décharge,Rechner wird entladen,الكمبيوتر قيد التفريغ
Computer is empty,Ordinateur déchargé,Rechner ist vollständig entladen,الكمبيوتر فارغ
Computer will hibernate very soon unless it is plugged in.,L'ordinateur se mettra très rapidement en hibernation si l'alimentation n'est pas branchée.,"Dieser Rechner wird sehr bald in den Ruhezustand versetzt, es sei denn, er wird angeschlossen.",سيتم إسبات الكمبيوتر قريباً جداً ما لم يتم توصيله.
Computer will shutdown very soon unless it is plugged in.,L'ordinateur s'éteindra très rapidement si l'alimentation n'est pas branchée.,"Dieser Rechner wird sehr bald heruntergefahren, es sei denn, er wird angeschlossen.",سيتم إيقاف تشغيل الكمبيوتر قريباً جداً ما لم يتم توصيله.
Computer will suspend very soon unless it is plugged in.,L'ordinateur se mettra très rapidement en veille si l'alimentation n'est pas branchée.,"Dieser Rechner wird sehr bald in Bereitschaft versetzt, es sei denn, er wird angeschlossen.",سيتم تعليق الكمبيوتر قريباً جداً ما لم يتم توصيله.
Configuring new printer,Configuration d'une nouvelle imprimante,Neuer Drucker wird konfiguriert,تكوين طابعة جديدة
Cover open,Capot ouvert,Abdeckung offen,الغطاء مفتوح
Current charge:,Charge actuelle :,Gegenwärtige Ladung:,الشحن الحالي:
Design charge:,Charge théorique :,Spezifizierte Maximalladung:,تصميم الشحن:
Discharge time:,Temps de décharge :,Entladezeit:,وقت التفريغ:
Discharging,En décharge,Entlädt,تفريغ
Disk space,Espace disque,Festplattenplatz,مساحة القرص
Do Nothing,Ne rien faire,Nichts tun,لا تفعل شيئا
Don't show any warnings again,Ne plus jamais afficher d'avertissements,Keine Warnungen mehr anzeigen,عدم عرض أي تحذيرات مرة أخرى
Don't show any warnings again for this file system,Ne plus afficher d'avertissements pour ce système de fichiers,Für dieses Dateisystem keine Warnungen mehr anzeigen,عدم عرض أي تحذيرات مرة أخرى لنظام الملفات هذا
Door open,Porte ouverte,Klappe offen,الباب مفتوح
Empty,Déchargée,Leer,فارغة
Empty Trash,Vider la corbeille,Papierkorb leeren,إفراغ سلة المهملات
