(Empty),(Vide),(Leer),(فارغة)
(another copy),(autre copie),(weitere Kopie),(نسخ أخر)
(copy),(copie),(Kopie),(نسخ)
(invalid Unicode),(Unicode non valide),(ungültiger Unicode),(Unicode غير صالح)
(some contents unreadable),(certains contenus sont impossibles à lire),(Einige Inhalte sind nicht lesbar),(بعض المحتويات غير قابلة للقراءة)
--check cannot be used with other options.,--check ne peut pas être utilisée avec d'autres options.,--check kann nicht zusammen mit anderen Optionen verwendet werden.,--لا يمكن استخدام الاختيار مع خيارات أخرى.
--geometry cannot be used with more than one URI.,--geometry ne peut pas être utilisée avec plus d'un URI.,--geometry kann nicht mit mehr als einer Adresse benutzt werden.,--لا يمكن استخدام الهندسة مع أكثر من URI واحد.
--quit cannot be used with URIs.,--quit ne peut pas être utilisée avec des URI.,--quit kann nicht mit Adressen benutzt werden.,--لا يمكن الاستخدام مع URIs.
1 GB,1 Gio,1 GB,1 جب
1 MB,1 Mio,1 MB,1 مب
10 MB,10 Mio,10 MB,10 مب
100 KB,100 Ko,100 KB,100 كب
100 MB,100 Mio,100 MB,100 مب
100%,100 %,100%,100%
150%,150 %,150%,150%
16 GB,16 Go,16 GB,16 غيغابايت
2 GB,2 Gio,2 GB,2 جب
200%,200 %,200%,200%
3 MB,3 Mio,3 MB,3 مب
32 GB,32 Go,32 GB,32 غيغابايت
33%,33 %,33%,33%
4 GB,4 Gio,4 GB,4 جب
400%,400 %,400%,400%
5 MB,5 Mio,5 MB,5 مب
50%,50 %,50%,50%
500 KB,500 Kio,500 KB,500 كب
64 GB,64 Go,64 GB,64 غيغابايت
66%,66 %,66%,66%
8 GB,8 Go,8 GB,8 جب
Behavior,Comportement,Verhalten,السلوك
Bulk Rename,Renommer plusieurs fichiers,Umbenennen mehrerer Elemente,إعادة تسمية مجمعة
Compact View Defaults,Réglages par défaut de la vue compacte,Vorgaben für Kompaktansicht,افتراضيات العرض المحكم
Date,Date,Datum,التاريخ
Default View,Vue par défaut,Vorgabeansicht,العرض الافتراضي
Executable Text Files,Fichiers textes exécutables,Ausführbare Textdateien,الملفات النصية القابلة للتنفيذ
File Properties,Propriétés du fichier,Dateieigenschaften,خصائص الملف
File Size,Taille du fichier,Dateigröße,حجم الملف
Folders,Dossiers,Ordner,المجلدات
Icon Captions,Libellés des icônes,Symbolbeschriftungen,عنوان الأيقونة
Icon View Defaults,Réglages par défaut de la vue en icônes,Vorgaben für Symbolansicht,افتراضيات عرض الأيقونة
List Columns,Liste des colonnes,Listenspalten,أعمدة القائمة
List View Defaults,Réglages par défaut de la vue en liste,Vorgaben für Listenansicht,افتراضيات عرض القائمة
Media Handling,Gestion des supports,Handhabung von Datenträgern,معالجة الوسائط
Move/Copy To Menu,Menu Copier/Déplacer,Menüpunkt »Verschieben/Kopieren nach«,نقل/نسخ إلى القائمة
Previewable Files,Fichiers pré-visualisables,Vorschaubare Dateien,الملفات القابلة للمعاينة
Tooltips,Info-bulles,Kurzinfos,تلميحات الأدوات
Trash,Corbeille,Papierkorb,سلة المهملات
Tree View Defaults,Réglages par défaut de la vue arborescente,Vorgaben für Baumansicht,افتراضيات عرض الشجرة
Window and Tab Titles,Titres des fenêtres et onglets,Fenster- und Reitertitel,عناوين النوافذ وعلامات التبويب
Bookmarks,Marque-pages,Lesezeichen,الإشارات المرجعية
Location,Emplacement,Ort,الموقع
Name,Nom,Name,الاسم
<big>Error autorunning software</big>,<big>Erreur durant le lancement automatique du logiciel</big>,<big>Fehler beim automatischen Starten</big>,<big>خطأ في تشغيل البرامج تلقائياً</big>
<big>This medium contains software intended to be automatically started. Would you like to run it?</big>,<big>Ce support contient un logiciel conçu pour être lancé automatiquement. Souhaitez-vous le lancer ?</big>,"<big>Dieser Datenträger enthält Programme, die automatisch gestartet werden sollen. Sollen sie gestartet werden?</big>",<big> يحتوي هذا الوسيط على برنامج يهدف إلى البدء تلقائياً. هل ترغب في تشغيله؟</big>
"By default, a folder tooltip shows the item count, and files display their size.
    Select additional information to display in the tooltip:","Par défault l'infobulle d'un dossier montre le nombre d'éléments et celle d'un fichier montre sa taille.
    Sélectionnez les informations complémentaires à afficher dans l'infobulle :","Als Vorgabe, wird eine Ordnerkurzinfo die Elementeanzahl anzeigen und Dateien deren Größe.
    Bitte zusätzliche Informationen auswählen, um die Kurzinfo anzuzeigen:","بشكل افتراضي، يعرض تلميح أدوات المجلد عدد العناصر، وتعرض الملفات حجمها.
 حدد معلومات إضافية لعرضها في تلميح الأدوات:"
? bytes,? octets,? Byte,؟ البايتات
? items,? éléments,? Objekte,؟ العناصر
"A folder with the same name already exists in ""%s"".",Un dossier portant le même nom existe déjà dans « %s ».,Ein Ordner gleichen Namens existiert bereits in »%s«.,"يوجد بالفعل مجلد يحمل نفس الاسم في ""%s""."
"A newer file with the same name already exists in ""%s"".",Un fichier plus récent portant le même nom existe déjà dans « %s ».,Eine neuere Datei mit dem selben Namen existiert bereits in »%s«.,"يوجد بالفعل ملف أحدث يحمل نفس الاسم في ""%s""."
"A newer folder with the same name already exists in ""%s"".",Un dossier plus récent portant le même nom existe déjà dans « %s ».,Ein neuerer Ordner gleichen Namens existiert bereits in »%s«.,"يوجد بالفعل مجلد أحدث يحمل نفس الاسم في ""%s""."
A problem has been detected with your thumbnail cache.  Fixing it will require administrative privileges.,Un problème a été détecté dans votre cache de vignettes. Sa résolution requiert des privilèges administrateur.,Ein Problem wurde mit Ihrem Vorschaubildpuffer festgestellt. Das zu reparieren benötigt Systemverwaltungsrechte.,تم اكتشاف مشكلة في ذاكرة التخزين المؤقت المصغرة. إصلاحه سيتطلب امتيازات إدارية.
All columns have the same width,Toutes les colonnes ont la même largeur,Alle Spalten haben die selbe Breite,جميع الأعمدة لها نفس العرض
Access and organize files,Accéder aux fichiers et les organiser,Dateien aufrufen und organisieren,الوصول إلى الملفات وتنظيمها
Access files,Accès aux fichiers,Auf Dateien zugreifen,الوصول إلى الملفات
Access was denied.,L'accès a été refusé.,Zugriff wurde verweigert.,تم رفض الوصول.
Access:,Accès :,Zugriff:,الوصول:
Accessed date,Date d'accès,Zugriffsdatum,تاريخ الوصول
Accessed:,Dernier accès :,Zugegriffen:,الوصول:
Accessed: %s,Accédé : %s,Zugegriffen: %s,الوصول: %s
Actions,Actions,Aktionen,الإجراءات
Actions: Action files can be added to this folder and will appear in the menu.,Actions : des actions peuvent être ajoutées à ce dossier. Elles apparaîtront alors dans le menu.,Aktionen: Aktionsdateien können zu diesem Ordner hinzugefügt werden und erscheinen im Menü.,الإجراءات: يمكن إضافة ملفات الإجراءات إلى هذا المجلد وستظهر في القائمة.
Activate next tab,Active l'onglet suivant,Nächsten Reiter aktivieren,تنشيط علامة التبويب التالية
Activate previous tab,Active l'onglet précédent,Vorherigen Reiter aktivieren,تنشيط علامة التبويب السابقة
Add Desklets,Ajouter des desklets,Desklets hinzufügen,إضافة تطبيق مكتبي
Add a bookmark for the current location to this menu,Ajouter à ce menu un marque-page pour l’emplacement actuel,Ein Lesezeichen für den aktuellen Ort zu diesem Menü hinzufügen,إضافة إشارة مرجعية للموقع الحالي إلى هذه القائمة
Add connect to server mount,Ajouter la connexion au montage du serveur,Mit Server verbinden,إضافة الاتصال إلى تحميل الخادم
Add the selected file to your favorites,Ajouter le fichier sélectionné à vos favoris,Die ausgewählte Datei zu Ihren Favoriten hinzufügen,أضف الملفات المحددة إلى المفضّلة الخاصة بك
Add to favorites,Ajouter aux favoris,Zu Favoriten hinzufügen,أضف إلى المفضّلة
Add to list,Ajouter à la liste,Zur Liste hinzufügen,إضافة إلى القائمة
Adjust the desktop layout for this monitor,Ajuster l'agencement du bureau pour ce moniteur,Schreibtischanordnung für diesen Bildschirm anpassen,عدّل مخطط سطح المكتب لهذه الشاشة.
Adjust zoom level,Ajuster le niveau du zoom,Vergrößerungsstufe einstellen,ضبط مستوى التكبير
All file operations have been successfully completed,Toutes les opérations sur les fichiers ont été exécutées avec succès,Alle Dateivorgänge erfolgreich abgeschlossen,اكتملت جميع عمليات الملف بنجاح
All items in the Trash will be permanently deleted.,Tous les éléments de la corbeille seront définitivement supprimés.,Alle Objekte im Papierkorb werden dauerhaft gelöscht.,سيتم حذف جميع العناصر في سلة المهملات بشكل دائم.
Allow executing file as program,Autoriser l'exécution du fichier comme un programme,Der Datei erlauben sie als Programm auszuführen,السماح بتنفيذ الملف كبرنامج
Always,Toujours,immer,دائماً
Always start in dual-pane view,Toujours démarrer avec le panneau supplémentaire,Immer in Zweispaltenansicht starten,بدء العرض دائماً في الجزء المزدوج
An invalid drag type was used.,Un type de glisser non valide a été utilisé.,Es wurde eine ungültige Art des Ziehens verwendet.,تم استخدام نوع سحب غير صالح.
"An older file with the same name already exists in ""%s"".",Un fichier plus ancien portant le même nom existe déjà dans « %s ».,Eine ältere Datei mit dem selben Namen existiert bereits in »%s«.,"يوجد بالفعل ملف قديم يحمل نفس الاسم في ""%s""."
"An older folder with the same name already exists in ""%s"".",Un dossier plus ancien portant le même nom existe déjà dans « %s ».,Ein älterer Ordner gleichen Namens existiert bereits in »%s«.,"يوجد بالفعل مجلد قديم يحمل نفس الاسم في ""%s""."
"Another file with the same name already exists in ""%s"".",Un autre fichier portant le même nom existe déjà dans « %s ».,Eine weitere Datei mit dem gleichen Namen existiert bereits in »%s«.,"يوجد بالفعل ملف آخر يحمل نفس الاسم في ""%s""."
"Another folder with the same name already exists in ""%s"".",Un autre dossier portant le même nom existe déjà dans « %s ».,Ein Ordner gleichen Namens existiert bereits in »%s«.,"يوجد بالفعل مجلد آخر يحمل نفس الاسم في ""%s""."
Another link to %s,Un autre lien vers %s,Eine weitere Verknüpfung mit %s,رابط آخر إلى %s
Aperture Value,Ouverture,Blendenwert,قيمة الفتحة
Apply Permissions to Enclosed Files,Appliquer les permissions aux fichiers contenus dans le dossier,Zugriffsrechte auf enthaltene Dateien übertragen,تطبيق الأذونات على الملفات المغلقة
Apply this action to all files,Appliquer cette action pour tous les fichiers,Diese Aktion auf alle Dateien anwenden,تطبيق هذا الإجراء على جميع الملفات
Archive,Archive,Archiv,الأرشيف
"Are you sure you want to move ""%B"" to the trash?","Voulez-vous vraiment déplacer ""%B"" vers la corbeille ?",Möchten Sie %B« wirklich in den Papierkorb verschieben?,"هل أنت متأكد من أنك تريد نقل ""%B"" إلى المهملات؟"
Are you sure you want to open all files?,Souhaitez-vous vraiment ouvrir tous les fichiers ?,"Sind Sie sicher, dass Sie alle Dateien öffnen wollen?",هل تريد بالتأكيد فتح جميع الملفات؟
"Are you sure you want to permanently delete ""%B"" from the trash?",Êtes-vous sûr de vouloir supprimer définitivement « %B » de la corbeille ?,"Sind Sie sicher, dass Sie »%B« dauerhaft aus dem Papierkorb löschen möchten?","هل تريد بالتأكيد حذف ""%B"" من سلة المهملات بشكل دائم؟"
"Are you sure you want to permanently delete ""%B""?",Êtes-vous sûr de vouloir supprimer définitivement « %B » ?,"Sind Sie sicher, dass Sie »%B« unwiderruflich löschen wollen?","هل تريد بالتأكيد حذف ""%B"" بشكل دائم؟"
Arrange Items,Ranger les éléments,Objekte anordnen,محاذاة العناصر
Ask before emptying the Trash or deleting files,Demander avant de vider la corbeille ou de supprimer des fichiers,Vor dem Leeren des Papierkorbs oder dem Löschen von Dateien nachfragen,اسأل قبل إفراغ سلة المهملات أو حذف الملفات
Ask before moving files to the Trash,Demander avant de mettre les fichiers dans la corbeille,Vor dem Verschieben von Dateien in den Papierkorb nachfragen,إسأل قبل نقل الملفات إلى المهملات
Audio,Son,Ton,الصوت
Author,Auteur,Verfasser,المؤلف
Auto-arrange,Ajustement automatique,Automatisch anordnen,ترتيب-تلقائي
"Automatically close the device's tab, pane, or window when a device is unmounted or ejected","Fermer automatiquement l'onglet, le volet ou la fenêtre d'un périphérique lorsque celui-ci est démonté ou retiré","Automatisch den Reiter, die Leiste oder Fenster des Mediums schließen, wenn es ausgehängt oder ausgeworfen wurde",إغلاق علامة التبويب أو الجزء أو نافذة الجهاز تلقائيا عند إلغاء تحميل الجهاز أو إخراجه
Automatically open a folder for automounted media,Ouvrir un dossier pour les disques montés automatiquement,"Für automatisch eingehängte Geräte, automatisch einen neuen Ordner öffnen",الفتح التلقائي لمجلد الوسائط المحملة تلقائياً
Back history,Précédent dans l'historique,Im Verlauf zurück bewegen,التاريخ الخلفي
Background,Arrière-plan,Hintergrund,الخلفية
