100%,,,100%
125%,,,125%
150%,,,150%
175%,,,175%
200%,,,200%
300%,,,300%
400%,,,400%
50%,,,50%
75%,,,75%
Something went wrong while displaying this page.Please reload or visit a different page to continue.,,,حدث عُطل ما أثناء عرض هذه الصفحة.من فضلك أعِد تحميل الصفحة أو اذهب إلى صفحة أخرى لمواصلة تصفُّحِك.
The precise error was: %s,,,رسالة الخطأ كانت تحديدًا: %s
"The site at <strong>%s</strong> may have caused Web to close unexpectedly.If this happens again, please report the problem to the <strong>%s</strong>  developers.",,,كن يكون الموقع <strong>%s</strong> تسبب في إغلاق المتصفح فجأة.إذا تكرر هذا فأبلغ مطوري <strong>%s</strong> عن هذه المشكلة.
The site at <strong>%s</strong> seems to be unavailable.It may be temporarily inaccessible or moved to a new address. You may wish to verify that your internet connection is working correctly.,,,يبدو أنّ الموقع <strong>%s</strong> غير متاح. رسالة العطل تحديدا كانت:قد يكون الموقع أُغلق مؤقتًا أو انتقل إلى عنوان جديد. قد ترغب في التأكد من أنّ اتصال الإنترنت يعمل جيدا.
"This does not look like the real <strong>%s</strong>. Attackers might be trying to steal or alter information going to or from this site (for example, private messages, credit card information, or passwords).",,,لا يبدو أن هذا هو <strong>%s</strong> الحقيقي. قد يكون المخترقون يحاولون سرقة أو تغيير المعلومات التي تأتي من هذا الموقع أو تذهب إليه (مثلا، الرسائل الخاصة، أو معلومات بطاقة الائتمان، أو كلمات السر).
"For example, not from advertisers on these sites",,,مثلا، ليس من المعلنين على هذه المواقع
A file with this name already exists and you don't have permission to overwrite it.,,,هناك ملف موجود مسبقا بنفس الاسم، لا تملك التصاريح اللازمة للكتابة فوقه.
"A simple, clean, beautiful view of the web","Une vue simple, propre et belle du Web","Ein einfacher, klarer, wunderschöner Blick auf das Web",نظرة بسيطة ورائقة وجميلة على الوب
"A simple, clean, beautiful view of the web.
Powered by WebKit %d.%d.%d",,,"نظرة بسيطة ورائقة وجميلة على الوب.
مبني على WebKit %d.%d.%d"
A web application named '%s' already exists. Do you want to replace it?,,,يوجد بالفعل تطبيق بالاسم '%s'. أترغب في استبداله؟
Address:,,,العنوان:
Automatically open downloaded files,,,افتح الملفّات المنزّلة تلقائيا
About Web,À propos de Web,Info zu Web,عنْ
Accept Risk and Proceed,Accepter le risque et continuer,Risiko akzeptieren und fortfahren,اقبل المخاطرة و واصل
Add Bookmark…,Ajouter un signet…,Lesezeichen hinzufügen …,أضِف علامة…
Add Bookmark,,,أضِف علامة
Add Language,Ajouter une langue,Sprache hinzufügen,أضِف لغة
Add Bookmark,,,أضِف علامة
Add a bookmark,,,أضِف علامة موقع
Address,Adresse,Adresse,العنوان
All,,,الكل
All files,Tous les fichiers,Alle Dateien,كل الملفات
All supported types,Tous les types pris en charge,Alle unterstützten Typen,كل الأنواع المدعومة
Allow,Autoriser,Erlauben,اسمح
Allow advertisements,,,اسمح بالإعلانات
Allow popup windows,,,اسمح بالنوافذ المنبثقة
Allow popups,Autoriser les fenêtres surgissantes,Aufspringende Fenster erlauben,اسمح بالنوافذ المنبثقة
Allow sites to open new windows using JavaScript (if JavaScript is enabled).,Autoriser les sites à ouvrir des nouvelles fenêtres en utilisant le JavaScript (si le JavaScript est activé).,"Seiten erlauben, Fenster über JavaScript zu öffnen (soweit JavaScript aktiviert ist).",اسمح للمواقع بفتح نوافذ جديدة باستعمال جافاسكربت (اذا كان جافاسكربت مفعّلا).
An application with the same name already exists. Replacing it will overwrite it.,,,يوجد تطبيق بنفس الاسم. استبداله سيكتب فوقه.
Applications,,,التطبيقات
Arabic (ISO-8859-6),Arabe (ISO-8859-6),Arabisch (ISO-8859-6),عربي (ISO-8859-6)
Arabic (IBM-864),Arabe (IBM-864),Arabisch (IBM-864),عربي (IBM-864)
Arabic (MacArabic),Arabe (MacArabic),Arabisch (MacArabic),عربي (MacArabic)
Arabic (Windows-1256),Arabe (Windows-1256),Arabisch (Windows-1256),عربي (Windows-1256)
Automatic downloads,,,التنزيلات تلقائية
Automatically manage offline status with NetworkManager,,,أدر حالة عدم الاتصال آليا مع مدير الشبكة
Back,Précédent,Zurück,للخلف
Baltic (ISO-8859-4),Balte (ISO-8859-4),Baltisch (ISO-8859-4),بلطيقي (ISO-8859-4)
Baltic (ISO-8859-13),Balte (ISO-8859-13),Baltisch (ISO-8859-13),بلطيقي (ISO-8859-13)
Baltic (Windows-1257),Balte (Windows-1257),Baltisch (Windows-1257),بلطيقي (Windows-1257)
Bing,,,Bing
Blank page,Page vierge,Leere Seite,صفحة فارغة
Bookmark,Signet,Lesezeichen,علامة
Bookmarks,Signets,Lesezeichen,العلامات
Browse the web,Parcourir le Web,Im Internet surfen,تصفح الوِب
Browse with caret,Navigation au curseur,Im Internet mit Caret Browsing surfen,تصفح بالمؤشّر
Browsing history,,,تأريخ التصفح
Clear,,,امحُ
Clear All,Tout effacer,Alle leeren,امحُ الكل
Copy Username,Copier le nom d’utilisateur,Benutzername kopieren,انسخ اسم المستخدم
Create,,,أنشئ
Cache and temporary files,,,الملفات المؤقتة
Cancel,Annuler,Abbrechen,ألغِ
Cancelling…,Annulation…,Wird abgebrochen …,يلغي…
Cannot Overwrite File,,,لا يمكن الكتابة فوق الملف
Cannot overwrite existing file “%s”,,,لا يمكن الكتابة فوق الملف ”%s“ الموجود مسبقا
Central European (ISO-8859-2),Europe centrale (ISO-8859-2),Mitteleuropäisch (ISO-8859-2),وسط أوروبي (ISO-8859-2)
Central European (IBM-852),Europe centrale (IBM-852),Mitteleuropäisch (IBM-852),وسط أوروبي (IBM-852)
Central European (MacCE),Europe centrale (MacCE),Mitteleuropäisch (MacCE),وسط أوروبي (MacCE)
Central European (Windows-1250),Europe centrale (Windows-1250),Mitteleuropäisch (Windows-1250),وسط أوروبي (Windows-1250)
Chinese Simplified (GBK),Chinois simplifié (GBK),"Chinesisch, vereinfacht (GBK)",صيني مبسط (GBK)
Chinese Simplified (GB2312),Chinois simplifié (GB2312),"Chinesisch, vereinfacht (GB2312)",صيني مبسط (GB2312)
Chinese Simplified (GB18030),Chinois simplifié (GB18030),"Chinesisch, vereinfacht (GB18030)",صيني مبسط (GB18030)
Chinese Simplified (HZ),Chinois simplifié (HZ),"Chinesisch, vereinfacht (HZ)",صيني مبسط (HZ)
