
"""Fix seed"" button is an alias of me.
The same seed produces the same image, if (1) the widths of images are same (this is the reason why image on drawable is different from preview), and (2) all mutation rates equal to zero.","Le bouton « Définir le germe » fait la même chose.
Un même germe produit une même image si (1) les largeurs des images sont les mêmes (c’est pourquoi l’image finale est différente de l’aperçu) et (2) tous les taux de mutation sont nuls.","»Feste Anfangszahl« ist ein anderer Name.
Die gleiche Anfangszahl erzeugt das gleiche Bild, wenn einerseits die Breiten der Bilder gleich sind (deswegen ist das endgültige Bild anders als die Vorschau) und andererseits alle Mutationsraten gleich Null sind.","زر ""تثبيت البذرة"" هو اسم مستعار لي.
البذرة نفسها تنتج الصورة نفسها، إذا (1) كان عرض الصورتين متماثلًا (هذا هو سبب اختلاف معاينة الصورة عن الصورة المرسومة)، و (2) كانت كل معدلات التحول تساوي صفرًا."
#,n°,Nr.,#
# of Spikes:,Nb de pointes :,Strahlenanzahl:,# المسامير:
# of subranges:,Nb de sous-intervalles :,Anzahl der Unterbereiche:,# من المجالات الفرعية:
%d fps,,%d Bilder/s,%d إطار\ث
%d × %d,%d x %d,,%d × %d
%s-%d-of-%d-pages,%s-page-%d-sur-%d,,صفحات %s-%d-من-%d
%s-%s,%s-%s,,%s-%s
%s-pages,%s-pages,%s-Seiten,%s-صفحات
'%s' is corrupt. Line %d Option section incorrect,« %s » est endommagé. Ligne %d : section d’option incorrecte,Die Datei »%s« ist beschädigt. Die Option in Zeile %d ist nicht gültig,'%s' فاسد. السطر %d قسم الخيار غير صحيح
'%s' is not a DICOM file.,« %s » n’est pas un fichier DICOM.,»%s« ist keine DICOM-Datei.,'%s' ليس ملف DICOM.
'%s' is not a FractalExplorer file,« %s » n’est pas un fichier FractalExplorer,»%s« ist keine Fraktal-Explorer-Datei,'%s' ليس ملفًا لمستكشف الجزيئيات
'%s' is not a PCX file,« %s » n’est pas un fichier PCX,»%s« ist keine PCX-Datei,'%s' ليس ملف PCX
'%s' is not a regular file,« %s » n’est pas un fichier correct,»%s« ist keine gültige Datei,'%s' ليس ملفًا عاديًا
'%s' is not a valid BMP file,« %s » n’est pas un fichier BMP valide,»%s« ist keine gültige BMP-Datei,%s ليس ملف BMP صالحًا
'%s' is not a valid GFlare file.,« %s » n’est pas un fichier valide.,»%s« ist keine gültige GFlare-Datei.,'%s' ليس ملف GFlare صالح.
'%s' is not a valid X cursor.,« %s » n’est pas un curseur X valide.,»%s« ist kein gültiger X-Mauszeiger.,%s ليس ملف BMP صالحًا
'%s' is too high for an X cursor.,« %s » est trop haut pour un curseur X.,»%s« ist zu hoch für einen X-Mauszeiger.,%s ليس ملف BMP صالحًا
'%s' is too wide for an X cursor.,« %s » est trop large pour un curseur X.,»%s« ist zu breit für einen X-Mauszeiger.,%s ليس ملف BMP صالحًا
"'%s':
Could not read header (ftell == %ld)","« %s » :
Impossible de lire l’en-tête (ftell == %ld)","»%s«:
Dateikopf konnte nicht gelesen werden (ftell == %ld)","'%s':
لم يمكن قراءة الترويسة (ftell == %ld)"
"'%s':
Image height is larger than GIMP can handle","« %s » :
La hauteur de l’image est supérieure à celle prise en charge par GIMP","»%s«:
Das Bild ist zu hoch, um mit GIMP bearbeitet zu werden","'%s':
ارتفاع الصورة أكبر مما يستطيع جمب معالجته."
"'%s':
Image width is larger than GIMP can handle","« %s » :
La largeur de l’image est supérieure à celle prise en charge par GIMP","»%s«:
Das Bild ist zu breit, um mit GIMP bearbeitet zu werden","'%s':
عرض الصورة أكبر مما يستطيع جمب معالجته."
"'%s':
No image data type specified","« %s » :
Type d’image non indiqué","»%s«:
Es ist kein Bild-Datentyp angegeben","'%s':
نوع بيانات الصورة غير محدد"
"'%s':
No image height specified","« %s » :
Hauteur d’image non indiquée","»%s«:
Keine Bildhöhe angegeben","'%s':
ارتفاع الصورة لم يُحدد"
"'%s':
No image width specified","« %s » :
Largeur d’image non indiquée","»%s«:
Keine Bildbreite angegeben","'%s':
عرض الصورة لم يُحدد"
'%s': illegal number of colors: %u,« %s » : nombre de couleurs non autorisé : %u,'%s': ungültige Anzahl an Farben: %u,عدد الألوان:
'%s': is not a KCF palette file,« %s » : ce n’est pas un fichier de palette KCF,»%s« ist keine KCF-Palettendatei,'%s' ليس ملف PCX
'Default' is created.,« Défaut » est créé.,»Standard« wurde erstellt.,تم إنشاء الافتراضي.
(Height Mismatch!),(hauteurs incohérentes !),,(تطابق خاطئ في الارتفاع!)
(None),(aucun),(Kein),(لا شيء)
(Width Mismatch!),(largeurs incohérentes !),,(تطابق خاطئ في العرض!)
"1 bpp, 1-bit alpha, 2-slot palette","1 bpp, 1-bit alpha, 2-slot palette","1 bpp, 1-Bit Alpha, 2-Slot Palette",1 بي/بكسل، 1-بت ألفا، لونان في اللوحة
16 bits,,,16 بت
24 bits,,,24 بت
"24 bpp, 1-bit alpha, no palette","24 bpp, 1-bit alpha, no palette","24 bpp, 1-Bit Alpha, keine Palette",24 بت/بكسل، 1-بت ألفا، بدون لوحة ألوان
32 bits,,,32 بت
"32 bpp, 8-bit alpha, no palette","32 bpp, 8-bit alpha, no palette","32 bpp, 8-Bit Alpha, keine Palette",32 بت/بكسل، 8-بت ألفا، بدون لوحة ألوان
"4 bpp, 1-bit alpha, 16-slot palette","4 bpp, 1-bit alpha, 16-slot palette","4 bpp, 1-Bit Alpha, 16-Slot Palette",4 بت/بكسل، 1-بت ألفا، 16 لون في اللوحة
4:4:4 (best quality),4 :4 :4 (meilleure qualité),4:4:4 (höchste Qualität),4:4:4 (أفضل جودة)
"8 bpp, 1-bit alpha, 256-slot palette","8 bpp, 1-bit alpha, 256-slot palette","8 bpp, 1-Bit Alpha, 256-Slot Palette",8 بت/بكسل، 1-بت ألفا، 256 لون في اللوحة
<Untitled>,<Sans titre>,<Unbenannt>,<بدون عنوان>
Comment,,,تعليق
A bailout-value for adaptive selections,Une valeur de secours pour les sélections adaptatives,Der Ausstiegswert für die anpassende Auswahl,قيمة لا ينبغي تجاوزها للتحديدات التكييفية
A read error occurred.,Une erreur de lecture est survenue.,Ein Lesefehler ist aufgetreten.,حصل خطأ في القراءة
A unit definition will only be saved before GIMP exits if this column is checked.,Une définition d’unité sera enregistrée uniquement lorsque GIMP quittera si la colonne est cochée.,"Eine Einheit wird beim Beenden von GIMP nur gespeichert, wenn diese Spalte ausgewählt ist.",تعريف الوحدات سيُحفظ قبل الخروج من جمب فقط إن كان هذا العمود مؤشرًا عليه.
ALT Text,Texte ALT,ALT-Text,نص ALT
ALT text: (optional),Texte alternatif : (optionnel),ALT-Text: (optional),ALT نص: (اختياري)
ASCII,,ASCII,ASCII
ASCII art,Art ASCII,ASCII-Kunst,فن ASCII
Adaptive supersampling,Sur-échantillonnage adaptatif,,نمذجة سوبر تكيفية
Add,Ajouter,Hinzufügen,إضافة
Add border,Ajouter une bordure,,إضافة حدود
Advanced,,,متقدم
All,Tout,Alle,الكل
All tiles,Tous les carreaux,Alle Kacheln,كل البلاطات
Alpha:,Alpha :,,ألفا:
Amplitude:,,,الارتفاع:
Angle:,Angle :,Winkel:,الزاوية:
Append,Ajouter,Anfügen,إلحاق
Auto update preview,Aperçu en temps réel,Automatische Vorschau,معاينة آلية التحديث
Average under brush,Moyenne sous la brosse,Mittelwert unter dem Pinsel,المتوسط تحت الفرشاة
Abbreviation,Abréviation,Abkürzung,الاختصار
Action,Action,Aktion,إجراء
Advanced,Avancé,Erweitert,متقدم
Adaptive,Adaptatif,Anpassend,تكيفي
Add Additional Guides,Ajouter des guides supplémentaires,Zusätzliche Hilfslinien hinzufügen,إضافة أدلة إضافية
Add FractalExplorer Path,Ajouter un chemin FractalExplorer,Fraktal-Explorer-Pfad hinzufügen,إضافة مسار مستكشف الجزيئيات
Add a New Unit,Ajouter une nouvelle unité,Neue Einheit hinzufügen,إضافة وحدة جديدة
Add a jigsaw-puzzle pattern to the image,Ajoute une trame de puzzle à l’image,Ein Puzzle-Muster zum Bild hinzufügen,إضافة نموذج قطع لغز إلى الصورة
