%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
'%s:' is not a valid URI scheme,« %s » n’est pas un schéma URI valide,»%s« ist kein gültiges Adressschema,'%s:' ليس مسارا صحيحا
(H),(H),(H),(أ)
(H+V),(H+V),(H+V),(أ+ر)
(None),(Aucun),(Keine),(لا شيء)
(Preview may be out of date),(l’aperçu est peut être périmé),(Vorschau könnte veraltet sein),(المعاينة قد تكون غير محدثة)
(Type any character to close this window),(saisissez n’importe quel caractère pour fermer cette fenêtre),"(Drücken Sie eine beliebige Taste, um dieses Fenster zu schließen)",(اكتب أي حرف لإغلاق هذه النافذة)
(Unnamed Buffer),(Presse-papiers sans nom),(Unbenannte Ablage),(براح غير مسمى)
(Unnamed Template),(modèle sans nom),(Unbenannte Vorlage),(قالب غير مسمى)
(V),(V),(V),(ر)
(Varies),(divers),(Variiert),(متغير)
(clean),(correct),(bereinigt),(نظيف)
(exported),(exportée),(exportiert),(صُدّرت)
(imported),(importée),(importiert),(استوردت)
(modified),(modifié),(verändert),(معدل)
(none),(aucune),(kein),(بدون)
(overwritten),(écrasée),(überschrieben),(طُمست)
-Click on thumbnail in Layers dockable,-Cliquer sur la vignette dans le groupe de calques,- Klicken Sie auf ein Vorschaubild der Ebenen-Andockbar,-نقر على المصغرة في رصيف الطبقات
0.25 Seconds,"0,25 seconde","0,25 Sekunden",٠٫٢٥ ثانية
0.5 Seconds,"0,5 seconde","0,5 Sekunden",٠٫٥ ثانية
1 Second,1 seconde,1 Sekunde,ثانية واحدة
120 Seconds,120 secondes,120 Sekunden,١٢٠ ثانية
15 Seconds,15 secondes,15 Sekunden,١٥ ثانية
15 degrees (%s),15 degrés (%s),15 Grad (%s),15 درجة  (%s)
16 bit floating point,Virgule flottante 16 bits,,عدد عشري من 16 بتة
16 bit integer,Entier 16 bits,,عدد صحيح من 16 بتة
1:16  (6.25%),"1:16 (6,25 %)",1:16 (6.25%),1:16  (6.25%)
1:2  (50%),1:2 (50 %),1:2 (50%),1:2  (50%)
1:4  (25%),1:4 (25 %),1:4 (25%),1:4  (25%)
1:8  (12.5%),"1:8 (12,5 %)",1:8 (12.5%),1:8  (12.5%)
16:1  (1600%),16:1 (1600 %),16:1 (1600%),16:1  (1600%)
2 Seconds,2 secondes,2 Sekunden,ثانيتين
240 Seconds,240 secondes,240 Sekunden,٢٤٠ ثانية
2D Transform,Transformation 2D,2D Transformation,تحويل ثنائي الأبعاد
2D Transforming,Transformation 2D en cours,2D Transformation,تحويل ثنائي الأبعاد
30 Seconds,30 secondes,30 Sekunden,٣٠ ثانية
32 bit floating point,Virgule flottante 32 bits,,عدد عشري من 32 بتة
32 bit integer,Entier 32 bits,,عدد صحيح من 32 بتة
4 Seconds,4 secondes,4 Sekunden,٤ ثوان
60 Seconds,60 secondes,60 Sekunden,٦٠ ثانية
64 bit floating point,Virgule flottante 64 bits,,عدد عشري من 64 بتة
8 bit integer,Entier 8 bits,,عدد صحيح من 8 بتات
<<invalid>>,<<non valide>>,<<ungültig>>,<<غير صحيح>>
