%s %s will be installed after restart. Upgrade installation can take a long time: ensure that you have backed up and that the computer is plugged in.,%s %s sera installé après le redémarrage. L’installation d’une mise à niveau peut prendre beaucoup de temps : vérifiez que vous disposez de sauvegardes et que l’ordinateur est branché sur le secteur.,"%s %s wird nach dem Neustart installiert, was möglicherweise viel Zeit beanspruchen kann. Vergewissern Sie sich, zuvor eine Sicherungskopie des Systems erstellt zu haben und dass eine zuverlässige Stromzufuhr besteht.",ستُثبّت %s %s بعد إعادة التشغيل. قد يستغرق تثبيت الترقية بعض الوقت: تأكد من الحفظ الاحتياطي، و توصيل الحاسوب بمقبس الطاقة.
%s (console),%s (console),%s (Konsole),%s (طرفية)
%s (remote),%s (distant),%s (Entfernt),%s (عن بعد)
%s Connected,,,‏%s مُتصل
%s Connecting,,,‏%s يتّصل
%s Connection Failed,,,فشل اتصال %s
%s Disabled,,,‏%s معطّل
%s Disconnecting,,,‏%s يقطع الاتّصال
%s Hardware Disabled,,,عتاد %s مُعَطَّل
%s Hotspot Active,,,نقطة اتصال %s نشطة
%s Not Connected,,,‏%s غير متّصل
%s Off,,,‏%s مغلق
%s Requires Authentication,,,يتطلب %s استيثاق
%s Unavailable,,,‏%s غير متاح
%s Unmanaged,,,‏%s غير مُدار
%s has been added to your favorites.,,,أُضيف %s إلى مفضلتك.
%s has been removed from your favorites.,,,أُزيل %s من مفضّلتك.
%s has not emitted any errors.,,,لم يصدر %s أي خطأ.
%s is now known as %s,,,غيّر %s اسمه إلى %s
%s wants to inhibit shortcuts,,,يريد %s تعطيل الاختصارات
"(e.g., user or %s)",(par ex. utilisateur ou %s),(z.B. Benutzer oder %s),(مثلا مستخدم أو %s)
(or swipe finger),,,(أو مرر إصبع)
<unknown>,<inconnu>,<Unbekannt>,<غير معروفة>
A password is required to connect to “%s”.,,,كلمة السرّ مطلوبة للاتصال ب‍ ”%s“.
Accessibility,Accessibilité,Barrierefreiheit,الإتاحة
Account Settings,,,إعدادات الحساب
Activation of network connection failed,L’activation de la connexion réseau a échoué,Aktivierung der Netzwerkverbindung ist gescheitert,فشل تفعيل اتصال الشبكة
Activities,Activités,Aktivitäten,الأنشطة
Add to Favorites,,,أضِف إلى المفضّلة
Add world clocks…,,,أضف ساعات عالمية…
Administrator,Administrateur,Systemverwalter,المدير
Airplane Mode On,,,وضع الطائرة مُفعّل
Airplane Mode is On,,,وضع الطائرة مُفعّل
All,,,الكل
All Day,Journée,Ganztägig,طوال اليوم
Allow,Autoriser,Zulassen,اسمح
Allows access to internal debugging and monitoring tools using the Alt-F2 dialog.,Autoriser l’accès aux outils internes de débogage et de surveillance grâce à la boîte de dialogue de lancement d’applications (Alt-F2).,Erlaubt Zugriff auf interne Fehlerdiagnose- und Überwachungswerkzeuge.,السماح بالوصول إلى التنقيح الداخلي ومراقبة الأدوات باستخدام نافذة حوار Alt-F2.
Always on Top,Toujours au premier plan,Immer im Vordergrund,دائما في القمّة
Always on Visible Workspace,Toujours sur l’espace de travail visible,Immer auf der sichtbaren Arbeitsfläche,دائما على مساحة العمل المرئية
App Picker View,,,منظور منتقي التطبيقات
Application defined,,,التطبيقات معرّفة
Application wants to inhibit shortcuts,,,يريد التطبيق تعطيل الاختصارات
Applications,,,التطبيقات
Assign keystroke,Associer une touche,Tastenkombination zuweisen,أسند ضغطة مفتاح
Authenticate,S’authentifier,Anmelden,استوثق
Authentication Required,Authentification nécessaire,Anmeldung erforderlich,الاستيثاق مطلوب
Authentication dialog was dismissed by the user,La fenêtre d’authentification a été écartée par l’utilisateur,Der Dialog zur Anmeldung wurde vom Benutzer geschlossen,أغلق المستخدم مربع الاستيثاق الحِواري
Authentication error,Erreur d’authentification,Anmeldung fehlgeschlagen,خطأ في الاستيثاق
Authentication required by wireless network,,,تتطلب الشبكة اللاسلكية الاستيثاق
Bluetooth,Bluetooth,Bluetooth,بلوتوث
Bluetooth Settings,Paramètres Bluetooth,Bluetooth-Einstellungen,إعدادات بلوتوث
Bounce Keys,Touches rebond,Tastenanschlagfunktion,مفاتيح لها صوت
Brightness,Luminosité,Helligkeit,السطوع
Browse in Software,,,تصفح في «البرمجيات»
Built-in Only,Intégré seulement,Nur eingebaut,المدمجة فقط
Cancel,Annuler,Abbrechen,ألغِ
