
Envelope,Enveloppe,Umschlag,مظروف
%s already exists in the bookmarks list,%s existe déjà dans la liste des signets,»%s« existiert bereits in der Lesezeichenliste,العلامة %s موجودة في قائمة العلامات
%s does not exist in the bookmarks list,%s n’existe pas dans la liste des signets,»%s« existiert nicht in der Lesezeichenliste,العلامة %s ليست في قائمة العلامات
%s job #%d,"%s, tâche n°%d",%s-Auftrag #%d,%s مهمّة #%Id
(None),(Aucun),(keine),(لا شيء)
10×11,10×11,10×11,10×11
10×13,10×13,10×13,10×13
10×14,10×14,10×14,10×14
10×15,10×15,10×15,10×15
11×12,11×12,11×12,11×12
11×15,11×15,11×15,11×15
12×19,12×19,12×19,12×19
2000,,,2000
5×7,5×7,5×7,5×7
6×9 Envelope,Enveloppe 6×9,6x9-Umschlag,مظروف 6×9
7×9 Envelope,Enveloppe 7×9,7x9-Umschlag,مظروف 7×9
8×10 Envelope,Enveloppe 8×10,8x10-Umschlag,مظروف 8×10
9×11 Envelope,Enveloppe 9×11,9x11-Umschlag,مظروف 9×11
9×12 Envelope,Enveloppe 9×12,9x12-Umschlag,مظروف 9×12
A file cannot be called “..”,Un fichier ne peut pas s’appeler « .. »,Eine Datei darf nicht »..« genannt werden,لا يُسمح بأن يكون اسم الملف ”..“
A file cannot be called “.”,Un fichier ne peut pas s’appeler « . »,Eine Datei darf nicht ».« genannt werden,لا يُسمح بأن يكون اسم الملف ”.“
A file named “%s” already exists.  Do you want to replace it?,Un fichier nommé « %s » existe déjà. Voulez-vous le remplacer ?,Eine Datei namens »%s« existiert bereits. Möchten Sie diese ersetzen?,هناك ملف باسم ”%s“ موجود حاليا. أتريد استبداله؟
A file with that name already exists,Un fichier avec ce nom existe déjà,Eine Datei gleichen Namens ist bereits vorhanden,يوجد بالفعل ملف بهذا الاسم
A folder cannot be called “..”,Un dossier ne peut pas s’appeler « .. »,Ein Ordner darf nicht »..« benannt werden,لا يُسمح بأن يكون اسم المجلد ”..“
A folder cannot be called “.”,Un dossier ne peut pas s’appeler « . »,Ein Ordner darf nicht ».« benannt werden,لا يُسمح بأن يكون اسم المجلد ”.“
A folder with that name already exists,Un dossier avec ce nom existe déjà,Ein Ordner gleichen Namens ist bereits vorhanden,يوجد بالفعل مجلد بهذا الاسم
A0,A0,A0,A0
A0×2,A0×2,A0×2,A0×2
A0×3,A0×3,A0×3,A0×3
A1,A1,A1,A1
