
.desktop,,,.desktop
.ini,,,.ini
ASP,,,ASP
ASP Object,,,كائن ASP
Ada,,,أدا
Added line,,,السطر المضاف
Anchor,,,مرساة
Arbitrary base number,,,عدد اعتباطي للقاعدة
Assertion,,,توكيد
Assignment Left Hand Side,,,الجانب الأيسر من الإسناد
Assignment Operator,,,عملية تعيين
Assignment Right Hand Side,,,الجانب الأيمن من الإسناد
Atom,,,ذرة
Attribute Definition,,,تعريف الصفة
Attribute Name,,,اسم الصفة
Attribute Value,,,قيمة الصفة
Attribute name,,,اسم الصفة
Attribute value,,,قيمة الصفة
Auto Indentation,,,تجويف النص للملإ آليا
Autoconf Macro,,,ماكرو Autoconf
BOZ Literal,,,رمز حرفي
Background,,,الخلفية
Background color,,,لون الخلفية
Background set,,,الخلفية معينة
Base-N Integer,,,قاعدة - ج عدد صحيح
Base-N number,,,عدد قاعدته N
Binary number,,,عدد ثنائي
Block Elements,,,عصر وِحدة
Blue based color scheme,Jeu de couleurs basé sur le bleu,Auf blau basierendes Farbschema,مخطط أزرق
Body Font Name,,,اسم خطّ المتن
Bold,,,سميك
Bold set,,,سميك معين
Boo,,,بو
Boolean,,,منطقي
Boolean Value,,,قيمة منطقية
Boolean value,,,قيمة منطقية
Built-in identifier,,,مُثبت الهوية مُضمن
Builtin,,,مُضمَّن
Builtin Command,,,أمر مُضمَّن
Builtin Constant,,,ثابت مُضمَّن
Builtin Function,,,دالة مُضمَّنة
Builtin Object,,,عنصر مُضمَّن
Builtin Variable,,,متغير مُضمَّن
Builtin-function keyword,,,كلمة مفتاح لدالة مُضّمنة
Bullet,,,نقطة
C,,,سي
C#,,,سي#
C++,,,سي++
C/C++/ObjC Header,,,ترويسة C/C++/ObjC
CDATA delimiter,,,فاصلة التسجيلات
CMake,,,CMake
CSS,,,صفحات الطرز المتراصة
Can redo,,,يمكنه الإعادة
Can undo,,,يمكنه التراجع
"Cannot create a regex for all the transitions, the syntax highlighting process will be slower than usual.
The error was: %s","Impossible de créer une expression régulière pour toutes les transitions, la coloration syntaxique sera plus lente que normal.
L’erreur est : %s","Regulärer Ausdruck konnte nicht für alle Umwandlungen erstellt werden. Syntax-Hervorhebung wird langsamer als gewohnt sein.
Der Fehler war: %s","لا يمكن انشاء عبارة منتظمة من أجل كل الحالات الانتقالية، سيكون ابراز الصياغة أبطأ من المعتاد.
الخطأ هو: %s"
Category,,,فئة
ChangeLog,,,سجب التغييرات
Changed line,,,السطر المغير
Character,,,محرف
Classic,Classique,Klassisch,تقليدي
Classic color scheme,Jeu de couleurs classique,Klassisches Farbschema,مخطط ألوان تقليدي
Cobalt,Cobalt,Kobalt,كوبالت
Code Block,,,لبنة كود
Color,,,لون
Color scheme used in the Kate text editor,Jeu de couleurs utilisé dans l’éditeur de texte Kate,Das im Kate-Texteditor verwendete Farbschema,تنسيق الألوان المستعمل في محرر النصوص Kate
