
%(uri)s link to %(file)s,lien %(uri)s vers %(file)s,%(uri)s Link auf %(file)s,%s وصلة لـ %s
%.2f kilobytes,%.2f kilooctets,%.2f Kilobytes,%.2f كيلوبايت
%.2f megabytes,%.2f mégaoctets,%.2f Megabytes,%.2f ميغابايت
%s default voice,voix par défaut %s,%s Standardstimme,%s صوت افتراضي
%s link,lien %s,%s Link,%s وصلة
%s panel,,,%s لوحة
%s screen,,,%s شاشة
(double click),,,(نقر مزدوج)
(triple click),,,(نقر ثلاثي)
0 items,0 élément,0 Objekte,0 عناصر
1. Desktop,,,1. حاسوب مكتبي
2. Laptop,,,2. حاسوب محمول
???,???,???,؟؟؟
A ACUTE,,,A حاد
A CIRCUMFLEX,,,A علامة
A E,,,A E
A GRAVE,,,A شديد
A RING,,,A دائرة
A TILDE,,,A تلدة
A UMLAUT,,,A نقطتين
A channel only if its window is active,Un canal uniquement si sa fenêtre est active,"Einen Kanal nur, wenn dessen Fenster aktiv ist",قناة فقط إن كانت نافذتها نشطة
Accessibility support for GNOME has just been enabled.,,,تم تفعيل الوصولية لجنوم
Actual String,Chaîne réelle,Aktuelle Zeichenkette,النص الحالي
Add bookmark.,,,اضِف علامة موقع.
Adjust selected attributes,,,"صفف الخصائص
المختارة"
Advance live region politeness setting.,,,إعدادات تهذيب متقدمة للمنطقة الحية.
All,Tous,Alle,الكل
All channels,Tous les canaux,Alle Kanäle,كل القنوات
All channels when any %s window is active,Tous les canaux quand n’importe quelle fenêtre %s est active,"Alle Kanäle, wenn ein beliebiges %s-Fenster aktiv ist",كل القنوات عندما تكون اي نافذة بدجن نشطة
All live regions set to off,Toutes les zones dynamiques sont définies à « désactivé »,Alle dynamischen Bereiche ausgeschaltet,كل المناطق الحية موقفة
Alt,Alt,Alt,AltR
AltL,,,AltL
AltR,AltD,AltR,AltR
Announce cell header,Annoncer les en-têtes de cellule,Zellenüberschrift vorlesen,اعلن عنوان الخلية
Announce when your buddies are typing,Indique si vos contacts saisissent un message,"Ankündigen, wenn unsere Kontakte etwas eingeben",أعلن عندما يكتب أصدقائك
Application,Application,Anwendung,تطبيق
Arabic Grade 1,Arabe degré 1,Arabisch Grad 1,العربية الدرجة 1
Attachment,,,مُرفق
Attribute Name,Nom d’attribut,Attributname,اسم الصنف
Automatically start speaking a page when it is first loaded,Démarrer automatiquement la lecture d’une page dès qu’elle est chargée pour la première fois,Vorlesen der Seite automatisch beim ersten Laden starten,انطق بالصفحة آليا عند تحميلها أولا
Available fields,,,المجالات المتوفرة
Beginning of row.,Début de la ligne.,Zeilenanfang.,بداية الصف.
Belgium Dutch Grade 1,Néerlandais belge degré 1,Belgien-Niederländisch Grad 1,الألمانية البلجيكية الدرجة 1
Bookmark where am I with respect to current position.,,,علامة الموقع بالنسبة للموقع الحالي.
Bottom,Bas,Unterste,الأسفل
Bottom Right,,,أدنى اليمين
Bottom of column.,Bas de la colonne.,Unterer Rand der Spalte.,أسفل العمود.
Braille,Braille,Braille,براي
Braille Bindings,Raccourcis Braille,Braille-Belegung,ارتباطات برايل
Braille Indicator,Indicateur de braille,Braille-Indikator,مبيّن برايل
Brief,Court,Kurz,ملخّص
Bypass mode enabled.,,,وضع التجاوز مفعل.
C CEDILLA,,,C سيدلا
Current location,Emplacement actuel,Aktuelle Position,الموقع الحالي
Canada French Grade 1,Français canadien degré 1,Kanada-Französisch Grad 1,الفرنسية الكندية الدرجة 1
Canada French Grade 2,Français canadien degré 2,Kanada-Französisch Grad 2,الفرنسية الكندية باختصارات
CapsLock,Verr. maj.,Feststelltaste,تغيير الزر
Causes the current combo box to be expanded.,,,تؤدي إلى فتح صندوق الإختيار الحالي.
Cell %s,Cellule %s,Zelle %s,الخلية %s
Change to:,,,تغيير إلى:
Check Spelling,,,تثبت من تهجيئ الكلمات
Clears the dynamic column headers.,,,يمسح رؤوس الاعمدة المتغيرة.
Clears the dynamic row headers,,,يمسح رؤوس الصفوف المتغيرة.
Close,,,أغلق
Completed spell checking,,,إكمال التهجئة
Context is %s,Le contexte est %s,Kontext ist %s,السياق هو %s
Contraction Table:,Tableau d’abréviation :,Kurzschrifttabelle:,جدول التقليص:
Control,Contrôle,Strg,زر كنترول اليميني
Could not find current location.,Impossible de trouver l’emplacement actuel.,Aktuelle Position konnte nicht gefunden werden.,الموقع الحالي
Ctrl,Ctrl,Strg,Ctrl
Cursor Position,Position du curseur,Cursorposition,موقع المؤشّر
Cursor Routing,Routage du curseur,Cursor-Routing,موقع المؤشّر
Cut Line,Couper ligne,Text kopieren,خط
Cycles the debug level at run time.,,,يدير مستوى التنقيح عند التشغيل.
Cycles to the next capitalization style.,,,يدور لوضع التكبير التالي.
Cycles to the next key echo level.,,,يدور لوضع التكبير التالي.
Cycles to the next speaking of punctuation level.,,,يدور لوضع التكبير التالي.
Czech Grade 1,Tchèque degré 1,Tschechisch Grad 1,تشيكي بدون اختصارات
Decreases the speech pitch.,,,يخفض قوة الحديث.
Decreases the speech rate.,,,يخفض تردد الحديث.
Default,Par défaut,Vorgabe,إفتراضي
Default Synthesizer,Synthétiseur par défaut,Standardsynthesizer,نظام النطق الإفتراضي
Default button is %s,Le bouton par défaut est %s,Standardknopf ist %s,الزر الإفتراضي هو %s
Desk,,,مكتب
Directories button,,,زر الدلائل
Disable end of line symbol,Désactiver le symbole fin de ligne,Zeilenende-Symbol nicht anzeigen,عطل رمز نهاية السطر
Disabled,Désactivée,Deaktiviert,أيحرر
Display Settings,Paramètres d’affichage,Anzeigeeinstellungen,عرض خيارات أخرى
Display more options,,,عرض خيارات أخرى
Displays the application preferences configuration dialog.,,,يظهر حوار إعدادات التطبيق.
Displays the preferences configuration dialog.,,,يظهر حوار الإعدادات.
Do not announce when your buddies are typing.,Ne pas annoncer lorsque les contacts saisissent un message.,"Nicht ankündigen, wenn unsere Kontakte etwas eingeben.",لا تعلن عندما يكتب أصدقائك.
Do not provide chat room specific message histories.,Ne pas donner les historiques de messages par salon de discussion.,Chatraum-bezogene Nachrichtenverläufe nicht bereitstellen.,لا توفر تاريخ غرفة المحادثة لرسائل مخصصة.
Do not speak chat room name.,Ne pas lire le nom du salon de discussion.,Chatraum-Namen nicht vorlesen.,لا تتكلم باسم غرفة المحادثة.
Dot 7,Point 7,Punkt 7,النقطة 7
Dot 8,Point 8,Punkt 8,النقطة 8
Dots 7 and 8,Points 7 et 8,Punkte 7 und 8,النقطة 7 و 8
Dynamic column header cleared.,En-tête dynamique de colonne effacé.,Zugewiesene Spaltenüberschrift gelöscht.,تم مسح ترويسة عمود الجدول الديناميكية.
Dynamic column header set for row %d,En-tête dynamique de colonne défini pour la ligne %d,Zeile %d für Spaltenüberschriften festgelegt,رأس العمود المتغير وضع للصف %d
Dynamic row header cleared.,En-tête dynamique de ligne effacé.,Zugewiesene Spaltenüberschrift gelöscht.,تم مسح ترويسة صف الجدول الديناميكية.
Dynamic row header set for column %s,En-tête dynamique de ligne défini pour la colonne %s,Spalte %s für Zeilenüberschrift festgelegt,تم تحديد ترويسة الصف للعمود %s
E ACUTE,,,E حاد
E CIRCUMFLEX,,,E علامة
E GRAVE,,,E شديد
E UMLAUT,,,E نقطتين
ETH,,,اث
Enable Braille Monitor?  Enter y or n:,,,تفعيل ملاحظ البرايل؟ ادخل y أو n:
Enable Braille monitor,,,تفعيل مراقب بريل
Enable Braille support,Activer la prise en charge du braille,Braille-Unterstützung aktivieren,تفعيل دعم بريل
Enable Braille?  Enter y or n:,,,تفعيل البرايل؟ ادخل y أو n:
Enable alphanumeric and punctuation keys,,,تفعيل مفاتيح الأرقام و الحروف وعلامات التنقيط
Enable function keys,Activer les touches de fonction,Funktionstasten aktivieren,تفعيل مفاتيح الوضائف
Enable key echo,Activer l’écho des touches,Tastaturecho aktivieren,تفعيل صدى المفاتيح
Enable modifier keys,Activer les touches de modification,Modustasten aktivieren,تفعيل المفاتيح المغيّرة
Enable navigation keys,Activer les touches de navigation,Navigationstasten aktivieren,تفعيل مفاتيح التصفح
Enable action keys,Activer les touches d’action,Aktionstasten aktivieren,تفعيل المفاتيح السريعة
Enable action keys?  Enter y or n:,,,تفعيل مفاتيح النشاط؟ ادخل y أو n:
Enable alphanumeric and punctuation keys?  Enter y or n:,,,تفعيل مفاتيح الحروف، الأرقام و التنقيط؟ ادخل y أو n:
Enable echo by sentence,Activer l’écho par phrase,Satzweises Echo aktivieren,تفعيل الصدى بالجملة
Enable echo by word,Activer l’écho par mot,Wortweises Echo aktivieren,تفعيل الصدى بالكلمة
Enable echo by character,Activer l’écho par caractère,Zeichenweises Echo aktivieren,تفعيل الصدى بالكلمة
Enable echo by word?  Enter y or n:,,,تفعيل صدى المفاتيح بالكلمة؟ ادخل y أو n:
Enable function keys?  Enter y or n:,,,تفعيل المفاتيح الوضيفية؟ ادخل y أو n:
Enable key echo?  Enter y or n:,,,تفعيل صدى المفاتيح؟ ادخل y أو n:
Enable modifier keys?  Enter y or n:,,,تفعيل مفاتيح التغيير؟ ادخل y أو n:
