%s — Private key,%s — Clé privée,%s — Geheimer Schlüssel,‏%s — مفتاح سري
%s — Public key,%s — Clé publique,%s — Öffentlicher Schlüssel,‏%s — مفتاح علني
%u:%u:%u,,,%Iu:%Iu:%Iu
(Unreadable Secure Shell Key),(Clé du shell sécurisé non lisible),,(مفتاح صدفة آمنة غير مقروء)
(unknown),(inconnue),(unbekannt),(مجهول)
1024 bits,1024 bits,1024 Bits,١٠٢٤ بتة
24hr: no,,,24hr: no
256 bits,256 bits,256 Bits,٢٥٦ بتة
"The photo is too large
The recommended size for a photo on your key is %d × %d pixels.","La photo est trop grande
La taille recommandée pour une photo sur une clé est de %d × %d pixels.",,"الصورة كبيرة جدا
المقاس المنصوح به لمفتاحك هو %Id × %Id بكسِل."
"Casually: means you have done a casual verification that the key is owned by the person who claims to own it. For example, you could read the key fingerprint to the owner over the phone.","Superficiellement : signifie que vous avez vérifié rapidement que la clé appartient bien à la personne qu’elle prétend représenter. Par exemple, vous avez peut-être lu par téléphone l’empreinte de la clé à son propriétaire.","Mäßig: Sie haben nur mäßig überprüft, ob dieser Schlüssel der Person gehört, die sich als dessen Eigentümer ausgibt. Sie können z.B. dem Eigentümer am Telefon den digitalen Fingerabdruck des Schlüssels vorlesen.",معتاد: يعني أنك قمت بتحقق عادي من أن هذا المفتاح ملك للشخص الذي يدِّعي ملكيته. مثلا، قد تقرأ بصمة المفتاح مع المالك عبر الهاتف.
"Not at all: means you believe the key is owned by the person who claims to own it, but you could not or did not verify this to be a fact.","Pas du tout : signifie que vous pensez que la clé appartient bien à la personne qu’elle prétend représenter, mais que vous n’avez pas pu ou pas voulu vous en assurer.","Überhaupt nicht: Sie glauben, dass dieser Schlüssel der angegebenen Person gehört, sind sich dabei aber nicht sicher.",بتاتًا: يعني أنك تؤمن بأن المفتاح ملك للشخص الذي يدعي ملكيته لكنك لم تستطع أو لم تتحقق من هذه الحقيقة.
Very Carefully: Select this only if you are absolutely sure that this key is genuine.,Très sérieusement : ne choisissez cette option que si vous êtes absolument sûr que cette clé est véritable.,"Sehr sorgfältig: Wählen Sie dies nur, wenn Sie sich absolut sicher sind, dass dieser Schlüssel authentisch ist.",بحرص شديد: اختر هذا إذا كنت واثقا بشكل تام من أن هذا المفتاح أصيل.
A PGP key allows you to encrypt email or files to other people.,Une clé PGP vous permet de chiffrer des courriels ou des fichiers à destination d’autres personnes.,"Ein PGP-Schlüssel ermöglicht es Ihnen, E-Mails oder Dateien für andere Personen zu verschlüsseln.",يسمح لك مفتاح PGP بتعمية البريد الإلكتروني أو الملفات للآخرين.
A Secure Shell (SSH) key lets you connect securely to other computers.,Une clé de shell sécurisé (SSH) permet de vous connecter de manière sûre à d’autres ordinateurs.,"Ein SSH-Schlüssel ermöglicht es Ihnen, sich per SSH auf einem sicheren Weg an anderen Rechnern anzumelden.",يسمح لك مفتاح الصدفة الآمنة (SSH) بالاتصال بشكل آمن بحواسيب أخرى.
A keyring that is automatically unlocked on login,Un trousseau qui est automatiquement déverrouillé à la connexion,"Ein Schlüsselbund, der bei der Anmeldung automatisch entsperrt wird",حلقة مفاتيح تُفتح آليا عن ولوج المستخدم
A keyring used to store passwords,Un trousseau utilisé pour stocker les mots de passe,Ein Schlüsselbund zum Speichern von Passwörtern,حلقة مفاتيح لحفظ كلمات السر
AM,,,ص
Access a network share or resource,Accède à un partage ou une ressource réseau,Zugriff auf eine Netzwerkfreigabe oder Ressource,انفُذ إلى مشاركة أو مورِد على شبكة
Access a website,Accède à un site web,Zugriff auf eine Webseite,انفُذ لموقع وِب
Actions,,,الإجراءات
Add,Ajouter,,أضِف
Add Key Server,Ajouter un serveur de clés,Schlüssel-Server hinzufügen,أضِف خادوم مفاتيح
Add Password,Ajouter un mot de passe,Passwort hinzufügen,أضف كلمة سر
Add User ID,Ajouter un identifiant utilisateur,Benutzerkennung hinzufügen,أضف معرّف المستخدم
Add a new key or item,Ajouter une nouvelle clé ou élément,Einen neuen Schlüssel oder Eintrag hinzufügen,أضف مفتاحا أو عنصرا جديدا
Add a photo to this key,Ajouter une photo à cette clé,,أضِف صورة لهذا المفتاح
Add password keyring,Ajouter un trousseau de mots de passe,Passwort-Schlüsselbund hinzufügen,أضِف حلقة كلمات سر
Add subkey to %s,Ajouter une sous-clé à %s,Unterschlüssel zu %s hinzufügen,أضِف مفتاحا فرعيا إلى %s
