Webcam,Webcam ,Webcam ,كمرة وب 
" has the following permissions built-in. These cannot be altered. If you are concerned about these permissions, consider removing this application.",,,الصلاحيات التالية مبنية في ، ولا يمكن تغييرها. إذا كنت قلقا من هذا الصلاحيات، فربما تود إزالة التطبيق.
" is already being used for . If you replace it,  will be disabled",,,الاختصار  مستخدم حاليا من أجل . إذا استبدلته، فيُعطّل .
 is still logged in,,,ما يزال  والجا
 remaining, restant, verbleiben,بقي 
 until fully charged, avant chargement complet, bis vollständig geladen, حتى يكتمل الشحن
 — Account Activity,,,‏ – نشاط الحساب
 — Active Jobs,,, — المهام النشطة
", ",", ",", ",، 
; Build ID: ,,,؛ معرف البناء: 
0 seconds,0 seconde,0 Sekunden,أقل من ثانية
1 (Default),,,١ (المبدئي)
1 Gb/s,,,1 ج.بايت/ث
1 day,,,يوم واحد
1 hour,1 heure,1 Stunde,ساعة واحدة
1 minute,,,دقيقة واحدة
10 Gb/s,,,10 ج.بايت/ث
10 Mb/s,,,10 م.بايت\ث
10 minutes,,,١٠ دقائق
100 Mb/s,,,100 م.بايت\ث
100 minutes,,,١٠٠ دقيقة
100%,100 %,100%,١٠٠٪
12 minutes,,,١٢ دقيقة
14 days,,,١٤ يومًا
15 minutes,15 minutes,15 Minuten,١٥ دقيقة
2 days,,,يومين
2 hours,,,ساعتين
2 minutes,,,دقيقتين
20 minutes,,,٢٠ دقيقة
24-hour,,,24-ساعة
25 minutes,,,٢٥ دقيقة
3 days,,,٣ أيام
3 minutes,,,٣ دقائق
30 days,,,٣٠ يومًا
30 minutes,30 minutes,30 Minuten,٣٠ دقيقة
30 seconds,,,٣٠ ثانية
32-bit,32 bits,32-bit,٣٢ بتة
4 days,,,٤ أيام
4 minutes,,,٤ دقائق
40 minutes,40 minutes,40 Minuten,40 دقيقة
45 minutes,,,٤٥ دقيقة
5 days,,,٥ أيام
5 minutes,,,٥ دقائق
6 days,,,٦ أيام
64-bit,64 bits,64-bit,٦٤ بتة
7 days,,,٧ أيام
8 minutes,,,٨ دقائق
80 minutes,,,٨٠ دقيقة
802.1x Security,Sécurité 802.1x,802.1x-Sicherheit,أمن 802.1x
90 minutes,,,٩٠ دقيقة
:,:,:,:
 removed,,,أزيل 
Total,,,المجموع
A file named “” already exists.,,,يوجد فعلا ملف بالاسم ”“.
A password without your user name would be stronger.,,,كلمة السر أقوى بدون اسم المستخدم.
AM,matin,AM,ص
AM / PM,,,ص \ م
Acceptance delay:,,,تأخير القبول:
Authenticate,Authentification,Legitimieren,استوثق
Automatic Login,Connexion automatique,Automatische Anmeldung,الولوج التلقائي
Aborted,Interrompue,Abgebrochen,مُجهضَة
About,À propos,Info,عنْ
Access Options,,,خيارات النفاذ
Account Type,,,نوع الحساب
Account disabled,Compte désactivé,Konto ist deaktiviert,الحساب معطّل
Active,Actif,Aktiv,نشِط
Ad-hoc,,,لا مركزية
Add,Ajouter,Hinzufügen,أضف
Add Custom Shortcut,Ajouter un raccourci personnalisé,Eigenes Tastenkürzel hinzufügen,أضف اختصارًا مخصصًا
Add Printer,Ajouter une imprimante,Drucker hinzufügen,أضِف طابعة
Add Profile,Ajouter un profil,Profil hinzufügen,أضف إعدادًا
Add User,Ajouter un utilisateur,Benutzerkonto hinzufügen,أضف مستخدما
Add VPN,Ajouter un VPN,VPN hinzufügen,أضف VPN
Add a Printer…,,,أضِف طابعة…
Add an Input Source,,,أضف مصْدَر إدخال
Add an account,,,أضف حسابا
Add new connection,Ajouter une nouvelle connexion,Neue Verbindung hinzufügen,أضف اتصالًا جديدا
Add or remove users and change your password,Ajouter ou supprimer des utilisateurs et changer vos mots de passe,Benutzer hinzufügen oder entfernen und das Passwort ändern,أضف أو احذف مستخدمين و غيّر كلمة السر
"Add printers, view printer jobs and decide how you want to print","Ajouter des imprimantes, afficher les tâches et décider quand vous voulez imprimer","Drucker hinzufügen, Druckeraufgaben anzeigen und entscheiden, wie Sie drucken möchten",أضف الطابعات و اعرض مهام الطباعة و اختر ما الذي تطبعه
"Adding more letters, numbers and punctuation will make the password stronger.",,,إضافة المزيد من الحروف و الأرقام و علامات الترقيم ستجعل كلمة السر أقوى.
Address,Adresse,Adresse,العنوان
Address: ,Adresse : ,Adresse: ,العنوان: 
Addresses,Adresses,Adressen,العناوين
Add…,,,أضف…
Adjust display resolution,,,اضبط ميز الشاشة
Adjust for TV,,,اضبط للتلفاز
Adjust mouse settings,,,اضبط إعدادات الفأرة
Administrator,,,إداري
Administrator Password,Mot de passe de l’administrateur,Systemverwalter-Passwort,كلمة سر المدير
Administrator Name,Nom de l’administrateur,Name des Systemverwalters,اسم المدير
Advanced,Avancé,Erweitert,متقدم
Airplane Mode,Mode avion,Flugzeugmodus,وضع الطائرة
Airplane Mode On,Mode avion activé,Flugzeugmodus an,وضع الطائرة مُفعّل
Airplane Mode is on,,,وضع الطائرة مفعّل
Alert Sound,Son d’alerte,Warnton,صوت التنبيه
All Settings,,,كل الإعدادات
All files,Tous les fichiers,Alle Dateien,كلّ الملفات
All items in the Trash will be permanently deleted.,Tout le contenu de la corbeille sera définitivement supprimé.,Alle Objekte im Papierkorb werden dauerhaft gelöscht.,ستحذف نهائيا كل العناصر الموجودة في المهملات.
All the temporary files will be permanently deleted.,Tous les fichiers temporaires seront définitivement supprimés.,Alle temporären Dateien werden dauerhaft gelöscht.,ستُحذف كل الملفات المؤقتة نهائيًا.
Allow different sources for each window,,,اسمح بمصدر مختلف لكل نافذة
Allow user to change their password on next login,Autoriser l’utilisateur à changer son mot de passe à la prochaine connexion,"Benutzern erlauben, bei der nächsten Anmeldung ihr Passwort zu ändern",اسمح للمستخدم بتغيير كلمة السر عند الولوج التالي
Allow user to set a password when they next login,,,اسمح للمستخدم بوضع كلمة سر عند الولوج التالي
Alternative Characters Key,,,مفتاح الحروف البديلة
