English,French,German,Arabic
%1 (Day %2 of %3),%1 (Jour %2 parmi %3),%1 (Tag %2 von %3),%1 (اليوم %2 من %3)
%1 (Default),%1 (Par défaut),%1 (Standard),%1 (المبدئيّ)
%1 (Highest priority),%1 (Priorité la plus haute),%1 (Höchste Priorität),%1 (أولوية قصوى)
%1 (Lowest priority),%1 (Priorité la plus faible),%1 (Niedrigste Priorität),%1 (أولوية دنيا)
%1 (Medium priority),%1 (Priorité moyenne),%1 (Mittlere Priorität),%1 (أولوية متوسطة)
%1 (Mid-high priority),%1 (Priorité moyennement haute),%1 (Mittlere bis hohe Priorität),%1 (أولوية مرتفعة-متوسطة)
%1 (Mid-low priority),%1 (Priorité moyennement faible),%1 (Mittlere bis geringe Priorität),%1 (أولوية متوسطة-منخفضة)
%1 (Offline),%1 (Déconnecté),%1 (Offline),‏%1 (غير متّصل)
%1 - %2,%1 - %2,%1 - %2,%1 - %2
%1 after start of event,%1 après le début de l'évènement,%1 nach dem Start des Termins,%1 بعد بدء الحدث
%1 before start of event,%1 avant le début de l'évènement,%1 vor dem Beginn des Termins,%1 قبل بدء الحدث
%1 days,%1 jours,%1 Tage,%1 يوم
%1 hours,%1 heures,%1 Stunden,%1 ساعة
%1 incidences were imported successfully.,%1 incidences ont été importées avec succès.,%1 Ereignisse wurden erfolgreich importiert.,نجح استيراد %1 حدوثات.
%1 minutes,%1 minutes,%1 Minuten,%1 دقيقة
%1:,%1 :,%1:,%1:
(c) KDE Community 2021,(c) Communauté KDE 2021,(c) KDE-Gemeinschaft 2021,(c)  مجتمع كِيدِي 2021
(overdue),(en retard),(überfällig),(تأخّرت)
1 (Highest Priority),1 (Priorité la plus haute),1 (Höchste Priorität),1 (أولوية قصوى)
1 (highest priority),1 (Priorité la plus haute),1 (Höchste Priorität),1 (أولوية قصوى)
1 day,1 jour,1 Tag,يوم واحد
1 hour,1 heure,1 Stunde,ساعة واحدة
2 (mid-high priority),2 (Priorité moyennement haute),2 (Mittlere bis hohe Priorität),2 (أولوية مرتفعة-متوسطة)
3 (mid-high priority),3 (Priorité moyennement haute),3 (Mittlere bis hohe Priorität),3 (أولوية مرتفعة-متوسطة)
3 Day View,Affichage sur 3 jours,3-Tage-Ansicht,عرض ثلاثة أيام
3 Days,3 jours,3 Tage,3 الأيام
4 (mid-high priority),4 (Priorité moyennement haute),4 (Mittlere bis hohe Priorität),4 (أولوية مرتفعة-متوسطة)
5 (Medium Priority),5 (Priorité moyenne),5 (Mittlere Priorität),5 (أولوية متوسطة)
5 (medium priority),5 (Priorité moyenne),5 (Mittlere Priorität),5 (أولوية متوسطة)
6 (mid-low priority),6 (Priorité moyennement faible),6 (Mittlere bis niedrige Priorität),6 (أولوية متوسطة-منخفضة)
7 (mid-low priority),7 (Priorité moyennement faible),7 (Mittlere bis niedrige Priorität),7 (أولوية متوسطة-منخفضة)
8 (mid-low priority),8 (Priorité moyennement faible),8 (Mittlere bis niedrige Priorität),8 (أولوية متوسطة-منخفضة)
9 (Lowest Priority),9 (Priorité la plus faible),9 (Niedrigste Priorität),9 (أولوية دنيا)
9 (lowest priority),9 (Priorité la plus faible),9 (Niedrigste Priorität),9 (أولوية دنيا)
%1% Complete,%1 % terminé,%1 % fertiggestellt,%1٪اكتمل
Calendar:,Calendrier : ,Kalender:,التقويم:
Completed:,Terminé : ,Abgeschlossen:,اكتملت:
Date:,Date :,Datum:,التاريخ:
Description:,Description : ,Beschreibung:,الوصف:
Duration:,Durée : ,Dauer:,المدّة:
Google Meet:,Google Meet : ,Google Meet:,غوغل مييت:
Guests:,Invités :  :,Gäste:,الضيوف:
Location:,Emplacement : ,Ort:,المكان:
Organizer:,Organisateur :,Veranstalter:,المنظّم:
Priority level:,Niveau de priorité : ,Priorität:,مستوى الأولويّة:
Recurrence:,Récurrence : ,Wiederholung:,التكرار:
Reminders:,Rappels : ,Erinnerungen:,التذكيرات:
Tags:,Étiquettes : ,Stichwörter:,الوسوم:
Time:,Heure :,Zeit:,الوقت:
Today,Aujourd'hui,Heute,اليوم
Abbreviated (Mon),Abrégé (Lun),Abgekürzt (Mon),مختصراً (جمع)
About KDE,À propos de Kalendar,Über Kalendar,عن التقويم
About Kalendar,À propos de Kalendar,Über Kalendar,عن التقويم
Accounts,Comptes,Konten,الحسابات
Add,Ajouter,Hinzufügen,أضف
Add %1,Ajouter %1,%1 hinzufügen,أضف %1
Add Account,Ajouter un compte,Konto hinzufügen,أضف حسابًا
Add Attachment,Ajouter une pièce jointe,Anhang hinzufügen,أضف مرفقًا
Add Attendee,Ajouter un participant,Teilnehmer hinzufügen,أضف حضور
Add Contact,Ajouter un contact,Kontakt hinzufügen,أضف مراسلا
Add New Address Book Source…,Ajouter une nouvelle source de carnets d'adresses...,Neuen Adressbuch-Zugang hinzufügen ...,أضف مصدر دفتر العناوين جديد…
Add New Calendar Source…,Ajouter une nouvelle source de calendrier...,Neuen Kalender-Zugang hinzufügen ...,أضف مصدر تقويم جديد…
Add Profile Picture,Ajouter une image de profil,Profilbild hinzufügen,أضف صورة الملف الشخصي
Add Recurrence Exception,Ajouter une exception à la périodicité,Ausnahme hinzufügen,أضف استثناء للتكرار
Add Reminder,Ajouter un rappel,Erinnerung hinzufügen,أضف تذكيراً
Add Sub-Task,Ajouter une sous-tâche,Unteraufgabe hinzufügen,أضف مهمة فرعية
