English,French,German,Arabic
Active Document Not Found,Impossible de trouver le document actif,Aktives Dokument nicht gefunden,لم يوجد مستند نشط
Base period:,Période de base :,,فترة الأساس:
Cannot execute an empty document.,Impossible d'exécuter un document vide.,Es kann kein leeres Dokument ausgeführt werden,لا يمكن تنفيذ مستند فارغ.
Composite inputs,Entrées de composition,Zusammengesetzte Eingaben,المدخلات المركبة
Composite outputs,Sorties de composition,Zusammengesetzte Ausgaben,المخرجات المركبة
Could not find an active document to run.,Impossible de trouver un document actif à exécuter.,Es wurde keine aktive Datei zur Ausführung gefunden.,تعذّر إيجاد مستند نشط لتشغيله.
Debug,Déboguer,Debug,نقّح
Debug windows:,Fenêtres de débogage :,Debug-Fenster:,نوافذ التّنقيح:
Debug:,Déboguer :,Debug:,نقّح:
Decompile models:,Décompiler les modèles :,Modelle dekompilieren:,نماذج فك:
Decompile objects:,Décompiler les objets :,Objekte dekompilieren:,كائنات فكية:
Decompile to file:,Décompiler vers un fichier :,In Datei dekompilieren:,فك الارتباط بالملف:
Dump models to file:,Exporter les modèles dans le fichier :,Modelle in Datei speichern:,تفريغ النماذج للملف:
Dump objects to file:,Exporter les objets dans le fichier :,Objekte in Datei speichern:,تفريغ الكائنات للملف:
Empty Document,Document vide,Leeres Dokument,مستند فارغ
File Not Found,Fichier introuvable,Datei nicht gefunden,لم يوجد الملفّ
Float tolerance:,Tolérance des flottants :,,تسامح تعويم:
Goal monitoring,Surveillance de l'objectif,Zielüberwachung,مراقبة الأهداف
Goal prediction success resilience:,Résilience du succès de la prédiction d'objectif :,,مرونة نجاح التنبؤ بالهدف:
Ignore named models:,Ignorer les modèles nommés :,Benannte Modelle ignorieren:,تجاهل النماذج المسماة:
Ignore named objects:,Ignorer les objets nommés :,Benannte Objekte ignorieren:,تجاهل الأشياء المسماة:
Maximum simulation time horizon:,Horizon maximum de temps de simulation :,Maximaler Zeithorizont der Simulation:,أقصى أفق وقت المحاكاة:
Minimum simulation time horizon:,Horizon minimum de temps de simulation :,Minimaler Zeithorizont der Simulation:,أفق وقت المحاكاة الأدنى:
Model inertia count threshold:,Seuil de compte du modèle à inertie :,,عتبة العد الجمود النموذجية:
Model inertia success rate threshold:,Seuil de fréquence de succès du modèle à inertie :,,عتبة معدل نجاح القصور الذاتي النموذج:
Model inputs,Entrées du modèle,,مدخلات النموذج
Model outputs,Sorties du modèle,,مخرجات النموذج
Model revision,Révision du modèle,,مراجعة النموذج
Model/composite injections,Injections de modèle / composite,,النموذج/الحقن المركبة
Notification marker resilience:,Résilience du marqueur de notification :,,مرونة علامة الإخطار:
Path to replicode executor:,Emplacement de l'exécutable « replicode » :,Pfad zum Programm „replicode“,مسار تنفيذيّ ريبلكود:
Perf sampling period:,Fréquence d'échantillonnage de la performance :,,فترة أخذ عينات بيرف:
Prediction monitoring,Surveillance des prédictions,Prognosenüberwachung,مراقبة التنبؤ
Primary time horizon:,Horizon de temps primaire :,Primärer Zeithorizont:,أفق الوقت الأساسي:
