English,French,German,Arabic
%1 [suppressed: %2],%1 [supprimé : %2],,%1 [مقيد: %2]
%1 cannot open folders,Il est impossible pour %1 d'ouvrir les dossiers,%1 kann Order nicht öffnen,لا يستطيع %1 فتح المجلدات
%1 doesn't exist in a git repo.,%1 n'existe pas dans un dépôt « Git »,%1 existiert in keinem Git-Repo.,%1 غير موجود في مستودع غت
All Sessions,Toutes les sessions,Alle Sitzungen,كل الجلسات
Auto hide tabs,Masquer automatiquement les onglets,Unterfenster automatisch ausblenden,أخفِ الألسنة آليّاً
Backward button pressed:,Appui sur le bouton de retour en arrière :,Zurück-Knopf gedrückt:,الضغط على زر العودة:
Behavior,Comportement,Verhalten,السّلوك
Close Document,Fermer le document,Dokument schließen,أغلق المستند
Double click opens a new document,Un double-clic ouvre un nouveau document,Doppelklick öffnet ein neues Dokument,النقر المزدوج يفتح مستند جديد
Edit,Édition,Bearbeiten,تحرير
Expand tabs,Développer les onglets,Karteireiter erweitern,وسع الألسنة
File,Fichier,Datei,ملفّ
Forward button pressed:,Appui sur le bouton d'avancement :,Vorwärts-Knopf gedrückt:,الضغط على زر التقدم:
Go,Se déplacer,Gehe zu,اذهب
Help,Aide,Hilfe,مساعدة
Ignore Changes,Ignorer les modifications,Änderungen ignorieren,تجاهل التّغييرات
Limit number of tabs:,Limiter le nombre d'onglets :,Anzahl der Unterfenster begrenzen:,حد عدد الألسنة:
Limit output view history:,Limiter l'historique sur l'affichage en sortie :,Ausgabeverlauf begrenzen:,حد تاريخ منظور الخرج:
Load last used session,Charger la dernière session utilisée,Zuletzt verwendete Sitzung laden,حمّل آخر جلسة مستخدمة
Manage Sessions...,Gérer les sessions...,Sitzungen verwalten ...,أدر الجلسات...
Manually choose a session,Sélectionner manuellement une session,Sitzung manuell auswählen,اختر جلسة يدويًّا
Middle click closes a document,Un clic central ferme un document,Mittelklick schließt ein Dokument,النقر بالزر الأوسط يغلق مستند
Mouse,Souris,Maus,الفأرة
New Session,Nouvelle session,Neue Sitzung,جلسة جديدة
Next Tab,Onglet suivant,Nächstes Unterfenster,اللسان التّالي
Open,Ouvrir,Öffnen,افتح
Open Containing Folder,Ouvrir le dossier contenant,Ordner mit diesem Inhalt öffnen,افتح المجلّد الحاوي
Other Application...,Autre application,Andere Anwendung ...,برامج أخرى...
Plugins Handbook,Manuel des modules externes,Handbuch für Module,كتيّب الملحقات
Previous Tab,Onglet précédent,Vorheriges Unterfenster,اللسان السّابق
Quick Open,Ouverture rapide,Schnellöffner,فتح سريع
Recent Sessions,Sessions récentes,Zuletzt geöffnete Sitzungen,الجلسات الأخيرة
Reload,Recharger,Neu laden,أعد التحميل
Remove,Supprimer,Entfernen,أزل
Rename...,Renommer...,Umbenennen ...,أعد التّسمية...
Reopen Latest Closed Document(s),Ré-ouvrir le ou les documents récemment fermé(s).,Alle offenen Dokumente neu laden.,أعد فتح أحدث المستندات المغلقة
Save Session,Enregistrer la session,Sitzung speichern,احفظ الجلسة
Settings,Configuration,Einstellungen,إعدادات
Show close button,Afficher le bouton de fermeture,„Schließen“-Knopf anzeigen,اعرض زر الغلق
Sidebars,Barres latérales,Seitenleisten,الأشرطة الجانبية
Start new session,Démarrer une nouvelle session,Neue Sitzung starten,ابدأ جلسة جديدة
Status Bar Items,Éléments de barre d'état,Statusleisten-Elemente,عناصر شريط الحالة
Switch to output view upon message type:,Basculer vers l'affichage de la sortie sur un type de message :,Zur Ausgabeansicht bei diesen Meldungen wechseln:,بدل إلى عرض الخرج بالاعتماد على نوع الرسالة:
Tabs,Onglets,Unterfenster,ألسنة
Tools,Outils,Extras,أدوات
View,Affichage,Ansicht,منظور
View Difference,Afficher les différences,Unterschiede anzeigen,اعرض الفرق
Window Color Scheme,Thème de couleurs de fenêtres,Fenster-Farbschema,مخطّط ألوان النافذة
Windows,Fenêtres,Neues Fenster,النوافذ
'showtoolview $toolview_name'. Hide a toolview panel. Available panels: %1,« showtoolview $toolview_name ». Masquer un panneau d'affichage des outils. Panneaux disponibles : %1,,'showtoolview $toolview_name'. إخفاء لوحة عرض الأدوات. الألواح المتوفرة: %1
'showtoolview $toolview_name'. Show a toolview panel. Available panels: %1,« showtoolview $toolview_name ». Afficher un panneau d'affichage des outils. Panneaux disponibles : %1,,'showtoolview $toolview_name'. إظهار لوحة عرض الأدوات. الألواح المتوفرة: %1
(c) 2000-2024 The Kate Authors,(c) 2000 - 2024 Les auteurs de Kate,"Copyright 2000–2022, die Autoren von Kate",© 2000-2024 مؤلّفو «كيت»
(never),(jamais),(nie),(أبدًا)
+%1,+%1,+%1,+%1
"git not found. Git is needed to diff the documents. If git is already installed, make sure it is your PATH variable. See https://git-scm.com/downloads","Impossible de trouver le logiciel git. Il est nécessaire pour faire une différence des documents. S'il est déjà installé, veuillez-vous assurer qu'il est bien pris en compte par votre variable d'environnement « PATH ». Veuillez consulter le site « https://git-scm.com/downloads ».",,غت غير متوفر. يستخدم غت في إظهار الفروقات بين المستندات. إذا كان غت مثبت؛ فتأكد  من مسار PATH المتغيرات في بيئتك. انظر https://git-scm.com/downloads
" The document '%1' has been modified, but not saved. Do you want to save your changes or discard them?"," Le document « %1 » a été modifié, mais non enregistré. Voulez-vous enregistrer vos changements ou les abandonner ?"," Das Dokument „%1“ wurde geändert, aber bisher nicht gespeichert. Möchten Sie die Änderungen speichern oder verwerfen?", عُدّل المستند '%1' ولم يُحفظ. أتريد حفظ التّعديلات أو رفضها؟
 You are attempting to open one or more large files:%1 Do you want to proceed? Beware that kate may stop responding for some time when opening large files., Vous essayez d'ouvrir un ou plusieurs fichiers volumineux :%1 Voulez-vous vraiment continuer ? Faites attention au fait que Kate peut arrêter de répondre pendant un certain temps lors de l'ouverture de fichiers volumineux.," Sie sind dabei, eine oder mehrere große Dateien zu öffnen:%1 Möchten Sie fortfahren? Möglicherweise wird Kate einige Zeit nicht mehr reagieren, wenn große Dateien geöffnet werden.", أنت تحاول فتح ملفّ كبير أو أكثر:%1 أتريد المتابعة؟ انتبه إلى أنّ «كيت» قد تتوقّف استجابته لبعض الوقت أثناء فتح الملفّات الكبيرة.
"The documents listed below have changed on disk. Select one or more at once, and press an action button until the list is empty.",Les documents répertoriés ci-dessous ont été modifiés sur le disque. Choisissez-en un ou plus en seule fois et cliquez sur un bouton d'action jusqu'à ce que la liste soit vide.,Die unten aufgeführten Dokumente wurden auf dem Speichermedium geändert. Wählen Sie ein oder mehrere Dokumente aus und drücken Sie einen der Knöpfe bis die Liste leer ist.,المستندات أدناه تعدّلت على القرص. اختر واحدًا أو أكثر وانقر زرّ إجراء حتّى تفرغ القائمة.
The following documents have been modified. Do you want to save them before closing?,Les documents suivants ont été modifiés. Voulez-vous les enregistrer avant de quitter ?,Die folgenden Dokumente wurden bearbeitet. Möchten Sie diese vor dem Schließen speichern?,تعدّلت المستندات الآتية. أتريد حفظها قبل الإغلاق؟
"You are about to hide the sidebars. With hidden sidebars it is not possible to directly access the tool views with the mouse anymore, so if you need to access the sidebars again invoke View gt; Tool Views gt; Show Sidebars in the menu. It is still possible to show/hide the tool views with the assigned shortcuts.","Vous êtes sur le point de cacher les barres latérales. Lorsque les barres latérales sont cachées, il n'est plus possible d'accéder directement aux vues des outils par le biais de la souris. Si vous devez accéder à nouveau aux barres latérales, exécutez Affichage / Vues des outils / Afficher les barres latérales dans le menu. Il est toujours possible d'afficher ou de cacher les vues des outils avec les raccourcis clavier affectés.","Sie möchten den Navigationsbereich ausblenden. Dadurch sind die Werkzeugansichten nicht mehr mit der Maus erreichbar. Wenn der Navigationsbereich wieder angezeigt werden soll, klicken Sie auf Ansicht → Werkzeugansichten → Navigationsbereich anzeigen. Sie können die Werkzeugansichten natürlich immer noch mit den zugewiesenen Kurzbefehlen ein- und ausblenden.",أنت على وشك إخفاء الأشرطة الجانبيّة. إن كانت الأشرطة الجانبيّة مخفيّة لن يعود بإمكانك النّفاذ إلى مناظير الأدوات بالفأرة بعد الآن، لذا إن أردت النّفاذ إلى الأشرطة الجانبيّة مجدّدًا، فأشّر على منظور gt; مناظير الأدوات gt; أظهر الأشرطة الجانبيّة من  القائمة. ما زال بإمكانك إظهار/إخفاء مناظير الأدوات بالاختصارات المُسندة.
"A high limit can increase the window size, please enable 'Allow tab scrolling' to prevent it. Unlimited tabs are always scrollable.",Une limite haute peut augmenter la taille de la fenêtre. Veuillez activer « Autoriser le défilement des onglets » pour l'empêcher. Les onglets illimités proposent toujours une barre de défilement.,"Eine hohe Grenze kann zur einer Vergrößerung des Fensters führen. Aktivieren Sie „Reiter-Bildlauf erlauben“, um das zu verhindern. Unbegrenzt viele Unterfenster können immer geblättert werden.","يمكن أن يؤدي الحد المرتفع إلى زيادة حجم النافذة، يرجى تمكين ""اسمح بتمرير الألسنة"" لمنع ذلك. الألسنة غير المحدودة قابلة للتمرير دائمًا."
"A tool view to display context associated with the current cursor position (LSP hints, diagnostics)","Une vue « Outils » pour afficher le contexte associé à la position actuelle du pointeur (Conseils pour LSP, diagnostics)",,عرض أداة لعرض السياق المرتبط بموضع المؤشر الحالي(تلميحات LSP، التشخيصات)
Add Global Suppression,Ajouter à la suppression globale,Alle Sitzungen,أضف تقييد العام
Add Local Suppression,Ajouter une suppression locale,,أضف تقييد محلي
Alexander Neundorf,Alexander Neundorf,Alexander Neundorf,ألكساندر نيوندورف
All,Tous,Alle,الكل
All Projects,Tous les projets,Alle Projekte,كلّ المشاريع
All people who have contributed and I have forgotten to mention,Toutes les personnes qui ont contribué et que j'ai oublié de mentionner,"Sämtliche Leute, die Beiträge geliefert und die wir hier vergessen haben",كلّ مَن ساهم ونسيت ذكره
"Allow cycling through tabs. If unchecked, the action 'Next Tab'/'Previous Tab' will not go to first/last tab after reaching the end","Permettre de naviguer parmi les onglets. Si cette option n'est pas cochée, l'action « Onglet suivant » / « Onglet précédent » ne passera pas au premier / dernier onglet après avoir atteint la fin.",,"السماح بالتنقل بين الألسنة. إذا لم يحدد هذا المربع، فلن ينتقل الإجراء ""اللسان التالي""/""اللسان السابق"" إلى اللسان الأول/الأخير بعد الوصول إلى النهاية"
Allow tab scrolling,Autoriser le défilement des onglets,Reiter-Bildlauf erlauben,اسمح بتمرير الألسنة
Anders Lund,Anders Lund,Anders Lund,أندرس لوند
Application Startup Behavior,Comportement au démarrage de l'application,Verhalten beim Programmstart,سلوك بدء التّطبيق
Application Startup/Shutdown Behavior,Comportement de l'application au démarrage / à la fermeture,Verhalten bei Programmstart und -ende,سلوك بدء/إنهاء التّطبيق
