English,French,German,Arabic
"""%1"" executed successfully: %2",Lancement de « %1 » effectué avec succès :%2,"""%1"" wurde erfolgreich ausgeführt: %2","شُغّل ""%1"" بنجاح: %2"
CMake,CMake,,سي ميك
Fossil,Fossil,,مستحاثة
Git,Git,Git,مستودعات Git
Mercurial,Mercurial,Mercurial,مستودعات Mercurial
Open Containing Folder,Ouvrir le dossier contenant,Ordner mit diesem Inhalt öffnen,افتح المجلّد الحاوي
Projects,Projets,Projekte,مشاريع
Rename,Renommer,Umbenennen,غيّر الاسم
Subversion,Subversion,Subversion,مستودعات Subversion
"'%1' is not installed on your system, %2.  %3. The tool will be run on all project files which match this list of file extensions: %4","Le paquet « %1 » n'est pas installé sur votre système, %2.  %3. Cet outil sera lancé sur tous les fichiers du projet correspondant à cette liste d'extensions : %4","%1  Das Dienstprogramm wird für alle Projektdateien ausgeführt, deren Dateierweiterung auf dieses Muster passt:  %2",لم يثبت '%1' على نظامك، %2.  %3. سيُشغل الأداة على جميع ملفات المشروع التي تتطابق مع قائمة ملحقات الملفات التالية: %4
<untracked>,<non suivi>,<untracked>,<غير المتعقّب>
Activate Next Project,Activer le projet suivant,,فعّل المشروع التالي
Activate Previous Project,Activer le projet précédent,,فعّل المشروع السابق
Active branch: %1,Branche active : %1,Aktiver Branch: %1,الفرع النشط: %1
Amend,Amender,Nachbessern,عدّل
Amend Last Commit,Amender le dernier commit,Letzten Commit ändern,عدّل آخر إيداع
Amending Commit,Amendement du commit,Letzter Commit wird geändert,يعدل إيداع
"Analysis failed with exit code %1, Error: %2","Échec de l'analyse avec le code de sortie %1, erreur : %2.",Die Analyse für %1 Datei ist mit dem Fehlercode %2 fehlgeschlagen.,فشل التحليل مع رمز الخروج %1، الخطأ: %2
Apply Last Stash,Appliquer la dernière provision,,طبّق آخر تخزين مؤقت
Apply Stash,Appliquer la réserve,Stash anwenden,طبّق التخزين المؤقت
Are you sure you want to discard all changes?,Voulez-vous vraiment annuler toutes les modifications ?,Möchten Sie alle Änderungen wirklich verwerfen?,هل أنت متيقن أنك تريد إهمال كل التغييرات؟
Are you sure you want to discard the changes in this file?,Voulez-vous vraiment annuler les modifications dans ce fichier ?,Möchten Sie die Änderungen in dieser Datei wirklich verwerfen?,هل أنت متأكد أنك تريد تجاهل التغييرات في هذا الملف؟
Are you sure you want to discard the changes?,Voulez-vous vraiment annuler les modifications ?,Möchten Sie die Änderungen wirklich verwerfen?,هل أنت متأكد أنك تريد تجاهل التغييرات؟
Are you sure you want to remove these files?,Voulez-vous vraiment supprimer ces fichiers ?,Möchten Sie diese Dateien wirklich entfernen?,هل أنت متأكد أنك تريد إزالة هذه الملفات؟
Are you sure you want to remove these untracked changes?,Voulez-vous vraiment supprimer ces modifications non tracées ?,,هل أنت متأكد أنك تريد إزالة هذه التغييرات غير المتعقبة؟
Are you sure you want to remove this file?,Voulez-vous vraiment supprimer ce fichier ?,Möchten Sie diese Datei wirklich entfernen?,هل أنت متأكد أنك تريد إزالة هذا الملف؟
Autoload Repositories  Build Trees,Charger les dépôts automatiquement et les arborescences de compilation,Quelltextarchive automatisch laden,حمّل مستودعات آليًّا وابنِ الأشجار
Back,Précédent,Zurück,عُد
Branch,Branche,Zweig,الفرع
Branch %1 checked out,Branche %1 extraite,Branch %1 ausgelesen,انتقل إلى الفرع %1
Cancel,Annuler,Abbrechen,ألغِ
Cancel Operation,Annuler l'opération,Operation abbrechen,ألغِ العمليّة
Changes committed successfully.,Les modifications ont été correctement validées.,,أودعت التغييرات بنجاح.
Changes stashed successfully.,Les modifications ont été correctement rangées.,,خزنت التغييرات مؤقتًا بنجاح.
Checked out to new branch: %1,Extrait d'une nouvelle branche : %1,,انتقل إلى فرع جديد: %1
Checkout Branch,Extraire une branche,,الخروج إلى فرع
Checkout Git Branch,Extraire une branche « git »,,الانتقال إلى فرع غت
Choose a directory,Sélectionnez un dossier,Wählen Sie einen Ordner,اختر مجلدًا
Close All Projects,Fermer tous les projets,Projekt schließen,أغلق كل المشاريع
Close Orphaned Projects,Fermer les projets orphelins,Projekt schließen,أغلق المشاريع اليتيمة
Close Project,Fermer le projet,Projekt schließen,أغلق المشروع
Close project,Fermer un projet,Projekt schließen,أغلق المشروع
Code Analysis,Analyse du code,Quelltext-Analyse,تحليل الكود
Code Analysis - %1,Analyse du code - %1,Quelltext-Analyse,تحليل الشفرة - %1
Code Index,Index du code,Quelltext-Index,فهرس الكود
CodeAnalysis,Analyse du code,Quelltext-Analyse,تحليل الشفرة
Commit,Valider,Einspielen,أوْدِعْ
Commit Changes,Valider les modifications,Änderungen einspielen,تغييرات الإيداع
Commit message cannot be empty.,Le message de validation ne peut être vide.,Die Commit-Nachricht darf nicht leer sein.,رسالة الإيداع لا يمكن أن تكون فارغ…
Compare Branch with...,Comparer une branche avec...,,قارن الفرع مع...
Confirm project closing: %1,Confirmer la fermeture du projet : %1,Schließen des Projekts bestätigen: %1,تأكيد إغلاق المشروع: %1
Conflict,Conflit,Konflikt,تعارض
Copy Location,Copier un emplacement,Keine Aktion,انسخ المكان
Create New Branch,Créer une nouvelle branche,Neuen Zweig anlegen,أنشئ فرع جديد
Create New Branch From...,Créer une nouvelle branche à partir de...,Neuen Branch erstellen von ...,أنشئ فرع جديد من...
Cross-Project Completion,Complètement inter-projets,Vervollständigung über mehrere Projekte,إكمال عابر للمشاريع
