English,French,German,Arabic
%1 snippets,%1 fragments,%1-Textbausteine,قصاصات %1
Authors:,Auteurs :,Autoren:,المؤلّفون:
File types:,Types de fichier :,Dateitypen:,أنواع الملفّات:
License:,Licence :,Lizenz:,الرّخصة:
Snippet,Fragments,Textbaustein,القصاصة
Tools,Outils,Extras,أدوات
<empty repository>,<dépôt vide>,<leeres Archiv>,<مستودع فارغ>
<empty snippet>,<fragment vide>,<leerer Textbaustein>,<قصاصة فارغة>
leave empty for general purpose snippets,laisser vide pour des fragments d'usage général,für allgemeine Textbausteine leer lassen,اتركه فارغًا للقصاصات العامّة
The error %4 has been detected in the file %1 at %2/%3,L'erreur %4 a été détectée dans le fichier %1 à l'emplacement %2/%3,Der Fehler %4 wurde in der Datei %1 an der Position %2/%3 entdeckt.,اكتُشف الخطأ %4 في الملفّ %1 عند %2/%3
A short name for the repository,Un nom court pour le dépôt,Ein kurzer Name für das Archiv,اسم قصير للمستودع
Add Repository,Ajouter le dépôt,Archiv hinzufügen,أضف مستودعًا
Add Snippet,Ajouter le fragment,Textbaustein hinzufügen,أضف قصاصة
Applies to all filetypes,S'applique à tous les types de fichiers,Für alle Dateitypen übernehmen,يجري على كلّ أنواع الملفّات
Applies to the following filetypes: %1,S'applique aux types de fichiers suivants : %1,Für alle folgenden Dateitypen übernehmen: %1,يجري على أنواع الملفّات الآتية: %1
Cannot open snippet repository %1.,Impossible d'ouvrir le dépôt de fragments %1.,Das Textbaustein-Archiv %1 lässt sich nicht öffnen.,تعذّر فتح مستودع القصاصات %1.
Continue editing,Continuer l'édition,,تابع التحرير
Create New Snippet Repository,Créer un nouveau dépôt de fragments,Neues Textbaustein-Archiv erstellen,أنشئ مستودع قصاصات جديد
Create New Snippet in Repository %1,Créer un nouveau fragment dans le dépôt %1,Neuen Textbaustein im Archiv %1 erstellen,أنشئ قصاصة جديدة في المستودع %1
Create Snippet,Créer un fragment,Textbaustein erstellen,أنشئ قصاصة
Define filter here,Définir un filtre ici,Definieren Sie hier den Filter,عرّف مرشّحًا هنا
"Do you really want to delete the repository ""%1"" with all its snippets?",Voulez-vous vraiment supprimer le dépôt « %1 » et tous les fragments qu'il contient ?,Möchten Sie das Archiv „%1“ mit allen enthaltenen Textbausteinen wirklich löschen?,"أمتأكّد من حذف المستودع ""%1"" مع قصاصاته؟"
