English,French,German,Arabic
%,%,%,٪
%1,%1,%1,%1
"%1

Elapsed: %2
Estimated: %3

%4","%1

Écoulé : %2
Estimé : %3

%4",,"%1

المنقضي: %2
المتبقّي: %3

%4"
"%1
selected",%1 sélectionné,"%1
ausgewählt",المحدّد
%1 %,%1 %,%1 %,‏%1 ٪
%1 %2,%1 %2,%1 %2,%1 %2
"%1 %2
%3°","%1 %2
%3 °",%1 %2,"%1 %2
%3°"
%1 x %2 (%3),%1 x %2 (%3),%1 x %2 (%3),‏%1 × %2 (%3)
%1 (Copy),%1 (Copie),%1 (Kopie),%1 (نسخة)
"%1 (type: ""%2"")",%1 (type : « %2 »),"%1 (Typ: ""%2"")","%1 (النّوع: ""%2"")"
%1 Engine,Moteur %1,KS%1-Engine,محرّك %1
%1 Options,Options %1,%1-Einstellungen,خيارات %1
%1 and %2,%1 et %2,%1 und %2,%1 و%2
%1 cannot be written to. Please save under a different name.,Impossible d'écrire dans %1. Veuillez choisir un nom différent pour l'enregistrement.,,تعذّرت الكتابة في %1. رجاءً احفظه باسم مختلف.
%1 cannot save images with color model %2 and depth %3. The image will be converted.,%1 ne peut enregistrer les images avec le modèle de couleurs %2 et une profondeur de %3. Les images seront converties.,,تحتوي صورتك على طبقات نموذجها اللونيّ هو %1 وعمق قنواتها هو %2 ولا يمكن حفظها بهذا النّسق. ستُحوّل الطّبقات.
%1 cannot save layers with color model %2 and depth %3. The layers will be converted or skipped.,%1 ne peut enregistrer des calques avec un modèle de couleurs %2 et une profondeur de %3. Les calques seront convertis ou ignorés.,,تحتوي صورتك على طبقات نموذجها اللونيّ هو %1 وعمق قنواتها هو %2 ولا يمكن حفظها بهذا النّسق. ستُحوّل الطّبقات.
%1 cannot save layers with color model %2 and depth %3. The layers will be skipped.,%1 ne peut enregistrer les calques avec le modèle de couleurs %2 et une profondeur de %3. Les calques seront ignorés.,,تحتوي صورتك على طبقات نموذجها اللونيّ هو %1 وعمق قنواتها هو %2 ولا يمكن حفظها بهذا النّسق. ستُحوّل الطّبقات.
%1 is not a valid image file!,%1 n'est pas un fichier image valable !,"%1 ist keine gültige Bilddatei,",%1 ليست صورة صالحة!
%1 is not readable,%1 est non lisible.,„%1“ ist nicht lesbar,"""%1"" لا يمكن قراءته."
%1 px,%1 px,%1 px,%1 بكسل
%1%,%1 %,%1 %,‏%1٪
"%1, %2","%1, %2","%1, %2",استنسخ %1، %2
%1:,%1 :,%1:,%1
%1x%2,%1x%2,%1x%2,%1×%2
%1°,%1°,%1°,°
%1 %2,%1 %2,%1 %2,%1 %2
180 degrees,180 degrés,180 Grad,180 درجة
1D,1D,1D,دي75
2D,2D,2D,دي75
About,À propos de,Über,عن
About Krita,À propos de Krita,Über Krita,عن كريتا
Active Channels,Canaux actifs,Aktive Kanäle,الطّبقات النّشط
Add,Ajouter,Hinzufügen,أضف
Add Group...,Ajouter un groupe...,Gruppe hinzufügen ...,أضف مجموعة...
Add to Predefined Patterns,Ajouter aux modèles prédéfinis,Zu vordefinierten Mustern hinzufügen,أضف إلى النّقوش مسبقة التّعريف
