English,French,German,Arabic
"""Unique instance"" control",Commande de « Session unique »,Nur eine Instanz des Programms verwenden,"تحكم ""بالنسخة الفريدة"""
%1 (%2 bits),%1 (%2 bits),%1 (%2 Bit),%1 (%2 بت)
%1 (%2),%1 (%2),%1 (%2),%1 (%2)
%1 (substituting with %2),%1 (remplacée par %2),%1 (ersetzt durch %2),%1 (استبدل بـ %2)
%1 Properties,Propriétés de %1,%1-Eigenschaften,خصائص %1
%1 – Presentation,Présentation - %1,%1 – Präsentation,%1 – عرض تقديميّ
%v px,%v px,,%v بكسل
%v%,%v %,%1 %,%v٪
Add...,Ajouter...,Hinzufügen ...,أضِف
Align:,Alignement :,Ausrichtung:,حاذِ إلى:
Annotations,Annotations,Anmerkungen,الشروح
Appearance,Apparence,Erscheinungsbild,المظهر
Author:,Auteur :,Autor:,مؤلف:
Auto Fit,Adapter automatiquement,Automatisch einpassen,ملاءمة تلقائيّة
Bookmarks,Signets,Lesezeichen,علامات المواقع
Browse,Parcourir,Blättern,تصفّح
Color Mode,Mode de couleurs,Farbmodus,نمط الألوان
Color:,Couleur :,Farbe:,لون:
Continuous,Continu,Fortlaufend,مستمر
Copy Path,Copier un emplacement,Pfad kopieren,انسخ المسار
Default Font:,Police par défaut :,Standardschrift:,الخَط المبدئي:
Delete,Supprimer,Löschen,احذف
Edit,Édition,Bearbeiten,حرر
Edit...,Modifier...,Bearbeiten ...,حرر...
Embedded Files,Fichiers intégrés,Eingebettete Dateien,ملفات مضمنة
Extract Font,Extraire une police,Schrift entpacken,استخراج الخط
Facing Pages,Pages en face à face,Gegenüberliegende Seiten,صفحات متقابلة
File,Fichier,Datei,ملف
Fonts,Polices,Schriftarten,خطوط
Forget This Item,Oublier cet élément,Dieses Element vergessen,انس هذا العنصر
General,Général,Allgemein,عام
Go,Aller,Gehe zu,اذهب
Help,Aide,Hilfe,مساعدة
Import PostScript as PDF...,Importer du format « PostScript » comme du « PDF »...,PostScript als PDF importieren ...,استورد PostScript كـ PDF...
Invert Colors,Inverser les couleurs,Farben umkehren,أعكس الألوان
Magnifier,Magnifier,Lupe,المكبر
Name:,Nom :,Name:,الاسم:
Normal Colors,Couleurs normales,Normale Farben,ألوان عادية
Opacity:,Opacité :,Deckkraft:,التعتيم:
Open Containing Folder,Ouvrir le dossier contenant,Ordner mit diesem Inhalt öffnen,افتح المجلد الحاوي
Open Pop-up Note,Ouvrir une note épinglée,Notiz öffnen,افتح ملاحظة منبثقة
Orientation,Orientation,Ausrichtung,الاتجاه
Overview,Aperçu,Übersicht,نظرة عامة
Page Sizes,Tailles de page,Seitengröße,أحجام الصفحة
Page:,Page :,Seite:,صفحة:
Pen Width:,Largeur du pinceau :,Stiftbreite:,عرض القلم:
Properties,Propriétés,Eigenschaften,خصائص
Remove,Supprimer,Entfernen,أزِل
Save '%1'...,Enregistrer « %1 »...,Speichern „%1“ ...,احفظ '%1'...
Save As...,Enregistrer sous...,Speichern unter ...,احفظ ك...
