English,French,German,Arabic
Bundled,Intégré,Gebündelt,رزمة
Bundled (old),Intégré (ancien),Gebündelt (alt),رزمة (قديم)
Component Files,Fichiers de composants,Komponenten-Dateien,مكوّن الملفات
Editor,Éditeur,Bearbeiter,المحرر
Indexed (old),Indexé (ancien),Indiziert (alt),مفهرس (قديم)
Indirect,Indirect,Indirekt,غير مباشر
Publisher,Diffuseur,Veröffentlicher,الناشر
Single Page,Page unique,Einzelne Seite,صفحة مفردة
Type of document,Type de document,Dokumenttyp,نوع  المستند
Unknown,Inconnu,Unbekannt,مجهول
Volume,Volume,Satz,الحجم
