English,French,German,Arabic
"""%1"" may be available on the web. Software acquired from the web has not been reviewed by your distributor for functionality or stability. Use with caution.",Il est possible que « %1 » soit disponible sur Internet. Un logiciel trouvé sur Internet n'a pas été revu par les personnes en charge de votre distribution concernant ses fonctionnalités et sa stabilité. Veuillez l'utiliser avec précaution.,„%1” könnte im Internet verfügbar sein. So bezogene Software wurde von Ihrer Distribution nicht im Hinblick auf Funktionalität oder Stabilität geprüft. Verwenden Sie sie mit Vorsicht.,"يمكن أن يكون ""%1"" متوفرا على الويب. التطبيقات التي تجلب من الويب قد لا تكون مراجعة من قبل توزيعتك للاستقرارية والوظائف. استخدمها بحذر."
"""%1"" was not found in the ""%2"" category",Il est impossible de trouver « %1 » dans la catégorie « %2 »,„%1“ kann in der Kategorie „%2” nicht gefunden werden,"عثر على ""%1"" في التصنيف ""%2"""
"""%1"" was not found in the available sources",Il est impossible de trouver « %1 » dans les ressources disponibles.,„%1“ kann in den verfügbaren Paketquellen nicht gefunden werden,"لم يعثر على ""%1"" في المصادر المتوفرة"
%1 (%2),%1 (%2),%1 (%2),‏%1 (‏%2)
%1 - %2,%1 - %2,%1 - %2,‏%1 -‏ %2
%1 - %2: %3,%1 - %2 : %3,%1 - %2: %3,%1 - %2: %3
"%1 - %2: %3, %4 remaining","%1 - %2 : %3, %4 restant","%1 - %2: %3, %4 verbleibend",%1 - %2: %3، %4 بقي
%1 does not indicate under which license it is distributed. Contact the application's author if you want to use it for anything other than private personal use.,%1 n'indique pas sous quelle licence il est distribué. Veuillez contacter la personne responsable de l'application si vous souhaitez l'utiliser pour autre chose qu'un usage personnel privé.,"%1 gibt nicht an unter welcher Lizenz die Verteilung erfolgt. Der Autor der Anwendung sollte kontaktiert werden, wenn es nicht nur im privaten Bereich oder persönlich verwendet werden soll.",لا يشير %1 إلى الترخيص الذي وزع بموجبه. اتصل بمؤلف التطبيق إذا كنت ترغب في استخدامه لأي غرض آخر غير الاستخدام الشخصي الخاص.
%1 does not indicate under which license it is distributed. You may be able to determine this on the application's website. Find it there or contact the author if you want to use this application for anything other than private personal use.,%1 n'indique pas sous quelle licence il est distribué. Vous pourriez peut-être le déterminer sur le site Internet de l'application. Veuillez le chercher là ou contacter le responsable si vous souhaitez utiliser cette application pour autre chose qu'un usage personnel privé.,"%1 gibt nicht an unter welcher Lizenz die Verteilung erfolgt. Möglicherweise kann dies über die Internetseite der Anwendung ermittelt werden. Sofern dies nicht möglich ist, sollte der Autor kontaktiert werden, wenn es nicht nur im privaten Bereich oder persönlich verwendet werden soll.",لا يشير %1 إلى الترخيص الذي وزع بموجبه. قد تتمكن من تحديد ذلك على موقع الويب الخاص بالتطبيق. يمكنك العثور عليه هناك أو الاتصال بالمؤلف إذا كنت ترغب في استخدام هذا التطبيق لأي غرض آخر غير الاستخدام الشخصي الخاص.
%1 is not configured for installing apps through Discover—only app add-ons,%1 n'est pas configuré pour l'installation d'applications grâce à Discover— Uniquement des modules additionnels pour applications,%1 ist nicht für das Installieren von Anwendung über Discover eingestellt — nur Zusatzmodule für Anwendungen,التوزيعة %1 غير مضبوطة لتثبيت التطبيقات بواسطة المستكشف - فقط ملحقات التطبيقات
