English,Arabic,Description
A person has controlling interest,المسيطر او المستحوذ,مساهم يتملك غالبية الاسهم أو 51% من الأسهم و ما يزيد
A person has controlling interest,المسيطر او المستحوذ,مساهم يتملك غالبية الاسهم أو 51% من الأسهم و ما يزيد
Accounting cycle,الدورة المحاسبية,الخطوات المتبعة في تسجيل المعاملات التجارية والتي تبدأ بالتسجيل في دفتر اليومية ثم الترحيل إلى دفتر الأستاذ ثم إعداد ميزان المراجعة وتنتهي بإعداد البيانات المالية
Accounting Principles,مبادئ المحاسبة,مبادئ وقواعد تستخدم في قياس عناصر البيانات المالية والاعتراف بها والتقرير عنها
Accounting statement,بيان محاسبي,آخر ما ينتج عن عملية المحاسبة ويحتوي على موجز للأوضاع المالية. من أهم البيانات المحاسبية بيان الدخل والميزانية العمومية وبيان التدفقات النقدية
Accounting system,نظام محاسبي,الطرق والإجراءات والمعاييرالمستخدمة في تجميع وتسجيل وتصنيف المعاملات المالية وتقديم التقارير حولها، ويتضمن النظام أيضا السجلات المستخدمة ومصادر المعلومات، والأنظمة قد تكون يدوية أو آلية أو إلكترونية تستخدم الحاسب الآلي
Accounts Payable,حسابات دائنة,حسابات مستحقة الدفع هي عبارة عن حساب محاسبي يمثل إلتزام الشركة بسداد دين قصير الأجل إلى دائنيها. وفي كثير من الميزانيات العمومية، يظهر حساب الحسابات المستحقة الدفع تحت بند الخصوم المتداولة.
Accumulation,مرحلة التجميع,هي المرحلة التي تأتي بعد إنتهاء مراحل الإتجاه الهابط التي ذكرتها نظرية داو، فهي تعتبر أول مرحلة في الإتجاه الصاعد. تتسم هذه المرحلة أن الأسعار بها تكون منخفضة وتكون نفسية المتعاملين في أقصى درجات الإحباط والتشاؤم وتكون معظم القوائم  المالية للشركات سيئة وتكون أحجام التداول منخفضة للغاية ويبدأ الجمهور بالخروج من السوق والإبتعاد عنه وفي نفس الوقت يقوم بالتجميع في الأسهم المستثمرين ذو الرؤية الإستثمارية الجيدة والذكية.
Accumulative Voting,التصويت التراكمي,أسلوب تصويت يمنح كل مساهم قدرة تصويتية بعدد الأسهم التي يملكها، بحيث يحق له التصويت، بالسهم لصالح مرشح واحد فقط لعضوية مجلس إدارة الشركة، أو توزيعها بين المرشحين
Acquirer / Bidder/ Offeror,الشخص الراغب فى الاستحواذ أو المبادر أو مقدم العرض,الشخص الراغب فى الاستحواذ أو المبادر أو مقدم العرض
Acquisition,إستحواذ,عملية قانونية تتم بين شخصيتين اعتبارييتين على الأقل، بحيث يترتب عليها حصول احدهما على كل أو بعض حصص رأس مال احدى الشركات
Acquisition Cost (Takāful),تكلفة الشراء (التكافل),تكاليف أساسية تتحملها شركة التكافل لدى قيامها بأعمال جديدة مثل العمولات لوكلاء البيع، والاكتتاب وغيرها من نفقات الشراء.
