"AND gate", "بوابة القِران","دارةٌ رقْميةٌ يأخذ خرجُها القيمةَ 1، فقط عندما تكون قيمُ كل مداخلها مساويةً لـ 1.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3001, 4, 12
"Andrew File System", "نظام ملفات Andrew","انظر: AFS.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3002, 4, 12
"angle bracket", "قوس زاويّ","الرمز > أو الرمز <.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3003, 4, 12
"ferric oxide", "أكسيد الحديدي","المادةُ الكيميائيةُ Fe2O3. أحدُ أكاسيد الحديد، يُستعمَلُ مع وسيط رابط في الطلاء المغنطيسي للأقراص والشرائط لخزن المعطيات.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3004, 4, 12
"film recorder", "مسجل فلم","تجهيزةٌ للتسجيل على فلم 35 مم الصورَ المعروضة على شاشة الحاسوب.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3005, 4, 12
"fingerprint reader", "قارئ بصمات [الأصابع]","ماسحةٌ تَقرأ بصمات الإنسان لمقارنتها بقاعدة معطيات تحوي صورَ بصمات مخزَّنة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3006, 4, 12
"flat-panel display", "مظهار ذو لوحة مسطّحة","مظهارٌ فيديوي بعمقٍ مكاني ضحل، معتمد على تقانة مختلفة عن تقانة صمام الأشعة المهبطية CRT. تُستعمَلُ هذه المظاهيرُ عادةً في الحواسيب الحمولة. والأنواعُ الشائعة للمظاهير ذات اللوحة المسطحة هي: المظهارُ المضاء كهربائياً، والمظهارُ بالتفريغ في الغاز، والمظهارُ LCD.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3007, 4, 12
"flatbed plotter", "راسمة [ذات منصّة] مسطّحة","راسمةٌ يُمسَكُ فيها الورقُ على منصة مسطّحة، حيث يتحرّك قلمٌ على طول المحورين معاً، ويَتجوّل على الورقة ليرسم صورة. هذه الطريقة هي أدق بقليل من التي تَستعملها الراسماتُ ذات الأسطوانة حيث تحرِّك الورقةَ تحت القلم، ولكنها تتطلب مساحة أكبر. ويمكن أيضاً للراسمات المسطحة أن تتقبل أنواعاً متعددةً من المواد، مثل الورق الرقّي vellum، حيث لا حاجة إلى أن تكون المواد مرنة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3008, 4, 12
"flatbed scanner", "ماسحة [ذات منصّة] مسطّحة","ماسحةٌ ذاتُ سطح شفّاف مسطّح يمسك بالصورة المراد مسحها، (كتاب أو وثيقة ورقية). يتحرّك رأسُ المسح الموجود تحت السطح عبر الصورة. تستطيع بعضُ الماسحات المسطحة أيضاً نسْخ وسائط شفافة، مثل الشفائف slides.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3009, 4, 12
"flicker", "رفيف","تَقلّبٌ سريعٌ ومرئيٌّ في صورة الشاشة، كما في التلفاز أو مرقاب الحاسوب. يَحدثُ الرفيفُ عندما تُنعش (تُحَدَّث) الصورةُ بمعدل أقل من اللازم، بحيث لا تلاحظ العين مستوى مستقراً من السطوع. في التلفاز ومظاهير المسح التسامتي، لا يلاحَظ الرفيفُ إذا كان معدل الإنعاش 50 إلى 60 مرة بالثانية. وفي المظاهير المتشابكة (حيث تُجدَّد أسطرُ المسح الفرديةِ الترقيم في عملية المسح الأولى، والأسطر الزوجية الترقيم في عملية المسح التالية)، يبلغ معدّل الإنعاش الفعلي دون رفيف 50 إلى 60 مرة بالثانية، فتبدو الأسطر ممروجة merged، مع أن كلَّ سطر يُحدَّثُ في الواقع بمعدّل 25 إلى 30 مرة بالثانية فقط.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3010, 4, 12
"font cartridge", "حافظة (كِنانة) بنوط","وحدةٌ مقبسيّة تتوفَّر في بعض الطابعات، تحوي بنوطاً بعدّة أنماط ومقاسات مختلفة. تمكّن حافظاتُ البنوطِ (مثل البنوط القابلة للإتيان بها) الطابعةَ من إنتاج محارفَ ذاتِ أنماط ومقاسات مختلفة عن تلك المنشأة بالبنوط المضمَّنة فيها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/3011, 4, 12
