A Posteriori,مابعدي
A Priori,ماقبلي
A Priori Pessimism,نزعة تشاؤمية قبلية
Abrogation,إقصاء
Abyss,هاوية
Active Thought,فكر فاعل
Aesthetics,جماليات/ فلسفة الجمال
Africanness,أفريقوية
Alienation,اغتراب
Alterity,تغير/ غيرية
Ambivalence,ازدواجية، تضارب/ تأرجح بين نقيضين
Anagram,جناس تصحيفي
Analogy,قياس التماثل
Anomaly,حالة شاذة
Anonymity,غفلية
Antagonism,عداء
Anthology,مجموعة مقتطفات/ دارسات
Anthropology,إناسة
Anti-Idealism,مناهض للمثالية
Anti-Platonism,مناهض للأفلاطونية
Applied Rationalism,عقلانية تطبيقية
Appropriation,استيعاب
Arbitrariness,طبيعة اعتباطية
Archaeology of Knowledge,أركيولوجيا المعرفة
Architextuality,نصية رئيسية
Archives,سجلات (أرشيف)
Argument,حجة
Artillery,مدفعية
Aspectuality,نظرة من جانب معين
Assumptions,فروض
Aura,هالة
Axiomatic Method,طريقة بديهية
Axiomatically,بديهي
Banality,تفاهة
Barren,عاقر
Being,كينونة
Binary Code,شفرة ثنائية
Binary structuration,بنيوي ثنائي
Biographer,كاتب السير الذاتية
Canonical,معياري
Capitalism,رأسمالية
Caprice,نزوة
Categorical Imperative,التزام أو إلزام مطلق
Category,فئة
Centre,مركز
Chronic,مزمن
Chronotope,إطار زماني/ مكاني
Cinematographic Signifier,دالة متعلقة: بالتصوير السينمائي
Closure,خاتمة
Code,شفرة
Cognitive Capacity,قدرة معرفية
Collage,مجموعة ملصقات
Colonialist criticism,نقد كولونيالي
Colony,مستعمرة
Communicative Action,فعل تواصلي
Complicity,تورط
Conceptual,مفاهيمي
Conceptualization,صياغة المفاهيم
Concrete,عيني
Condensation,تكثيف في نشاط الأحلام
Conditional culture,ثقافة مشروطة
Conflictual Action,فعل متعارض مع النظام الاجتماعي
Connotation,معنى، مضمون، مفهوم
Content,محتوى
Context,سياق
Contingency,عرضية، طروء
Continuity,اتصالية
Conversion,تحول
Cross-cultural,عبر ثقافي
Cross-cultural imagination,خيال عبر الثقافي
Cross-national,عبر قومي
Decentring,إزاحة عن المكان
Decolonization,تخلص من الكولونيالية
Deconstruction,تفكيك
De-Doxification,تجريد الشيء من طبيعيته وثوابته
De-Doxifing,تجريد الشيء من طبيعيته
Deduction,استنتاج
Deferral,إرجاء
Demonstration,برهنة
De-Naturalization,تجريد الشيء مما يعتبر صفاته الطبيعية
Denotation,دلالة
Derelict,منبوذ
Determinism,حتمية
Detractor,منتقص من قيمة الشيء
Diachronic,تعاقبي
Diagesis,خطاب السرد بدون الكلام المباشر
Dialectic,جدلية
Dialectical Materialism,مادية جدلية
Dialogical,رواية قائمة على الحوار، حواري
Dialogism,حوارية
Dialogue,حوار
Difference,اختلاف
Differential,تفاضلي، تمايزي
Digitalization,طريقة رقمية في التشفير
Diglossic,ثنائية اللغة
Discontinuity,لاتاصالية
Discourse,خطاب
Discursive Practices,ممارسات خطابية
Discursive Subject,ذات خطابية
Dislocation,نزوح عن المكان/ خلع
Displacement,إزاحة/ انسلاخ
Distinctive Feature,سمة مميزة
Dogmatic,عقائدية جامدة
Doxa,عقيدة ثابتة
Duplex Structure,بنية مزدوجة
Duration,ديمومة
Dynamic,متحرك بحيوية
Economic Determinism,حتمية اقتصادية
Ego,الأنا
Elitism,حكم النخبة
Eloquence,بلاغة
Embodied Experience,تجربة متجسدة
Emigration,هجرة للإقامة في بلاد أخرى
Empiricism,تجريبية
Enactment,أداء اللغة
Englishness,إنجليزوية
Enlightenment,عصر التنوير
Epigraph,كتابة منقوشة على مبنى أو تمثال
Epistemological break,قطع معرفي
Epistemology,نظرية المعرفة
"Epoche, Bracketing",توقف ويسمى أيضا « بين قوسين »
Eroticism,مذهب جنسي (شهواني)/ شبق
Essences,ماهيات
Essentialism,نزعة جوهرية
