A posteriori,بعدي
A priori,قبلي
Aberration,انحارف، زوغان
Abstraction,تجريد
Accelerated Motion,حركة تسارعية
Accident,عرض
Actuator,مشغل
Ad infinitum,إلى مالانهاية
Adaptation,تكيف
Adaptive,تكيفي
Affinity,قرابة
After The Bang (ATB),بعد الانفجار الهائل (بعد لحظة بداية الكون)
AIDS,إيدز (مرض)
Algebraic Geometry,هندسة جبرية
Aliases,كنايات
Amplitude of Waves/ Wave Amplitude,سعة الموجة
Analog speaking,تكلم قياسي
Analytic,تحليلية (قضية)
Anomaly,خروج عن المألوف
Antecedent,مقدم
Antenna,هوائيات
Anthology,مقتطفات أدبية مختارة
Anthropic Principle,مبدأ بشري
Anthropology,أنثروبولوجيا
Antibody,جسم مضاد
Antimatter,مادة مضادة
Antiparticles,جسيمات مضادة
Antiquarks,كواركات مضادة
Antistrings,أوتار مضادة
Ape-man,إنسان قرد
Application programs,برامج تطبيقات ( مبرمجات التطبيق)
Application software,مبرمجات التطبيق
Applications interface (API),واجهة التعامل مع التطبيقات
Aristotelianism,مذهب أرسطو
Articulation,ربط
Artificial intelligence (AN),ذكاء صناعي أو اصطناعي
Association,ترابط
Associative,ترابطي
Astronomers,علماء الفلك
Atavism,ارتداد
ATB,بعد لحظة الانفجار الهائل (بعد لحظة بداية الكون)
Atomic Statement,قضية ذرية
Atoms,ذارت
Augmented reality,واقع معزز
Automation,أتمتة
Axiom,بديهية
Bacterium,بكتيريا
Band width,عرض النطاق، سعة الإرسال في قناة اتصال
Behavior,سلوك
Behaviorism,سلوكية
Bell Curve,منحنى الجرس
Biconditional,شرطية مزدوجة (قضية)
Big Bang,انفجار هائل (بداية الكون)
Big Crunch,انهيار هائل
Binary Stars,نجوم مزدوجة
Bins & buckets,خانة و أوعية
Bioethics,أخلاقيات بيولوجية
Biogenetic,نشوء حيوي
Biology,بيولوجيا
"Black Hole ""Designer""",ثقوب سوداء (ديازينر)
Black Hole Entropy,أنتروبية الثقب الأسود
Black Holes,ثقوب سوداء
Blue print,طبعا زرقاء (تصميم هندسي)
Boot up,إعداد لبدء الشغل
"Boson, Spin of",حركة مغزلية للبوزونات
"Bosonic, String Theory",نظرية الأوتار البوزونية
Bottom Quarks,كواركات قاع
Bound Variable,متغير مقيد
BPS States,BPS حالات
Brood band,نطاق عريض
Browser,متصفح الملف
Calabi-Yau Spaces (Shapes),فارغات (أشكال) كالابي – ياو
CAMs,كامس (جزيئات لصق الخلايا)
Canons,قواعد
Cardiovascular Disease,مرض القلبي الوعائي
Categories,فئات
Category,مقولة، صنف
Cell telephone,تليفون خلوي(محمول)
Chaos,فوضى
Chaos Theory,نظرية شواشية
Charm Quark,كوارك أنيق
Chat,دردشة
Chirality,كيارلية (كفية)
Chloroplast,كلوروبلاست
Chromosome,كروموزوم
Circuitry,دورة عمل
Circular,حلقة مفرغة (دائرية)
Classes,أصناف
Cloning,استنساخ
Coaxial cable,كابل متحد المحور
COBE (Cosmic Background Explorer),قمر صناعي لاختبار الخلفية
Cognition,إدراك معرفي
Cognitive,مدرك معرفي
Cognitive Powers,قدارتمعرفية
Coherent State of Strings,حالة متماسكة للأوتار
Collab editor,محرر تعاوني
Collaboration,تعاون
Color wheel,عجلات اللون
Compiler,مترجم حاسوبي
Computing,حوسبة
Concatenation,سلسلة
Conditional,شرطية (قضية)
Conifold Transitions,تحولات مخروطية
Conjecture,تخمين
Conjunction,اقتران/ عطف/ وصل
Consequent,تالي
Consistency,اتساق منطقي (عدم تناقض)
Constant-Velocity Motion,حركة ثابتة السرعة الموجهة
Contingency,حدوث طارئ
Contingent,طارئ/ عارض
Correlations,علاقات ترابط
Cosmic Background Radiation,خلفية إشعاعية كونية
Cosmic Rays,أشعة كونية
