(M) [Inscule],"حرف صغير (لكتابة الحرف الغربي الذي بدأ استعماله
في القرن التاسع الميلادي في بيزنطية)"
(U) [nicials],"الحرف الكبير الذي كان مستعملا للكتابة اليونانية
حتى القرن التاسع الميلادي"
A Chaotic World,عالم فوضوي
A historical Functionalism,وظيفة لاتاريخية
A historical Positivist Sociology,علم اجتماع وضعي لاتاريخي
Ab Origine,في البدء/ في الأصل
Abacus,معداد - جهاز مبسط للإحصاء
Aberration,زيغ (حيود)
Abortion,إجهاض
Abrahamic religions,الديانات الإبارهيمية
Abscissa,إحداث سيني
Absentee,مالك لا يقيم على أملاكه
Absolute Advantage,ميزة مطلقة
Absolute Poverty,فقر مطلق
Absolute Space,مكان مطلق
Absolutism,شمولية/ حكم مطلق
Absolutist,مطلق / استبدادي
Abstension,تعفف
Abstinence (Rule of),امتناع (قاعدة)
Abstract Art,فن تجريدي
Abstract Expressionist Painting,رسم تعبيري تجريدي
Abstract Painting,رسم تجريدي
Abstraction,تجريد
Absurd,عبثي
Abundance,وفرة
Academia,أهل العلم
Academicism,نزعة أكاديمية
Accelerated Depreciation,إهلاك معجل
Acceleration,تسارع
Access,وصول
Accessory,عرضي/ رديف
Accountability,مرجعية المحاسبة
Acculturation,مثاقفة/ غزو فكري/ غزو ثقافي
Accumulation,تراكم مفرط
Acid Rain,مطر حمضي
Acidity,حموضة
Acquisition,اكتساب
Act of Settlement,قانون التوطين
Action ( Catholic),إجراء / تحرك
Activated,ناشط
Active Actors,ذوات فاعلة
Activity Exchanges,تبادل أنشطة
Actos de Fe,أفعال إيمانية
Ad Hoc,مخصص لهدف محدد
Ad Hoc Regime,نظام مؤقت
Adjustment,تكيف
Administration,إدارة
Adolescent Capitalism,رأسمالية يافعة (حقبة ما بعد نظام الإقطاع)
Advantage of Spatial Agglomeration,ميزة تكتل مكاني
Adventist,مجيئي
Advisory Bodies,هيئات استشارية
Advocates,أنصار، مدافعون
Aegis,درع/ حماية
Aerospace and High-Speed Transit,فضاء خارجي ونقل سريع
Aesthete,محب للجمال
Aesthetic,جمالي(أستطيقي)/ جمالوي/ ذاتوي
Aestheticization,تجميل
Aesthetics,علم الجمال/ جمالية/ ذاتوية
Affectessless,تبلد الأحاسيس
Affections,عواطف
Affective Mental Processes,عمليات عقلية عاطفية
Africanists,مستفرقون(دارسي أفريقيا وحضاراتها)
Age of Access,عصر الوصول
Age of Reason,عصر العقل (أوروبا ـ القرن18)
Agents of Capitalism,وكلاء الرأسمالية
Aggiornamento,تجديد
Aggregate Input,مدخلات كلية
Aggregate Output,ناتج إجمالي/ إجمالي الناتج
Aggression,اعتداء
Agnostic,لاأدري
Agnosticism,لا أدرية
Agonic model,نموذج انطباقي
Agonistic,لا أدري: مذهب الشك الفلسفي
Agrarian bourgeoisie,بورجوازية زراعية
Agrarian Bureaucracy,بيروقراطية زراعية
Agrarian capitalism,رأسمالية زراعية
Agrarian Capitalism,رأسمالية زراعية
Agrarian Law,قانون الأراضي
Agrarian Reforms,إصلاح زراعي
Agrarian Society,مجتمع زراعي
Agrarianism,إصلاح زراعي
Agrariann reform,إصلاح زراعي
Agricultural Cycle,دورة زراعية
Agricultural Surplus,فائض زراعي
Agriculture,زراعة
Aib (shame),عيب
Al-ğadaliyyũn,جدليون
Algebra,الجبر (أسسه الخوارزمي في القرن4ه/ 10م)
Algorismus,عد عشري(في الحساب)
Alienation,استلاب/ اغتارب/ انخلاع
Alienation Effect,مؤثر التغريب
Alienation of Property,تحويل الملكية
All-Covering,باسط
Allegiance,ولاء / إخلاص
Allegory,كناية
Alliance,حلف
Allocation of Resources,توزيع الموارد
Allusions,إيحاءات
Alternation,تناوب
Alternative Channels of Communication,قنوات اتصال بديلة
Alternative Economic Development,تنمية اقتصادية بديلة
Amalgam,مزيج - خليط
Amalgamation,اندماج
Ambivalence,تجاذب وجداني
Ambivalence/ Unintelligibility,إبهام
Amenity Migrants,مهاجرون في سبيل الارحة
American Civil Liberties Union (ACLU),الاتحاد الأمريكي للدفاع عن الحريات المدنية
American Colonical Empire,امبارطورية استعمارية أمريكية
Americanism,أميركوية
Americanization,أمركة
Amoral Familism,نزعة عائلية أخلاقية
Amorality,إنعدام البعد الأخلاقي
Anachronistic,حدث في غير زمانه
Analogical,قياسي
Analogy,مماثلة/ تشبيه
Analysis,تحليل
Analytic,تحليلي
Analytic History,تاريخ تحليلي
Analytic-Synthetic,تحليل تركيبي
Anarchism,فوضوية
Anarchy,فوضى
Ancient Régime,نظام قديم (السابق على قيام الثورة الفرنسية)
Anecdote,نادرة
Angelism,ملائكية
Anglican,أنكليكاني
Anguish,كرب
Animism,أرواحية/ إحيائية
Annihilation of Self,فناء النفس
Annual Parliament,برلمان يجدد انتخابه سنويا
Anomie,خلل اجتماعي/ متفكك
Antagonism,تضاد/ تنافر
Anthology,أنطولوجيا
Anthropocentric,متمحور حول الانسان
Anthropologist,إناسي
Anthropology,علم الإنسان/ علم الأنام/ أنثروبولوجيا/ إناسة
Anti _ Semitism,عداء للسامية
Anti _ Thesis,أطروحة مضادة
Anti capitalism,معاداة الرأسمالية
Anti capitalist Movements,حركات معادية للرأسمالية
Anti capitalist Outlook,نظرة معادية للرأسمالية
Anti modern,مناهض للحداثة/ معاد للحداثة
Anti- Rhetorical,مناهض للبلاغة
Anti statist,مناهض للنظام
Anticlericalism,الحركة المناهضة للإكليروس
Anticolonial,مناهض للاستعمار
