‘Syn’-Tax,نحوي متزامن
‘Syn’-Thesis,تخليق متزامن
A 2 - Position,موقع - ض 2
A 2 -Chain,سلسلة - ض 2
A 2 -Movement,حركة - ض 2
Abandonment neurosis,عصاب الهجر
Aberrant Decoding,فك تشفير مستبعد
Ablative,حالة مجاوزة
Abreaction,تصريف
Absent Signifiers,دالات غائبة
Absolute Nothingness,عدم مطلق
Abstinence (rule of -),امتناع (قاعدة الـ )
Abstract,مجرد
Abstraction,تجريد
Abuse,تعسف
Abusive Fidelity,أمانة مستفزة
Abyss,(هوة) ما قبل التكوين
Acceptability,مقبولية
Accessible,متاح
Accusative,حالة نصب
A-Chain,سلسلة - ض
Acrolect,لهجة وسطى
Acronym,مقتطع هجائي، لفظة أوائلية
Act of Interpreting,فعل التفسير
Act of Translating,فعل الترجمة
Acting out,تفعيل
Active technique,تقنية نشطة
Activity - passivity,نشاط - سلبية
Actual neurosis,عصاب راهن
Actualization,فعلنة
Adaptation,تطويع
Addition,زيادة
Additional Instance,مثال إضافي
Addresser and Addressee,متكلم ومخاطب
Adequacy,وفاء (بالنص)
Adjective,نعت، صفة
Adjunct,ملحق
Adorned Translation,ترجمة مزركشة
Adverb,ظرف
Advocacy groups,مجموعات التأييد والموالاة
Aesthetic (s),جمالي/ جماليات
Aesthetic Theory,نظرية جمالية
Affect,انفعال
Affirmative Deconstruction,تقويضية إيجابية
Affirmative Productivity,إنتاجية إيجابية
Affixation,إلصاق
Afrikaners,أفريقيون من أصل أوروبي
Age Systems,أنظمة السن
Agency,ركن/ سلطة
Agent,منفذ
Agglutination,التصاق، نحت الإلصاق
Aggrandizement,مبالغة
Aggregation,تجمع
Aggressive instinct,نزوة العدوان
Aggressivity,عدوانية
Agit-Prop Theatre,مسرح التهيج الدعامي
Agreement,تطابق
Ahistorical,لاتاريخي
Aim (instinctual-),هدف نزوي
Aim inhibited,مصدود الهدف
Alienation Effect,أثر تغريبي
Allegorical Text,نص - أمثولة
Allegory,قصة رمزية
Alliteration,جناس استهلالي
Allo-erotism,غلمة غيرية
Allomorphy,بديلة صرفية
Alteration of the ego,إلتياث الأنا
Alternative,بديل
Ambiguity,غموض/ لبس
Ambiguous,ملبس/ غامض
Ambivalence,تجاذب وجداني
"Ambivalent pre-ambivalent post-
ambivalent",متجاذب وجدانيا سابق للتجاذب لاحق للتجاذب
A-Movement,حركة - ض
Anachronism,خطأ تاريخي، مفارقة تاريخية
Anaclisis,استناد
Anaclitic attachment,اتكالي
Anaclitic depression,اكتئاب اتكالي
Anaclitic type of object choice,اختيار الموضوع بالاستناد
Anagogic interpretation,تأويل روحاني
Anagram,جناس تصحيفي، جناس القلب
Analogue Oppositions (Antonyms),تقابلات نظيرية/ تضادات
Analogue Signs,إشارات نظيرية
Analogy,قياس
Anal-sadistic stage,مرحلة سادية شرجية
Analytical Competence,كفاءة تحليلية
Anaphony,تكرار الكلمات
Anaphor,عائد
Anaphora,إحالة، تكرار توكيدي
Anchorage,إرساء
Animacy/ Vitality,حيوية
Anoriginality,لاأصل
Antecedent,سابق
Antecedent Contained Deletion,حذف يحتوي سابق
Antecedent Government,عمل بالسابق
Anthropology,أنثروبولوجيا
Anthropophagy,تآكل أنثربولوجي
Anticathexis,توظيف مضاد
Anxiety hysteria,هستيريا القلق
Anxiety neurosis,عصاب القلق
Apartheid,تمييز عنصري
Aphanisis,زوال الشهوة/ إصفاء
Aphasia,قرائية/ عي (فقدان القدرة على الكلام)
A-Position,موقع - ض
Apparatus,جهاز
Appellative function,وظيفة الاستمالة
Apposition,بدل، عاطف بيان
Approximative equivalence,تكافؤ تقريبي (كلمة تكافئ جزءا من كلمة)
Arbitrariness,اعتباطية
Arbitrary,عشوائي/ اعتباطي/ استنسابي/ كيفي/ تحكمي
Archaism,لفظة عتيقة أو مهجورة، إحياء المهجور/ إغراب لفظي
Archi-Originatory Intactness,خلوص أصيل قديم
Argot,أرغة
Argument,موضوع
Argument Structure,بنية موضوعية
Armature,درع
Armed gangs,عصابات مسلحة
Art,فن
Art-for-Arts Sake,فن للفن (نظرية)
Articulation,نطق، لفظ، تمفصل
Articulation of Codes,تمفصل شيفرات
Articulatory- Perceptual,تلفظي - إدراكي
Aspect,جهة/ هيئة، صيغة الفعل (وخاصة لتبيين مدة الفعل)
Assignment,تكليف
Assimilation,تماثل
Association,تداع/ ترابط/ جمعية
Associative relations,علاقات ترابطية
Assonance,سجع الصوائت، تجانس صوتي
Asymmetrical,غير متماثل
Atheoretical,لانظري
Attention (evenly) suspended,انتباه (عائم)
Attention (Suspended),انتباه (عائم)
Attentive Mind - Changing,عدول يقظ
Attrition Language,تآكل اللغة
Audience,جمهور
Author - Function,مؤلف -وظيفة
Auto-erotism,غلمة ذاتية
Automatic anxiety,قلق ﺁلاتي
Autonomy,حكم ذاتي مستقل
Autoplastic - alloplastic,مطاوعة ذاتية - تطويع الغير
Auxiliary,مساعد (فعل مساعد)
Auxiliary Verb,فعل مساعد
Axiomatic,بديهي
Back - Transformation,تحويل ارتدادي
Backgrounding,تبعيد
Back-Translation,ترجمة ارتدادية
Base-Component,مكون- أساس
Base-Generated,مولدة في الأساس
Basilect,أساس لهجي
Battery,منظومة وسائل تحليلية
Behavior,سلوك
Being conscious,وعي (نفساني)
Biculturalism,ثنائية ثقافية
Biennial,كل سنتين
Bigotry,تعصب أعمى
Bilingualism,ثنائية لغوية
Binarism,ثنائية
Binary,مثنوي
"Binary Oppositions (or Digital
Opposition)",تقابل ثنائي (أو تقابل رقمي)
Binding,ارتباط
Binding Theory,نظرية ربط
Biology,بيولوجيا
Bisexuality,ثنائية جنسية
Blank Verse,شعر مرسل
Bloodletting,إراقة دماء
Body,جسد
Bond workers,رابطة العمال
Borderline Case,حالة بينية
Boundary,حد
Bounding,فاصلة
Breakthrough of the repressed,عودة المكبوت
Brevity,إيجاز (خاصية مميزة)
Bricolage,اقتطاف
Brief-Translation,مذكرة الترجمة
Broadcast Codes,شيفرات واسعة الانتشار
Brokerage,سمسرة/ ترويج
Buffering,حجز/ منع
Bulwark,حصن
Burdensome,مرهق
Bureaucracy,بيروقارطية
Candidate,"مرشح ""للانتخاب"""
Cannibalism,هجنة
Cannibalistic,افتراسي
Cannibalistic Theory,نظرية الهجنة
Cannibalization,تهجين
Canon,معتمد/ مدونة معتمدة
Canonical Text,نص معتمد
Capitalism,رأسمالية
Case,حالة إعرابية/ حالة إعراب
Case Filter,مرشح حالة إعرابية
Case Theory,نظرية حالة إعرابية
Caste,طبقة اجتماعية
Castration complex,عقدة الخصاء
Casualties,إصابات/ ضحايا
Catachresis,مجاز شاذ، لحن
Catalyst,مادة حفازة (كيمياء)
Cataphor,إلماع، إشارة
Categorial,قاعدي
Categorical,فصيلية
Categories Universal,مقولات جامعة/ كليات
Cathartic (therapy or method-),تفريج (طريقة أو علاج- )
Cathartic method,تفريج (طريقة تفريجية)
Cathectic energy,طاقة التوظيف
Cathexis,توظيف
Caudillos,زعماء
Causal connection,علاقة سببية
C-Command,تحكم مكوني
Celebrity,مشاهير
Censorship,رقابة
Chagrin,كدر
Chain,سلسلة
Change,تغير
Channel,قنال
Character neurosis,عصاب الطبع
Charade,تمثيلية مصطنعة
Chattel,أملاك منقولة
Choice of neurosis,اختيار العصاب
Citizenship,مواطنة
City,مدينة
Civil liberties,حريات مدنية
Civilization,حضارة
Claimants,مطالبون
Clan,عشيرة
Class,طبقة
Clause,عبارة جملية/ جملة
Clause Bounded,محددة ضمن عبارة جملية
Clientelism,محسوبية
Cloacal theory,نظرية حشية
Clusters,مجموعات
Code (s),شفرة/ شيفارت
Code-switching,تحول شيفري/ تغيير شفري
Codification,تثبيت تشفير /إشفار
Coding,تشفير
Coercion,قمع/ إكاره
Cognitive Psychology,علم النفس المعرفي
Cognitive Science,علم معرفي
Coherence,حبك (محتوى مفهومي)
Cohesion,تماسك
Colonialism,استعمارية/ استعمار
Combination Axis,محور المزج
Combined parents,والد مزيج/ والدين ممتزجين (صورة الـ- )
Commodity,سلعة
Communication,اتصال
Communicatively Oriented,ذو توجه اتصالي
Communities of taste,أذواق و ميول مشتركة
Community,مجتمع/ جماعة/ عشيرة
Commutation Test,اختبار إبدال
Competence,مقدرة، كفاية
Competence Oriented,ذات توجه إلى الكفاءة (نظرية)
Competent Reader,قارئ كفء
Complement,مكمل
Complemental series,سلسلة مكملة (سلاسل- )
Complementarity,تكاملية
Complementary Distribution,توزيع تكاملي
Complementizer/ Infinitival,مصدري
Complex,عقدة
Complex of Norms,تركيبة معايير
Complex Sign,إشارة مركبة
Component or partial instinct,نزوة جزئية
Compositional Concept,مفهوم إنشائي
Compromise,تسوية وحل وسط
Compromise - form,تكوين تسوية
Compromise formation,تكوين تسوية
"Compulsion, compulsive",اضطرار/ اضطراري/ قهري
Computation,حوسبة
Conative Function,وظيفة نزوعية
Concept,تصور
Concept Underlying,مفهوم مستتر
Conceptual Scheme,مخطط تصوري
Conceptual-Intensional,مفهومي - حدودي
Conceptualization,صياغة تصورية
Conceptualizing,صورنة (وضع تصور، وضع مفاهيم)
Concession,تسليم
Concordat,اتفاقية بين البابا وحكومة ما
Condensation,تكثيف
Conditional,شرطي
Conduit metaphor,استعارة توصيلية أو أنبوبية
Configuration,تموضع/ تشجيرة/ تشكيلة
Conflict,صراع
Conforming,مشاكلة
Conformity,انسجام و طاعة
Congruence/ Identity,تطابق
Conjectures,حدس
Conjunct,عنصر متعاطف
Conjunction,عطف/ ربط
Connotation,دلالة ضمنية/ إيحاء، تضمين، ظل المعنى
Conscription,تجنيد إلزامي
Conservatism,محافظة
Considerations of representability,قابلية التصوير (أخذ قابلية التصوير بعين الاعتبار)
Consonant,صامت
Constellations,مجموعات/ تمركزات
Constituency,دائرة انتخابية
Constituent,مكون
Constitution of the Subject,تكوين موضوعي
Constraint,تقييد
Constrative,متباين/ متقابل/ متغاير
Construction,بنيان/ تركيب
Construction,بنيان/ تشييد
Constructional Function,وظيفة تركيبية
Consultation,تشاور
Consumption,استهلاك
Content,مضمون
Content Derivative,اشتقاق مضموني
Contextualized,مقترن بالسياق
Contiguity,تجاور
Contingent,طارئ
Continuum,سلسلة متصلة
Contortion,التواء (ظاهرة ترجمية)
Contour,خط كفافي
Contraction,قبض (ظاهرة ترجمية)
Contrarian,من يوظف أموالا خلافا للرأي العام
Control,يراقب
Controlled,مراقب
Conventionalism,اصطلاحية
Conventionality,اصطلاحي
Conversion,إقلاب
Conversion hysteria,هستيريا الإقلاب
Copula,فعل اربط
Copy,نسخة
Core,نواة/ لب
Core Structure,بنية صميمية
Corpus,متن
Correspondence,تماثل/ تطابق
Correspondence Rule,قاعدة توافق
Corruption,فساد، تحريف
Counter - transference,نقلة مضادة/ طرح مضاد/ تحويل مضاد
Counter Memory,ذاكرة مضادة
Country,بلد
Covert,مستتر
Creative Transposition,نقل إبداعي
Creole,كريول/ لغة هجين
Creolization,تهجين لغة
Creolized Creole,كريول هجين
Creolized Language,لغة هجينة
Criticism,نقد
Cross Fertilization,تلاقح
Cultural Dependency,تبعية ثقافية
Cultural turn,منعطف ثقافي
Cultural-Relativism,نسبية ثقافية
Culture,ثقافة
Cybernetics,علم التحكم
"Damming up of libido /Damming up the
libido",انحباس لبيدي/ احتباس اللبيدو
Data Bank,بنك معطيات
Database,قاعدة معطيات
Dative,حالة مستفيد
Day’s residues,بقايا نهارية
Daydream,حلم يقظة
De Coding,حل الشفرة
Death instincts,نزوات الموت
Deautomizaion,سلب اﻵلية
Decay,تضاؤل/ تفسخ
De-centering,سلب المركزية (نفي)
Deciders,أصحاب القرار
Decoding,فك تشفير
Deconstruction,تفكيك/ تقويضية
Decrement,نقصان
Decreolization,فك الهجنة
De-democratization,إطاحة الديمقارطية
Deep Structure,بنية باطنة
Defamiliarization,تعجيب
Defence,دفاع
Defence hysteria,هستيريا الدفاع
Defence mechanisms,أواليات الدفاع (أوالية)
Defence psycho-neurosis,نفاس الدفاع
Definite,دقيق
Definite Descriptions,أوصاف محددة
Deformation,تشويه الشكل
Defunct,ميت
Deixis,إشارية، إشارة
Deleterious,ضار
Deletion,حذف
Deliberative,متأن
Delirium,هذيان
Demise,زوال
Democracy,ديمقارطية
Democratization,إقامة الديمقارطية
Demolinguistic,لسانيات ديموغارفية
Denaturalization,إزالة تطبيع
Denotation,دلالة تعريفية/ دلالة ذاتية، معنى حرفي
Denotatum,مسمى
Depleted,مستنفد
Deposits,مخزونات
Depressive position,وضعية اكتئابية
Derivative of the unconscious,مشتقات اللاوعي
Descriptive,وصفي
Descriptive Linguistics,لسانيات وصفية
Designation,دلالة تعيينية
Designatum,مشار إليه
Desire,رغبة
Destructive instinct,نزوة التدمير
Destructure,تفكيك
Determiner,حد
Determiner Phrase (DP),عبارة حد (ع حد)
Development,نشوء/ تنمية
Deviant Form,شكل معدول
Deviant Language,لغة معدولة
Devoicing,سلب الصفة الصوتية
Diachronic,تطوري، تاريخي/ زماني (تعاقبي)
Diachronic Analysis,تحليل زماني
Diachrony,تعاقب/ تطور أو تاريخ لغوي
Diacritics,إشاريات
Dialect,لهجة
Dialectology,علم اللهجات
Dialogic,تحاوري
Diapherein,أنجز النقل
Diaspora (s),شتات/ مناطق الشتات
Dichotomy,ثنائية/ تشعيب ثنائي (قسمة ثنائية)
Diction,معجم
Differed action,بعدي/ مؤجل/ لاحق
Difference,اختلاف
Digital Signs,إشارات رقمية
Diglossia,ازدواجية لغوية
Diminished democracy,ديمقارطية ناقصة
Diminution,إقلال من
Direct analysis,تحليل مباشر
Direct Object,مفعول مباشر
Directness of Address,مباشرية المخاطبة
Disability,إعاقة/ عدم القدرة
Discharge,نسق تفريغ/ تفريغ
Disciplinary Matrix,مصفوفة تخصصية
Discipline,انضباط
Discontinuity,انقطاع
Discourse,خطاب
Discourse Community,مجتمع خطاب
Discourse Theory,نظرية الخطاب
Discourse-Linked,مرتبطة خطابيا
Discretionary,استنسابي
Disequilibrium,افتقاد التوازن(سمة تعبيرية)
Disfranchised,محروم من حق التصويت
Disheveled,مشعثون(جماعة)
Displacement,إزاحة
Dispossession,نزع الملكية
Disruption,تمزق
Distinction Theoretical,تمايز نظري
Distortion,تحوير/ تشويه
Distraction,التهاء/ تحول
Dogmatism,تصلب الفكري
Domestication,تدجين
Dominant,مهيمن
"Dominant (or Hegemonic) Code and
Reading",شيفرة وقراءة سائدتان مهيمنتان
Dominant Language,لغة مهيمنة
Dominate,يهيمن
Dominion,دولة مستقلة ضمن الكومنولث
Double Articulation,تمفصل مزدوج
Double Question,سؤال مضاعف
Dream - Work,عمل الحلم
Dream Screen,ستارة الحلم
Drug runners,تجار المخدارت
D-Structure Deep Structure,بنية عميقة (بنية – ع)
Dualistic Representation,ثنائية التمثيل (نظرية)
Duality,إزدواجية
Dynamic,دينامي
Dynamic Content,محتوى ديناميكي
Dynamic Equivalence,تكافؤ ديناميكي
Dynamic Theory,نظرية حركية
Dyslexia,قصور قارئي، عسر القراءة والفهم
Dysphasia,حبسة، عي
Echo Questions,أسئلة صدى
Economic,اقتصادي
Economy,اقتصاد
Education,تعليم
Effectiveness,فعالية تأثيرية
Efficacy,قدرة على التأثير
Ego,أنا (الأنا)
Ego - libido - object - libido,لبيدو الأنا - لبيدو الموضوع
Ego ideal,مثل أعلى للأنا
Ego instincts,نزوات الأنا
Ego libido - object - libido,لبيدو الأنا - لبيدو الموضوع
Egoism,أنانية
Egosyntonic,متلائم مع الأنا
Elaborated Codes,شيفرات متقنة
Electra complex,عقدة ألكتار
Elite (s),نخبة/ نخب
Elite Interpreter,مفسر نخبة
Ellipsis,حذف
Embedded,مكتنفة
Embedding Structure,بنية مدمجة
Emotion,انفعال
Emotional Complex,مركب انفعالي
Emotional Feature,سمة الانفعالية
Empirical,تجريبي/ اختباري/ إمبريقي
Empirical Fact,حقيقة اختبارية (إمبريقية)
Empowerment,تفويض/ منح سلطة/ تمكين
Empty Category Principle (ECP),مبدأ فصيلة فارغة (م ف غ)
Empty Signifier,دال فارغ
Enclaves,مواقع مستعصية ضمن الدولة
Encoding,تشفير
Encounters,مواجهات
Endorsement,مصادقة/ موافقة
Endowment,وقفية/ منح
Entente,حلف
Entity,كيان
Entrepreneur,مقاول مستحدث
Environment/ Ecology,بيئة/ علم البيئة
Epistemological-Relativism,نسبية معرفية
Epithet,نعت
Equality,مساواة
Equalization,إقامة المساواة
Equative,تعادلي
Equivalence,تكافؤ
Ergativity,إركاتية
Erogeneity,قابلية توليد الغلمة
Erogenic,مولد للغلمة
Eros,إيروس
Erotogenic,مولد للغلمة
Erotogenic zone,منطقة مولدة للغلمة
Essence,ماهية
Essentialism,جوهرية (نظرية)
Estrangement,تغريب
Ethnic block,كتلة إثنية
Ethnicity,عرقية/ إثنية
Ethnography,علم الأعراق
Ethnolinguistic Vitality,حيوية إثنية
Ethnoprofile,مظهر إثني
Etymology,تأثيل، إشتقاق
Event,حدث
Everyday,يومي
Evolution,تطور
Exceptional Case Marking ( ECM ),وسم إعرابي استثنائي ( واس)
Exclamation,تعجب، عبارة إنفعالية
Existential Quantifier,محدد كمي وجودي
Expansion,بسط (ظاهرة في الترجمة)
Experience,تجربة
Experience of satisfaction,تجربة الإشباع/ إرضاء
Experiencer,مجرب
Experimental Form,شكل تجريبي
Expletive (s),خلل فهم الكلام/ عناصر حشوية
Expressive Category,مقولة تعبيرية
Expressive Character,خاصية تعبيرية مائزة
Expressive Feature (Quality),سمة (صفة) تعبيرية
Expressive Function,وظيفة التعبير
