Arabic Term,Definition (Arabic),Definition (English),English Term
"أفراد الأُسْرَةُ المَعِيشِيَّةُ","هي فرد أو مجموعة أفراد تربطهم أو لا تربطهم صلة قرابة، ويشتركون في المسكن والمأكل، ويقيمون في المسكن وقت المسح.","A household member is an individual or group of individuals, whether related by kinship or not, who share or do not share a familial bond, reside together, share meals, and are present in the household during the survey period.","Household Members"
"أَجْهِزَةُ تِقْنِيَّةِ المَعْلُوماتِ والاتصَّالَاتِ صَغِيرَةٌ","تشمل لوحات المفاتيح، محركات الأقراص الخارجية والحواسيب المكتبية والطابعات والفاكسات والماسحات الضوئية والهواتف اللاسلكية ولوحات التحكم بالألعاب.","include keyboards, external drives, desktop computers, printers, faxes, scanners, wireless phones, and game consoles.","Small IT and Telecommunications Equipment"
"أَنْظِمَةٌ أتوماتِيكِيَّةٌ لِلرِيِّ","أية أنظمة موفرة لمياه الري سواء بالتنقيط أو معدات الرش الذاتية.","Any system that saves irrigation water, whether the drip or automatic spraying equipment.","Automatic Irrigation Systems"
"أَنْواعُ الأَنْشِطَةِ السِياحِيَّةِ","تشمل الأنشطة السياحية كل من العمل والترويح والترفيه والزيارة والتعليم والعلاج والتسوق والأنشطة الدينية.","Tourism activities include work, recreation, entertainment, visits, education, treatment, shopping, and religious activities.","Types of Tourism Activities"
"إِعادَةُ تَدْوِيرٍ","تجهيز واستخدام النفايات في عمليات الإنتاج والاستهلاك، مثل صهر نفايات الحديد حتى يمكن تحويلها إلى منتجات حديدية.","Processing and use waste in production and consumption processes, such as smelting iron waste so that it can be converted into iron products.","Recycling"
"إِفْراغُ حُفْرَةِ الصَرْفِ الصِحِّيِّ","أي شفط لمياه الصرف الصحي عند امتلاء الخزان والتخلص منه بطريقة آمنة.","Emptying sewage water when the sewage pit (septic tank) is full and disposing of that water safely.","Sewage Pit Emptying"
"الأَراضِي الرَعَوِيَّةُ","الأراضي التي يسودها النبات الطبيعي المناسب لرعي الحيوانات العاشبة والقاضمة.","Lands predominantly occupied by native vegetation which is grazed by herbivores or rodents.","Rangelands"
"الإِحْصاءاتُ البِيئِيَّةُ","إحصاءات تبين حالة واتجاهات البيئة، وتغطي أوساط البيئة الطبيعية (الهواء / المناخ، والماء، والأرض /التربة) والكائنات الحية في الأوساط البيئية والمستوطنات البشرية والإحصاءات البيئية تميل بطبيعتها إلى تحقيق التكامل، فهي تقيس النشاطات البشرية والأحداث الطبيعية التي تؤثر على البيئة، وتأثيرات هذه النشاطات والأحداث، والاستجابة الاجتماعية للتأثيرات البيئية، ونوعية الأصول الطبيعية ومدى توفرها.","Statistics that describe the state and trends of the environment, covering the media of the natural environment (air/climate, water, land/soil) , the biota within the media, and human settlements. Environment Statistics tend by nature to achieve integration as they measure human activities and natural events that affect the environment, the effects of these activities and events, the social response to environmental impacts, and the quality and availability of natural assets.","Environment Statistics"
"الإِيراداتُ التَشْغِيلِيَّةُ","هي كافة الإيرادات النقدية المتحققة نتيجة ممارسة المنشأة لنشاطها الرئيس أو الأنشطة الثانوية الأخرى، كبيع وتسويق منتجاتها، أو مقابل تقديم خدماتها للمستهلكين أو نتيجة لتجارة البضائع بصفة عامة، كما تشمل العوائد اليومية المقبوضة نظير التشغيل، وتشمل هذه الإيرادات إجمالي قيمة المبيعات من المنتجات المصنعة بالإضافة إلى إيرادات تشغيلية أخرى لا ترتبط بالنشاط الاقتصادي الرئيس للمنشأة بل ترتبط بأنشطة المنشأة الثانوية، وتشمل إيرادات الخدمات المقدمة لآخرين وإيرادات بيع مخلفات إنتاج إيراد المباني والأراضي غير زراعية وكذلك تأجير آلات ومعدات . . . إلخ، وأي إيرادات تشغيلية أخرى مع ضرورة تحديد أنواع تلك الإيرادات.","They are the cash revenues achieved due to the establishment engagement in its main activity or other secondary activities, such as the sale and marketing of its products, the provision of services to consumers or the trade in goods generally. They include also other operation revenues not related to the main economic activity of the establishment, but related to the secondary activities of the establishment, including the industrial services revenues, the secondary activities revenues and the proceedings generated from the sale of production waste as well as the lease of buildings, non-agricultural lands, machinery, and equipment. And any other operating revenues, specifying the types of those revenues.","Operation Revenues"
"الاِتِّصالُ الجَوِّيُّ","يعَّرف الاتصال الجوي على نطاق واسع بأنه القدرة والسهولة التي يمكن للركاب والشحن من خلالها الوصول إلى الوجهات عن طريق الجو.","Air connectivity is widely defined as the ability and ease with which passengers and cargo can reach destinations by air.","Air Connectivity"
"الاِقْتِصادُ الرَقْمِيُّ","يتكون الاقتصاد الرقمي من الأنشطة الاقتصادية التي يتم إجراؤها أو تسهيلها من خلال التقنيات الرقمية. وينص هذا التعريف على أن الاقتصاد الرقمي يشتمل على جميع الأنشطة الاقتصادية التي تعتمد على استخدام المدخلات الرقمية أو التي يتم تعزيزها بشكل كبير من خلال استخدام المدخلات الرقمية، بما في ذلك التقنيات الرقمية والبنية التحتية الرقمية والخدمات الرقمية والبيانات.","The digital economy consists of economic activities that are conducted or facilitated through digital technologies. It states that the digital economy encompasses all economic activities reliant on, or significantly enhanced by the use of digital inputs, including digital technologies, digital infrastructure, digital services and data.","Digital Economy"
"التَلَوُّثُ الهَوائِيُّ","هو وجود أي مواد صلبة أو سائلة أو غازية بالهواء بكميات تؤدي إلى أضرار فسيولوجية واقتصادية وحيوية بالإنسان والحيوان والنباتات والآلات والمعدات، أو تؤثر في طبيعة الأشياء.","The presence of any solid, liquid or gaseous substances in the air in quantities that lead to physiological, economic and vital damages to humans, animals, plants, machinery and equipment, or affect the nature of things.","Air Pollution"
"الحادِثُ المُرُورِيُّ الجَسِيمُ","هو ما ينتج عنه:1. حالة وفاة أو أكثر (يتم حسابه ضمن الوفيات). 2. إصابات بليغة وهي ما نتج عن الحادث من إصابات أو كسور تستوجب نقل المصاب للمستشفى أو تنويمه (يتم حسابه ضمن الإصابات). 3. تلفيات جسيمة وهي ما نتج عن الحادث من خسائر بليغة في الأموال الخاصة أو العامة.","This results in : 1. Death or more (calculated within deaths) . 2. Serious injuries: injuries or fractures resulting from the accident that require the victim to be transferred to the hospital or to be hospitalized (calculated as injuries) . 3. Serious damage: serious losses of private or public funds resulting from the incident.","Serious Traffic Accident"
"الحُمُوضَةُ (أَوْ الأُسُّ الهِيدرُوجِينِيُّ) (PH)","مقياس لمدى حمضية المياه الأساسية. يمتد النطاق من 0 إلى،14 مع كون الرقم 7 محايدًا. يشير الأس الهيدروجيني الأقل من 7 إلى الحموضة، بينما يشير الأس الهيدروجيني الأكبر من 7 إلى القاعدية. يعد الرقم الهيدروجيني للمياه مقياسا مهمًا للغاية فيما يتعلق بجودة المياه.","pH is a measure of how acidic/basic water is. The range goes from 0 to 14, with 7 being neutral. pH of less than 7 indicate acidity, whereas a pH of greater than 7 indicates a base. The pH of water is a very important measurement concerning water quality.","Acidity (or pH)"
"الدَفْنُ (دَفْنُ النُفاياتِ)","تتم هذه التقنية عن طريق تقليص حجم النفايات الصلبة، ثم طمرها في حفرة أي دفنها تحت الأرض، ويكون حجم هذه الحفرة كافيًا ليحتوي كمية النفايات التي سيتم طمرها، وبعيدًا عن المسطحات المائية، إلى جانب وضع طبقة من الإسمنت في قاعها، وطبقة أخرى من البلاستيك الصلب؛ لمنع تسرب المواد السائلة المتكونة بسبب تحلل النفايات الصلبة إلى باطن الأرض، وتلويث المياه الجوفية.","In this technique, solid waste is pressed to reduce its size, then buried in a pit under the ground. The size of this pit is sufficient to accommodate the amount of waste that will be buried, away from water bodies. A concrete layer is casted at the bottom of the bit followed by another layer of hard plastic to prevent the leakage of liquid materials formed due to the decomposition of solid waste into the ground, and the contamination of groundwater.","Waste Burial"
"الشَبَكَةُ العامَّةُ","هي الشبكة التي تقوم بنقل المياه من المصادر والأحواض التخزينية إلى أماكن الاستخدام بالإضافة إلى الأنابيب والشبكات الموجودة داخل الوحدات السكنية وبقرب مصادر المياه النقية.","The network that transports water from sources and storage basins to places of use in addition to pipes and networks located inside residential units and near sources of pure water.","Public Network"
