English,Arabic
Cash balance,الرصيد النقدي
Advance payments,الدفعات المقدمة
Office expenses,مصروفات مكتبية
Value added tax (VAT),ضريبة القيمة المضافة
Debit accounts,الحسابات المدينة
Credit accounts,الحسابات الدائنة
Profit and loss account,حساب الأرباح والخسائر
Budget,الميزانية
Income,الدخل
Expenses,المصروفات
Assets,الأصول
Receivables,المطالبات
Liabilities,الالتزامات
Taxes,الضرائب
General budget,الميزانية العمومية
Account,حساب
Cash reserve,الاحتياطي النقدي
Financial statement,قائمة المركز المالي (الميزانية)
Cost,التكلفة
Gross profit,مجمل الربح
Net profit,صافي الربح
Annual reconciliation,التسويات الجردية
Capital gain,العائد الرأسمالي
Payables,الذمم الدائنة (دائنون)
Accounts receivable,الذمم المدينة (مدينون)
Shares,الأسهم
Direct profits,الأرباح المباشرة
Property rights,حقوق الملكية
Income list,قائمة الدخل
Statement of Cash Flows,قائمة التدفقات النقدية
Covenant and predecessor,العهد والسلف
Current account,حساب الجاري
Fixed assets,الأصول الثابتة
non-current assets,الأصول غير المتداولة
Current assets,الأصول المتداولة
Short term liabilities,الالتزامات قصيرة الأجل
Long term liabilities,الالتزامات طويلة الأجل
Statutory reserve,احتياطي نظامي
Extra reserve,احتياطي اضافي
earnings of the year,أرباح العام
Accounting Constraints,القيود المحاسبية
Debit,المدين
Credit,الدائن
Accounting Policies,السياسات المحاسبية
Accounting System,النظام المحاسبي
Financial Statements,القوائم المالية
Borrow,اقتراض
Transaction,عملية مالية
Capital Expenses,مصروفات رأسمالية
Operating Expenses,مصروفات تشغيلية
Capital Gains,أرباح رأسمالية
Capital Losses,خسائر رأسمالية
Fair Value,القيمة العادلة
Income Summery,ملخص الدخل
Cash Basis,الأساس النقدي
Accrual Basis,أساس الاستحقاق
Cash Flows,التدفقات النقدية
Cash,النقدية
On Credit,على الحساب
Deposit,ايداع
Withdraw,سحب
Cost Estimates,تقديرات التكاليف
Cost of Goods Sold,تكلفة البضاعة المباعة
Purchasing Power,القوة الشرائية
Revenue,الايرادات
Sales Discount,خصم مبيعات
Selling Expenses,مصروفات بيعية
Net Loss,صافي خسارة
Owners Drawings,مسحوبات شخصية
Adjusting Entry,قيد تسوية
Closing Entry,قيد الاقفال
Allowance,مخصص
Losses,خسائر
Deficit,عجز
Post,الترحيل
Closing of Account,اقفال الحساب
Accounting Procedures,الاجراءات المحاسبية
Investing Activities,الانشطة الاستثمارية
Operating Activities,الانشطة التشغيلية
Financing Activities,الانشطة التمويلية
Disclosure,الافصاح
Notes Payable,اوراق الدفع
Notes Receivable,اوراق القبض
Accrued Expenses,مصروفات مستحقة
Advance Expenses,مصروفات مقدمة
Accrued Revenues,ايرادات مستحقة
Advance Revenue,ايرادات مقدمة
Contingent Liability,التزام محتمل
Inventory,البضاعة
Beginning Inventory,بضاعة اول المدة
Ending Inventory,بضاعة آخر المدة
Auditing,تدقيق الحسابات
Classification,التبويب
Cash Outflows,التدفقات النقدية الخارجة
Cash Inflows,التدفقات النقدية الداخلة
Internal Auditing,التدقيق الداخلي
Inflation,التضخم
Annual Report,التقارير السنوية
Fixed Cost,التكلفة الثابتة
Variable Cost,التكلفة المتغيرة
Analysis of Financial Statements,تحليل القوائم المالية
Classification of Accounts,تصنيف الحسابات
Organization Cost,مصاريف التأسيس
Arbitrage,الموازنة
Accounting Information,المعلومات المحاسبية
Accuracy,الدقة
Actual Cost,التكلفة الفعلية
Activity- Based Costing,تكلفة الأنشطة
Administrative Expense Budget,ميزانية المصروفات الإدارية
Adding and Dropping Product Decision,قرار إضافة وإلغاء المنتج
Avoidable Cost,التكلفة القابلة للتجنب
Benchmarking,المرجعية
Budgeted Income Statement,بيان الدخل المتوقع المدرج في الموازنة
Budgeted Statement of financial position,بيان المركز المالي المتوقع المدرج في الميزانية
Capital Budget,ميزانية الاستثمارات
Common costs,التكاليف العامة
Controllable costs,التكاليف القابلة للتحكم
Control,التحكم
Cost Accounting,حساب التكلفة
Cost Allocation,تخصيص التكاليف
Cost Benefit analysis,تحليل الفوائد والتكاليف
Cost Center,مركز التكاليف
Differential Analysis,التحليل التفاضلي
Direct Labor Budget,ميزانية العمل اليدوي المباشر
Direct Material Budget,ميزانية المواد المباشرة
Financial Accounting,المحاسبة المالية
Historical Costs,التكاليف التاريخية
Idle Capacity,القدرة الخاملة
Investment Center,مركز الاستثمار
Joint Cost,التكلفة المشتركة
Joint Cost  Allocation,تخصيص التكلفة المشتركة
Joint Product,المنتج المشترك
Make- Buy Decision,قرار الصنع أو الشراء
Managerial Accounting,المحاسبة الإدارية
Marginal cost,التكلفة الحدية
Management by objectives,إدارة الأهداف
Management by Exception,إدارة حسب الاستثناء
Market Price,سعر السوق
Marketing Expense Budget,ميزانية المصروفات التسويقية
Master Budget,الميزانية الرئيسية
Modified Cost,التكلفة المعدلة
Modified Market Price,السعر المعدل
Multiple Alternative Choice Decision,قرار الاختيار المتعدد البدائل
Operating Budget,ميزانية التشغيل
Opportunity Cost,تكلفة الفرصة
Performance Reports,تقارير الأداء
Pricing,التسعير
Product Profitability,ربحية المنتج
Production Budget,ميزانية الإنتاج
Relevant Cost,التكلفة ذات الصلة
Required rate of Return,معدل العائد المطلوب
Responsibility Center,مركز المسؤولية
Return on Investment,عائد الاستثمار
Sales Budget,ميزانية المبيعات
Strategic cost management,إدارة التكلفة الاستراتيجية
Total Quality Control,السيطرة الكلية على الجودة
Target Costing,التكلفة المستهدفة
Special Orders,الطلبيات الخاصة
Split off Point,نقطة الفصل
Standard Cost,التكلفة القياسية
Sunk Cost,التكلفة المغمورة
Target Income,الهدف الدخلي
Transfer Pricing,تسعير النقل
Accrual Basis of Accounting,أساس المحاسبة بالاستناد إلى التراكم
Amortization,الاستهلاك التدريجي
Audit Report,تقرير المراجعة
Board of Directors,مجلس الإدارة
Bonds Premium,قيمة موجبة للسندات
Bonds Discount,قيمة سالبة للسندات
Call Provision,بند استدعاء
Capital Account,حساب رأس المال
Capital Expenditures,النفقات رأس المالية
Capital Gains,الربح رأس المال
Capital Losses,الخسائر رأس المال
Carrying Value,القيمة المحمولة
Cash Basis of Accounting,أساس المحاسبة النقدية
Classification,التصنيف
Classified Financial Statements,البيانات المالية المصنفة
Common Stock Holders,حاملي الأسهم العادية
Comparative Financial Statements,البيانات المالية المقارنة
Consistency Principle,مبدأ الاستمرارية
Consolidation,التجميع
Consolidated Accounting Entities,الكيانات المحاسبية المجمعة
Consolidated Balance Sheet,الميزانية المجمعة
Consolidated Financial Statements,البيانات المالية المجمعة
Constant-Dollar Financial Statements,البيانات المالية بالدولار الثابت
Accounting Assumptions,الافتراضات المحاسبية
Accounting Concepts,مفاهيم المحاسبة
Accounting Constraints,قيود المحاسبة
Cost / Benefit Relationship,العلاقة التكلفة / الفائدة
Materiality,الجدوى
Industry Practice,ممارسات الصناعة
Objectivity,الموضوعية
