Accelerated life testing,اختبار الحياة المسرع
Thermal management (electronics),الإدارة الحرارية (بالمجال الإلكتروني)
Metal foaming,إرغاء المعدن
Seasoning,إزالة الإجهادات
Stress relieving,إزالة الإجهادات
Shrinkage fit,الإزواج الانكماشي
Taper fit,الأزواج التداخلي؟؟؟
Push fit,الإزواج الدفعي
Running fit,الِأزواج المتحرك 'الخلوصي
Smelting,استخلاص بالصهر
Remote sensing,الاستشعار عن بعد
Rapid tooling,الاستصناع السريع؟؟؟
Quenching,الإسقاء
Point cloud surface reconstruction,إعادة بناء السطح النقطي
Wheel truing,إعادة تأهيل القرص
Acceptance sampling,الاعتيان
Blanking,الاقتطاع
Cladding,إكساء 'تلبيس'
Chrome plating,الإكساء بالكروم
Rubber metal bondin,الإكساء بالمطاط
Thread locking,إلصاق اللوالب
Printed electronics,الإلكترونيات المطبوعة
Right size machinery,أمثلة اختيار الآلات
Topology optimization,أمثلة التضاريس
Vulcanization,الإمران
Confined flow,الانسياب المحصور
Ultrasonic insertion,الإيلاج بالأشعة فوق البنفسجية
UV insertion,الإيلاج بالأشعة فوق البنفسجية
Extrusion,البثق
Friction extrusion,بثق احتكاكي
Impact extrusion,البثق الصدمي
Hydrostatic extrusion,البثق المائي الساكن
Coextrusion,البثق المتزامن
Pultrusion,البثق المستمر
Filing,البرد
Draw filing,البرد المستعرض 
Knurling,برغله 'طرطره'
Boriding/Boronising,البرنزة
Lancing,التبزيغ ؟؟؟؟؟؟ 
Riveting,التبشيم
Impact riveting,التبشيم بالطرق
Crowning,التتويج
Ultrasonic-assisted drilling,التثقيب المعزز بالموجات فوق الصوتية
Laser drilling,التثقيب بالليزر
Refurbishment,التجديد
Oxy-fuel gouging,التجريف بالوقود والأكسجين 
Shaping,التجسيم
Fused deposition modeling,التجسيم بتوضع المصهور
Spray drying,التجفيف بالرش 
Internal grinding,التجليخ الداخلي 
Surface grinding,التجليخ السطحي 
Form grinding,التجليخ الشكلي
Electro-chemical grinding,التجليخ الكهروكيميائي
Worm grinding,تجليخ المسننات الدودية
Spring grinding,تجليخ النابض
Center-less grinding,تجليخ لا تمركزي 
Surface mounting,التجميع السطحي 
Boring,التجويب
Die-sinking,تجويف القوالب
Pelletizing,التَحبِيب
Electro-magnetic shielding,التحجيب الكهرومغناطيسي
Deformation,التحرّف
Thrilling,تحزيز محيطي
Data acquisition,تحصيل البيانات
Surface preparation,تحضير السطح 
Lapping,التحضين
Electro-chemical honing,التحضين الكهروكيميائي
Serrating,التخديد
Gear hobbing,تخديد المسننات 
Beading,التخريز
Pinning,التخريش
Etching,تخريش 'تنميش'
Dinking,التخريم
Swaging,التخصير
Fullering,التَخصير
Broaching,التخليق
Pickling,التخليل
Damping,التخميد
Counter sinking,التخويش
Cable armoring,تدريع الكبل
Structural strengthening,التدعيم الإنشائي
Spinning,التدويم
Gilding,التذهيب
Adhesive bonding,الترابط اللاصق
Edging,التَرديف
Atomization,الترذيذ
Sputter deposition,الترسيب بالرش المهبطي
Calendering,الترقيق بالدرفلة
Plastic compounding,تركيب الخليطة البلاستيكية
Heading,الترئيس
Amorphization,التزجيج
Minimum quantity lubrication,التزيت شبه الجاف؟؟؟
Punching,التسريد ؟؟؟
Flatting,التسطيح
Screw cutting,تسنين اللولب 'تشغيل اللوالب'
Roll threading,التسنين بالدرفلة 'درفلة اللوالب'
Gear planning,التسنين بالكشط
File cutting,تسنين مبرد
Planning,التسوية
Decambering,تسوية الحواف
Plate edge planning,تسوية حواف الألواح
Seaming,التشبيك
Point cloud mesh reconstruction,تشبيك السحب النقطية
Trimming,التشذيب
Cryogenic deburring,التشذيب المُبرّد
Casting impregnation,تشريب المسبوكات
Roll slitting,تشريح اللفافة
Machining,التشغيل
Dry machining,التشغيل الجاف
Bio-machining,التشغيل الحيوي
Electro-chemical machining,التشغيل الكهروكيميائي
Electro-chemical spark machining,التشغيل الكهروكيميائي المعزز بالشرر 'التشغيل بالشرارة الكهربائية'
Damped machining,التشغيل المخمد
Gear cutting,تشغيل المسننات
High pressure jet assisted machining,التشغيل المعزز بنفث عالي الضغط
Abrasive flow machining,التشغيل بالتدفق الكاشط
Magnetic assisted abrasive flow machining,التشغيل بالتدفق المغناطيسي الكاشط المعزز مغناطيسيا
Laser assisted electrical discharge machining ,التشغيل بالتفريغ الكهربائي المعزز بالليزر
Ion beam machining,التشغيل بالشعاع الأيوني
Abrasive jet machining,التشغيل بالنفث الكاشط
Hydro get,التشغيل بنافث مائي
Ultrasonic machining,التشغيل فوق الصوتي
Stretch and shrink flanging,تشفيه التمدد والتقلص
Straight flanging,التشفيه المستقيم
