English Term,Arabic Term,Description
"Telecommunications apparatus","أجهزة الاتصالات","الأجهزة المصنعة أو المهيأة لبث واستقبال ونقل أي من خدمات الاتصالات من خلال شبكة الاتصالات المخصصة لذلك."
"Telecommunications Terminal Equipment","أجهزة الاتصالات السلكية الطرفية","الأجهزة المقصود وصلها مباشرة بشبكة الاتصالات العامة عند نقطة انتهاء الشبكة حيث يتم تزويد المستخدم بوصول إلى شبكة الاتصالات العامة."
"Ultra-Wide Band","أجهزة النطاق فائق الاتساع","يقصد بها الأجهزة التي توظف نشر الطاقة الراديوية عبر نطاق ترددي فائق الاتساع، بكثافة طيفية للقدرة منخفضة جداً تعمل بالشروط التقنية المحددة في المادة 4."
"Distance Measuring Equipment","أجهزة قياس المسافات","يقصد بها تقنية ملاحة راديوية تستند إلى جهاز الإرسال والاستجابة، وتقيس مسافة المدى المائل عن طريق قياس التأخير في بث إشارات الراديو ذات الترددات العالية جداً (VHF) أو الترددات فائقة العلو (UHF) على النحو الموضح في المجلد 1، من الملحق 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
"Mobile/Maritime Identification Digits","أرقام التعريف المتنقلة/البحرية","تُستخدم من جانب مرافق الاتصالات الراديوية من أجل تحديد وطنهم أو منطقة قاعدتهم الأصلية من خلال رسائل الاتصال الرقمي الانتقائي (DSC) ونظام التحديد الأوتوماتيكي لجهة الإرسال (ATIS) ونظام التعرّف الأوتوماتي (AIS) وذلك في إطار هويات الخدمة المتنقلة البحرية."
"Nomadic Services numbers","أرقام الخدمات الترحالية (Services Nomadic)","هي الأرقام التي تعرف بشكل مميز مستخدمي الخدمة الترحالية التي يستخدمها المشترك المتصل للوصول إلى مستخدم الخدمة الترحالية والخدمات الرحالة غير محددة جغرافيا ولا تعتبر بأنها خدمة اتصالات متحركة. تشمل هذه الخدمات اتصالات الصوت والفاكس والبيانات. ويتحمل الطرف المتصل تكلفة المكالمة والتي تكون مستقلة عن تكلفة المسافة ولكنها قد تختلف من وقت لآخر من اليوم وتختلف باختلاف مدتها."
"Active Variant","أسم متماثل فعال","يعني اسم متماثل لاسم نطاق .امارات أساسي يكون فعلا في نظام اسم النطاق."
"Restricted Domain Name","أسماء النطاق المقيدة","تعني أسماء النطاق المسجلة، حيث يتم استخدام اسم مميز يليه أحد اللواحق المدرجة تحت .ae والتي تحتفظ بها الإدارة لهذا الغرض، مثل www.example.co.ae."
"Registered Names","أسماء مسجلة","تعني أسماء النطاق الموجودة في قاعدة بيانات السجل."
"Board Members","أعضاء مجلس الإدارة","الأشخاص الذين يتم تعيينهم كأعضاء في مجلس الإدارة وفقاً لأحكام القانون."
"Transfer Command","أمر النقل","تعني فيما يتعلق بترخيص اسم نطاق التعليمات الصادرة من المسجل المنقول له إلى السجل بنقل تسجيل/رعاية ترخيص إسم النطاق المعني في قاعدة بيانات السجل من المسجل المفوض إلى المسجل المنقول له لكي يصبح الأخير هو المسجل المفوض الحالي فيما يتعلق بترخيص اسم النطاق المذكور."
"Unmanned Aircraft Radio Systems","أنظمة الراديو للطائرات بدون طيار","يقصد بها أي نظام راديو مرتبط بنظام طائرات بدون طيار ) UAS .)"
"Remotely-piloted aircraft system","أنظمة الطائرات التي يتم قيادتها عن بُعد","مجموعة من العناصر القابلة للتركيب تتكون من طائرة موجهة عن بعد ، ومحطة (محطات) تجريبية بعيدة مرتبطة بها ، ووصلات القيادة والتحكم المطلوبة وأي عناصر نظام أخرى قد تكون مطلوبة ، في أي وقت أثناء الرحلة."
"Unmanned Aircraft Systems","أنظمة الطائرات بدون طيار","يقصد بها أنظمة الطائرات التي تشمل الطائرات المسيرة بدون طيار(Drones) أو أنظمة الطائرات التي يتم قيادتها عن بُعد (RPAS) والتي يتم تشغيلها دون وجود طيار على متنها ويتم التحكم فيها من خلال وصلة تحكم راديوية."
"Intelligent Transport Systems","أنظمة المواصلات الذكية","يقصد بها تكامل تكنولوجيا المعلومات والاتصالات والتطبيقات التي تهدف إلى تقديم الخدمات المتعلقة بأنماط مختلفة من إدارة النقل والمرور، وتمكين المستخدمين من الحصول على معلومات أفضل وجعل استخدام شبكات النقل أكثر أماناً وتنسيقاً وذكاءً. وهي تشمل الاتصالات المتقدمة عن بُعد والاتصالات الهجينة بما في ذلك الاتصالات القائمة على بروتوكول الإنترنت وكذلك الاتصالات المباشرة المخصصة بين المركبات وبين المركبات والبنية التحتية."
"Wireless Access Systems","أنظمة الوصول اللاسلكي","يقصد بها معدات لاسلكية متصلة بالتوافق مع المواصفات الفنية على النحو المنصوص عليه في توصيات قطاع الراديو بالاتحاد الدولي للاتصالات R-ITU أو معايير ETSI أو مجموعة معايير 802.11 IEEE أو معايير 3GPP ذات الصلة. وهذا يشمل شبكات مثل (شبكة المنطقة المحلية الراديوية (RLAN)، وشبكة المنطقة المحلية اللاسلكية (WLAN)، ونقل البيانات ذات النطاق العريض، والأنظمة اللاسلكية المتعددة جيجابيت (MGWS) ، وشبكات الوصول الراديوي ذات النطاق العريض (BRAN)، إلخ) في نطاقات تردد مختلفة."
"Trunking systems","أنظمة تقاسم الشبكة","يُقصد بها الأنظمة الراديوية المتنقلة البرية ذات محطة قاعدة راديوية واحدة أو أكثر/ خلايا توفر فيها كل خلية قناة واحدة أو عدة قنوات للبث يتم تعيينها للمستخدمين ديناميكياً بمجرد أن يلزم إجراء الاتصال."
"Mobile Number Portability Regulations","أنظمة نقل أرقام الهاتف المتحرك","الإطار التنظيمي الصادر عن الهيئة بما يتعلق بتنفيذ خدمة نقل أرقام الهاتف المتحرك."
"Working Day","أيام العمل","يُقصد به يوم عمل رسمي في دولة الإمارات العربية المتحدة ما لم ينص على خلاف ذلك."
"Etisalat","اتصالات","مؤسسة الامارات للاتصالات والتابعين لها."
"Mutual Recognition Agreement","اتفاقيات الاعتراف المتبادل (MRA)","اتفاقية بين جهتين تهدف إلى الاعتراف المتبادل بين الأطراف بالوثائق والشهادات الرسمية ونتائج تقييم المطابقة الخاصة بأجهزة الاتصالات."
"Interconnection Agreement","اتفاقية الربط البيني","عقد يتم بموجبه تحقيق الربط البيني وفقاً للقواعد والشروط الصادرة عن الهيئة."
"Registry-Registrar Agreement (RRA)","اتفاقية السجل–المسجل (RRA)","تعني الاتفاقية المبرمة بين المسجل والإدارة والتي تمكن المسجل من تقديم خدمات معينة إلى أصحاب الطلبات، بما في ذلك تسجيل وتجديد اسم النطاق."
"Registrant Agreement","اتفاقية صاحب التسجيل","تشير إلى اتفاقية يتم إبرامها بين المسجل وصاحب التسجيل فيما يتعلق، من بين أشياء أخرى، بالشروط والبنود التي يوفر على أساسها المسجل خدمات التسجيل لاسم نطاق معين مسجل لصالح مقدم الطلب أو صاحب التسجيل."
"Service level Agreement","اتفاقية مستوى الخدمة","يحدد مستوى الخدمة الذي تتوقعه من البائع او مزود الخدمة ، ويضع المقاييس التي يتم من خلالها قياس الخدمة ، وكذلك التعويضات أو العقوبات في حالة عدم تحقيق مستويات الخدمة المتفق عليها."
"Point of Interconnection Congestion","ازدحام نقطة الربط البيني","نسبة المكالمات التي فشلت من خلال نقطة الربط البيني (بين مشغلي شبكة) بسبب عدم توفر الدوائر المتاحة إلى إجمالي طلبات المكالمات للاحتفاظ بدائرة نقطة التوصيل البيني."
"Internet Access Exemption","استثناء النفاذ الى الإنترنت","يقصد به فيما يتعلق بنفاذ مستخدم معين إلى محتوى الإنترنت، السماح لهذا المستخدم بالنفاذ إلى محتويات الإنترنت ضمن فئات المحتوى المحظور بشكل كلي أو جزئي، بشكل دائم أو مؤقت."
